,county,state,population,full_county
315,Windham,CT,116782,"Windham, CT"
316,Kent,DE,180786,"Kent, DE"
317,New Castle,DE,558753,"New Castle, DE"
318,Sussex,DE,234225,"Sussex, DE"
319,District of C,DC,705749,"District of C, DC"
320,Alachua,FL,269043,"Alachua, FL"
321,Baker,FL,29210,"Baker, FL"
322,Bay,FL,174705,"Bay, FL"
323,Bradford,FL,28201,"Bradford, FL"
324,Brevard,FL,601942,"Brevard, FL"
325,Broward,FL,1952778,"Broward, FL"
326,Calhoun,FL,14105,"Calhoun, FL"
327,Charlotte,FL,188910,"Charlotte, FL"
328,Citrus,FL,149657,"Citrus, FL"
329,Clay,FL,219252,"Clay, FL"
330,Collier,FL,384902,"Collier, FL"
331,Columbia,FL,71686,"Columbia, FL"
332,DeSoto,FL,38001,"DeSoto, FL"
333,Dixie,FL,16826,"Dixie, FL"
334,Duval,FL,957755,"Duval, FL"
335,Escambia,FL,318316,"Escambia, FL"
336,Flagler,FL,115081,"Flagler, FL"
337,Franklin,FL,12125,"Franklin, FL"
338,Gadsden,FL,45660,"Gadsden, FL"
339,Gilchrist,FL,18582,"Gilchrist, FL"
340,Glades,FL,13811,"Glades, FL"
341,Gulf,FL,13639,"Gulf, FL"
342,Hamilton,FL,14428,"Hamilton, FL"
343,Hardee,FL,26937,"Hardee, FL"
344,Hendry,FL,42022,"Hendry, FL"
345,Hernando,FL,193920,"Hernando, FL"
346,Highlands,FL,106221,"Highlands, FL"
347,Hillsborough,FL,1471968,"Hillsborough, FL"
348,Holmes,FL,19617,"Holmes, FL"
349,Indian River,FL,159923,"Indian River, FL"
350,Jackson,FL,46414,"Jackson, FL"
351,Jefferson,FL,14246,"Jefferson, FL"
352,Lafayette,FL,8422,"Lafayette, FL"
353,Lake,FL,367118,"Lake, FL"
354,Lee,FL,770577,"Lee, FL"
355,Leon,FL,293582,"Leon, FL"
356,Levy,FL,41503,"Levy, FL"
357,Liberty,FL,8354,"Liberty, FL"
358,Madison,FL,18493,"Madison, FL"
359,Manatee,FL,403253,"Manatee, FL"
360,Marion,FL,365579,"Marion, FL"
361,Martin,FL,161000,"Martin, FL"
362,Miami-Dade,FL,2716940,"Miami-Dade, FL"
363,Monroe,FL,74228,"Monroe, FL"
364,Nassau,FL,88625,"Nassau, FL"
365,Okaloosa,FL,210738,"Okaloosa, FL"
366,Okeechobee,FL,42168,"Okeechobee, FL"
367,Orange,FL,1393452,"Orange, FL"
368,Osceola,FL,375751,"Osceola, FL"
369,Palm Beach,FL,1496770,"Palm Beach, FL"
370,Pasco,FL,553947,"Pasco, FL"
371,Pinellas,FL,974996,"Pinellas, FL"
372,Polk,FL,724777,"Polk, FL"
373,Putnam,FL,74521,"Putnam, FL"
374,St. Johns,FL,264672,"St. Johns, FL"
375,St. Lucie,FL,328297,"St. Lucie, FL"
376,Santa Rosa,FL,184313,"Santa Rosa, FL"
377,Sarasota,FL,433742,"Sarasota, FL"
378,Seminole,FL,471826,"Seminole, FL"
379,Sumter,FL,132420,"Sumter, FL"
380,Suwannee,FL,44417,"Suwannee, FL"
381,Taylor,FL,21569,"Taylor, FL"
382,Union,FL,15237,"Union, FL"
383,Volusia,FL,553284,"Volusia, FL"
384,Wakulla,FL,33739,"Wakulla, FL"
385,Walton,FL,74071,"Walton, FL"
386,WA,FL,25473,"WA, FL"
387,Appling,GA,18386,"Appling, GA"
388,Atkinson,GA,8165,"Atkinson, GA"
389,Bacon,GA,11164,"Bacon, GA"
390,Baker,GA,3038,"Baker, GA"
391,Baldwin,GA,44890,"Baldwin, GA"
392,Banks,GA,19234,"Banks, GA"
393,Barrow,GA,83240,"Barrow, GA"
394,Bartow,GA,107738,"Bartow, GA"
395,Ben Hill,GA,16700,"Ben Hill, GA"
396,Berrien,GA,19397,"Berrien, GA"
397,Bibb,GA,153159,"Bibb, GA"
398,Bleckley,GA,12873,"Bleckley, GA"
399,Brantley,GA,19109,"Brantley, GA"
400,Brooks,GA,15457,"Brooks, GA"
401,Bryan,GA,39627,"Bryan, GA"
402,Bulloch,GA,79608,"Bulloch, GA"
403,Burke,GA,22383,"Burke, GA"
404,Butts,GA,24936,"Butts, GA"
405,Calhoun,GA,6189,"Calhoun, GA"
406,Camden,GA,54666,"Camden, GA"
407,Candler,GA,10803,"Candler, GA"
408,Carroll,GA,119992,"Carroll, GA"
409,Catoosa,GA,67580,"Catoosa, GA"
410,Charlton,GA,13392,"Charlton, GA"
411,Chatham,GA,289430,"Chatham, GA"
412,Chattahoochee,GA,10907,"Chattahoochee, GA"
413,Chattooga,GA,24789,"Chattooga, GA"
414,Cherokee,GA,258773,"Cherokee, GA"
415,Clarke,GA,128331,"Clarke, GA"
416,Clay,GA,2834,"Clay, GA"
417,Clayton,GA,292256,"Clayton, GA"
418,Clinch,GA,6618,"Clinch, GA"
419,Cobb,GA,760141,"Cobb, GA"
420,Coffee,GA,43273,"Coffee, GA"
421,Colquitt,GA,45600,"Colquitt, GA"
422,Columbia,GA,156714,"Columbia, GA"
423,Cook,GA,17270,"Cook, GA"
424,Coweta,GA,148509,"Coweta, GA"
425,Crawford,GA,12404,"Crawford, GA"
426,Crisp,GA,22372,"Crisp, GA"
427,Dade,GA,16116,"Dade, GA"
428,Dawson,GA,26108,"Dawson, GA"
429,Decatur,GA,26404,"Decatur, GA"
430,DeKalb,GA,759297,"DeKalb, GA"
431,Dodge,GA,20605,"Dodge, GA"
432,Dooly,GA,13390,"Dooly, GA"
433,Dougherty,GA,87956,"Dougherty, GA"
434,Douglas,GA,146343,"Douglas, GA"
435,Early,GA,10190,"Early, GA"
436,Echols,GA,4006,"Echols, GA"
437,Effingham,GA,64296,"Effingham, GA"
438,Elbert,GA,19194,"Elbert, GA"
439,Emanuel,GA,22646,"Emanuel, GA"
440,Evans,GA,10654,"Evans, GA"
441,Fannin,GA,26188,"Fannin, GA"
442,Fayette,GA,114421,"Fayette, GA"
443,Floyd,GA,98498,"Floyd, GA"
444,Forsyth,GA,244252,"Forsyth, GA"
445,Franklin,GA,23349,"Franklin, GA"
446,Fulton,GA,1063937,"Fulton, GA"
447,Gilmer,GA,31369,"Gilmer, GA"
448,Glascock,GA,2971,"Glascock, GA"
449,Glynn,GA,85292,"Glynn, GA"
450,Gordon,GA,57963,"Gordon, GA"
451,Grady,GA,24633,"Grady, GA"
