,county,state,population,full_county
774,Switzerland,IN,10751,"Switzerland, IN"
775,Tippecanoe,IN,195732,"Tippecanoe, IN"
776,Tipton,IN,15148,"Tipton, IN"
777,Union,IN,7054,"Union, IN"
778,Vanderburgh,IN,181451,"Vanderburgh, IN"
779,Vermillion,IN,15498,"Vermillion, IN"
780,Vigo,IN,107038,"Vigo, IN"
781,Wabash,IN,30996,"Wabash, IN"
782,Warren,IN,8265,"Warren, IN"
783,Warrick,IN,62998,"Warrick, IN"
784,WA,IN,28036,"WA, IN"
785,Wayne,IN,65884,"Wayne, IN"
786,Wells,IN,28296,"Wells, IN"
787,White,IN,24102,"White, IN"
788,Whitley,IN,33964,"Whitley, IN"
789,Adair,IA,7152,"Adair, IA"
790,Adams,IA,3602,"Adams, IA"
791,Allamakee,IA,13687,"Allamakee, IA"
792,Appanoose,IA,12426,"Appanoose, IA"
793,Audubon,IA,5496,"Audubon, IA"
794,Benton,IA,25645,"Benton, IA"
795,Black Hawk,IA,131228,"Black Hawk, IA"
796,Boone,IA,26234,"Boone, IA"
797,Bremer,IA,25062,"Bremer, IA"
798,Buchanan,IA,21175,"Buchanan, IA"
799,Buena Vista,IA,19620,"Buena Vista, IA"
800,Butler,IA,14439,"Butler, IA"
801,Calhoun,IA,9668,"Calhoun, IA"
802,Carroll,IA,20165,"Carroll, IA"
803,Cass,IA,12836,"Cass, IA"
804,Cedar,IA,18627,"Cedar, IA"
805,Cerro Gordo,IA,42450,"Cerro Gordo, IA"
806,Cherokee,IA,11235,"Cherokee, IA"
807,Chickasaw,IA,11933,"Chickasaw, IA"
808,Clarke,IA,9395,"Clarke, IA"
809,Clay,IA,16016,"Clay, IA"
810,Clayton,IA,17549,"Clayton, IA"
811,Clinton,IA,46429,"Clinton, IA"
812,Crawford,IA,16820,"Crawford, IA"
813,Dallas,IA,93453,"Dallas, IA"
814,Davis,IA,9000,"Davis, IA"
815,Decatur,IA,7870,"Decatur, IA"
816,DE,IA,17011,"DE, IA"
817,Des Moines,IA,38967,"Des Moines, IA"
818,Dickinson,IA,17258,"Dickinson, IA"
819,Dubuque,IA,97311,"Dubuque, IA"
820,Emmet,IA,9208,"Emmet, IA"
821,Fayette,IA,19650,"Fayette, IA"
822,Floyd,IA,15642,"Floyd, IA"
823,Franklin,IA,10070,"Franklin, IA"
824,Fremont,IA,6960,"Fremont, IA"
825,Greene,IA,8888,"Greene, IA"
826,Grundy,IA,12232,"Grundy, IA"
827,Guthrie,IA,10689,"Guthrie, IA"
828,Hamilton,IA,14773,"Hamilton, IA"
829,Hancock,IA,10630,"Hancock, IA"
830,Hardin,IA,16846,"Hardin, IA"
831,Harrison,IA,14049,"Harrison, IA"
832,Henry,IA,19954,"Henry, IA"
833,Howard,IA,9158,"Howard, IA"
834,Humboldt,IA,9558,"Humboldt, IA"
835,Ida,IA,6860,"Ida, IA"
836,IA,IA,16184,"IA, IA"
837,Jackson,IA,19439,"Jackson, IA"
838,Jasper,IA,37185,"Jasper, IA"
839,Jefferson,IA,18295,"Jefferson, IA"
840,Johnson,IA,151140,"Johnson, IA"
841,Jones,IA,20681,"Jones, IA"
842,Keokuk,IA,10246,"Keokuk, IA"
843,Kossuth,IA,14813,"Kossuth, IA"
844,Lee,IA,33657,"Lee, IA"
845,Linn,IA,226706,"Linn, IA"
846,Louisa,IA,11035,"Louisa, IA"
847,Lucas,IA,8600,"Lucas, IA"
848,Lyon,IA,11755,"Lyon, IA"
849,Madison,IA,16338,"Madison, IA"
850,Mahaska,IA,22095,"Mahaska, IA"
851,Marion,IA,33253,"Marion, IA"
852,Marshall,IA,39369,"Marshall, IA"
853,Mills,IA,15109,"Mills, IA"
854,Mitchell,IA,10586,"Mitchell, IA"
855,Monona,IA,8615,"Monona, IA"
856,Monroe,IA,7707,"Monroe, IA"
857,Montgomery,IA,9917,"Montgomery, IA"
858,Muscatine,IA,42664,"Muscatine, IA"
859,O'Brien,IA,13753,"O'Brien, IA"
860,Osceola,IA,5958,"Osceola, IA"
861,Page,IA,15107,"Page, IA"
862,Palo Alto,IA,8886,"Palo Alto, IA"
863,Plymouth,IA,25177,"Plymouth, IA"
864,Pocahontas,IA,6619,"Pocahontas, IA"
865,Polk,IA,490161,"Polk, IA"
866,Pottawattamie,IA,93206,"Pottawattamie, IA"
867,Poweshiek,IA,18504,"Poweshiek, IA"
868,Ringgold,IA,4894,"Ringgold, IA"
869,Sac,IA,9721,"Sac, IA"
870,Scott,IA,172943,"Scott, IA"
871,Shelby,IA,11454,"Shelby, IA"
872,Sioux,IA,34855,"Sioux, IA"
873,Story,IA,97117,"Story, IA"
874,Tama,IA,16854,"Tama, IA"
875,Taylor,IA,6121,"Taylor, IA"
876,Union,IA,12241,"Union, IA"
877,Van Buren,IA,7044,"Van Buren, IA"
878,Wapello,IA,34969,"Wapello, IA"
879,Warren,IA,51466,"Warren, IA"
880,WA,IA,21965,"WA, IA"
881,Wayne,IA,6441,"Wayne, IA"
882,Webster,IA,35904,"Webster, IA"
883,Winnebago,IA,10354,"Winnebago, IA"
884,Winneshiek,IA,19991,"Winneshiek, IA"
885,Woodbury,IA,103107,"Woodbury, IA"
886,Worth,IA,7381,"Worth, IA"
887,Wright,IA,12562,"Wright, IA"
888,Allen,KS,12369,"Allen, KS"
889,Anderson,KS,7858,"Anderson, KS"
890,Atchison,KS,16073,"Atchison, KS"
891,Barber,KS,4427,"Barber, KS"
892,Barton,KS,25779,"Barton, KS"
893,Bourbon,KS,14534,"Bourbon, KS"
894,Brown,KS,9564,"Brown, KS"
895,Butler,KS,66911,"Butler, KS"
896,Chase,KS,2648,"Chase, KS"
897,Chautauqua,KS,3250,"Chautauqua, KS"
898,Cherokee,KS,19939,"Cherokee, KS"
899,Cheyenne,KS,2657,"Cheyenne, KS"
900,Clark,KS,1994,"Clark, KS"
901,Clay,KS,8002,"Clay, KS"
902,Cloud,KS,8786,"Cloud, KS"
903,Coffey,KS,8179,"Coffey, KS"
904,Comanche,KS,1700,"Comanche, KS"
905,Cowley,KS,34908,"Cowley, KS"
906,Crawford,KS,38818,"Crawford, KS"
907,Decatur,KS,2827,"Decatur, KS"
908,Dickinson,KS,18466,"Dickinson, KS"
909,Doniphan,KS,7600,"Doniphan, KS"
910,Douglas,KS,122259,"Douglas, KS"
911,Edwards,KS,2798,"Edwards, KS"
912,Elk,KS,2530,"Elk, KS"
913,Ellis,KS,28553,"Ellis, KS"
914,Ellsworth,KS,6102,"Ellsworth, KS"
915,Finney,KS,36467,"Finney, KS"
916,Ford,KS,33619,"Ford, KS"
917,Franklin,KS,25544,"Franklin, KS"
918,Geary,KS,31670,"Geary, KS"
919,Gove,KS,2636,"Gove, KS"
920,Graham,KS,2482,"Graham, KS"
921,Grant,KS,7150,"Grant, KS"
922,Gray,KS,5988,"Gray, KS"
923,Greeley,KS,1232,"Greeley, KS"
924,Greenwood,KS,5982,"Greenwood, KS"
925,Hamilton,KS,2539,"Hamilton, KS"
926,Harper,KS,5436,"Harper, KS"
927,Harvey,KS,34429,"Harvey, KS"
928,Haskell,KS,3968,"Haskell, KS"
929,Hodgeman,KS,1794,"Hodgeman, KS"
930,Jackson,KS,13171,"Jackson, KS"
931,Jefferson,KS,19043,"Jefferson, KS"
932,Jewell,KS,2879,"Jewell, KS"
933,Johnson,KS,602401,"Johnson, KS"
934,Kearny,KS,3838,"Kearny, KS"
935,Kingman,KS,7152,"Kingman, KS"
936,Kiowa,KS,2475,"Kiowa, KS"
937,Labette,KS,19618,"Labette, KS"
938,Lane,KS,1535,"Lane, KS"
939,Leavenworth,KS,81758,"Leavenworth, KS"
940,Lincoln,KS,2962,"Lincoln, KS"
941,Linn,KS,9703,"Linn, KS"
942,Logan,KS,2794,"Logan, KS"
943,Lyon,KS,33195,"Lyon, KS"
944,McPherson,KS,28542,"McPherson, KS"
945,Marion,KS,11884,"Marion, KS"
946,Marshall,KS,9707,"Marshall, KS"
947,Meade,KS,4033,"Meade, KS"
948,Miami,KS,34237,"Miami, KS"
949,Mitchell,KS,5979,"Mitchell, KS"
950,Montgomery,KS,31829,"Montgomery, KS"
951,Morris,KS,5620,"Morris, KS"
952,Morton,KS,2587,"Morton, KS"
953,Nemaha,KS,10231,"Nemaha, KS"
954,Neosho,KS,16007,"Neosho, KS"
955,Ness,KS,2750,"Ness, KS"
956,Norton,KS,5361,"Norton, KS"
957,Osage,KS,15949,"Osage, KS"
958,Osborne,KS,3421,"Osborne, KS"
959,Ottawa,KS,5704,"Ottawa, KS"
960,Pawnee,KS,6414,"Pawnee, KS"
961,Phillips,KS,5234,"Phillips, KS"
962,Pottawatomie,KS,24383,"Pottawatomie, KS"
963,Pratt,KS,9164,"Pratt, KS"
964,Rawlins,KS,2530,"Rawlins, KS"
965,Reno,KS,61998,"Reno, KS"
966,Republic,KS,4636,"Republic, KS"
967,Rice,KS,9537,"Rice, KS"
968,Riley,KS,74232,"Riley, KS"
969,Rooks,KS,4920,"Rooks, KS"
970,Rush,KS,3036,"Rush, KS"
971,Russell,KS,6856,"Russell, KS"
972,Saline,KS,54224,"Saline, KS"
973,Scott,KS,4823,"Scott, KS"
974,Sedgwick,KS,516042,"Sedgwick, KS"
975,Seward,KS,21428,"Seward, KS"
976,Shawnee,KS,176875,"Shawnee, KS"
977,Sheridan,KS,2521,"Sheridan, KS"
978,Sherman,KS,5917,"Sherman, KS"
979,Smith,KS,3583,"Smith, KS"
980,Stafford,KS,4156,"Stafford, KS"
981,Stanton,KS,2006,"Stanton, KS"
982,Stevens,KS,5485,"Stevens, KS"
983,Sumner,KS,22836,"Sumner, KS"
984,Thomas,KS,7777,"Thomas, KS"
985,Trego,KS,2803,"Trego, KS"
986,Wabaunsee,KS,6931,"Wabaunsee, KS"
987,Wallace,KS,1518,"Wallace, KS"
988,WA,KS,5406,"WA, KS"
989,Wichita,KS,2119,"Wichita, KS"
990,Wilson,KS,8525,"Wilson, KS"
991,Woodson,KS,3138,"Woodson, KS"
992,Wyandotte,KS,165429,"Wyandotte, KS"
993,Adair,KY,19202,"Adair, KY"
994,Allen,KY,21315,"Allen, KY"
995,Anderson,KY,22747,"Anderson, KY"
996,Ballard,KY,7888,"Ballard, KY"
997,Barren,KY,44249,"Barren, KY"
998,Bath,KY,12500,"Bath, KY"
999,Bell,KY,26032,"Bell, KY"
1000,Boone,KY,133581,"Boone, KY"
1001,Bourbon,KY,19788,"Bourbon, KY"
1002,Boyd,KY,46718,"Boyd, KY"
1003,Boyle,KY,30060,"Boyle, KY"
1004,Bracken,KY,8303,"Bracken, KY"
1005,Breathitt,KY,12630,"Breathitt, KY"
1006,Breckinridge,KY,20477,"Breckinridge, KY"
1007,Bullitt,KY,81676,"Bullitt, KY"
1008,Butler,KY,12879,"Butler, KY"
1009,Caldwell,KY,12747,"Caldwell, KY"
1010,Calloway,KY,39001,"Calloway, KY"
1011,Campbell,KY,93584,"Campbell, KY"
1012,Carlisle,KY,4760,"Carlisle, KY"
1013,Carroll,KY,10631,"Carroll, KY"
1014,Carter,KY,26797,"Carter, KY"
1015,Casey,KY,16159,"Casey, KY"
1016,Christian,KY,70461,"Christian, KY"
1017,Clark,KY,36263,"Clark, KY"
1018,Clay,KY,19901,"Clay, KY"
1019,Clinton,KY,10218,"Clinton, KY"
1020,Crittenden,KY,8806,"Crittenden, KY"
1021,Cumberland,KY,6614,"Cumberland, KY"
1022,Daviess,KY,101511,"Daviess, KY"
1023,Edmonson,KY,12150,"Edmonson, KY"
1024,Elliott,KY,7517,"Elliott, KY"
1025,Estill,KY,14106,"Estill, KY"
1026,Fayette,KY,323152,"Fayette, KY"
1027,Fleming,KY,14581,"Fleming, KY"
1028,Floyd,KY,35589,"Floyd, KY"
1029,Franklin,KY,50991,"Franklin, KY"
1030,Fulton,KY,5969,"Fulton, KY"
1031,Gallatin,KY,8869,"Gallatin, KY"
1032,Garrard,KY,17666,"Garrard, KY"
1033,Grant,KY,25069,"Grant, KY"
1034,Graves,KY,37266,"Graves, KY"
1035,Grayson,KY,26427,"Grayson, KY"
1036,Green,KY,10941,"Green, KY"
1037,Greenup,KY,35098,"Greenup, KY"
1038,Hancock,KY,8722,"Hancock, KY"
1039,Hardin,KY,110958,"Hardin, KY"
1040,Harlan,KY,26010,"Harlan, KY"
1041,Harrison,KY,18886,"Harrison, KY"
1042,Hart,KY,19035,"Hart, KY"
1043,Henderson,KY,45210,"Henderson, KY"
1044,Henry,KY,16126,"Henry, KY"
1045,Hickman,KY,4380,"Hickman, KY"
1046,Hopkins,KY,44686,"Hopkins, KY"
1047,Jackson,KY,13329,"Jackson, KY"
1048,Jefferson,KY,766757,"Jefferson, KY"
1049,Jessamine,KY,54115,"Jessamine, KY"
1050,Johnson,KY,22188,"Johnson, KY"
1051,Kenton,KY,166998,"Kenton, KY"
1052,Knott,KY,14806,"Knott, KY"
1053,Knox,KY,31145,"Knox, KY"
1054,Larue,KY,14398,"Larue, KY"
1055,Laurel,KY,60813,"Laurel, KY"
1056,Lawrence,KY,15317,"Lawrence, KY"
1057,Lee,KY,7403,"Lee, KY"
1058,Leslie,KY,9877,"Leslie, KY"
1059,Letcher,KY,21553,"Letcher, KY"
1060,Lewis,KY,13275,"Lewis, KY"
1061,Lincoln,KY,24549,"Lincoln, KY"
1062,Livingston,KY,9194,"Livingston, KY"
1063,Logan,KY,27102,"Logan, KY"
1064,Lyon,KY,8210,"Lyon, KY"
1065,McCracken,KY,65418,"McCracken, KY"
1066,McCreary,KY,17231,"McCreary, KY"
1067,McLean,KY,9207,"McLean, KY"
1068,Madison,KY,92987,"Madison, KY"
1069,Magoffin,KY,12161,"Magoffin, KY"
1070,Marion,KY,19273,"Marion, KY"
1071,Marshall,KY,31100,"Marshall, KY"
1072,Martin,KY,11195,"Martin, KY"
1073,Mason,KY,17070,"Mason, KY"
1074,Meade,KY,28572,"Meade, KY"
1075,Menifee,KY,6489,"Menifee, KY"
1076,Mercer,KY,21933,"Mercer, KY"
1077,Metcalfe,KY,10071,"Metcalfe, KY"
1078,Monroe,KY,10650,"Monroe, KY"
1079,Montgomery,KY,28157,"Montgomery, KY"
1080,Morgan,KY,13309,"Morgan, KY"
1081,Muhlenberg,KY,30622,"Muhlenberg, KY"
1082,Nelson,KY,46233,"Nelson, KY"
1083,Nicholas,KY,7269,"Nicholas, KY"
1084,OH,KY,23994,"OH, KY"
1085,Oldham,KY,66799,"Oldham, KY"
1086,Owen,KY,10901,"Owen, KY"
1087,Owsley,KY,4415,"Owsley, KY"
1088,Pendleton,KY,14590,"Pendleton, KY"
1089,Perry,KY,25758,"Perry, KY"
1090,Pike,KY,57876,"Pike, KY"
1091,Powell,KY,12359,"Powell, KY"
1092,Pulaski,KY,64979,"Pulaski, KY"
1093,Robertson,KY,2108,"Robertson, KY"
1094,Rockcastle,KY,16695,"Rockcastle, KY"
1095,Rowan,KY,24460,"Rowan, KY"
1096,Russell,KY,17923,"Russell, KY"
1097,Scott,KY,57004,"Scott, KY"
1098,Shelby,KY,49024,"Shelby, KY"
1099,Simpson,KY,18572,"Simpson, KY"
1100,Spencer,KY,19351,"Spencer, KY"
1101,Taylor,KY,25769,"Taylor, KY"
1102,Todd,KY,12294,"Todd, KY"
1103,Trigg,KY,14651,"Trigg, KY"
1104,Trimble,KY,8471,"Trimble, KY"
1105,Union,KY,14381,"Union, KY"
1106,Warren,KY,132896,"Warren, KY"
1107,WA,KY,12095,"WA, KY"
1108,Wayne,KY,20333,"Wayne, KY"
1109,Webster,KY,12942,"Webster, KY"
1110,Whitley,KY,36264,"Whitley, KY"
1111,Wolfe,KY,7157,"Wolfe, KY"
1112,Woodford,KY,26734,"Woodford, KY"
1113,Acadia,LA,62045,"Acadia, LA"
1114,Allen,LA,25627,"Allen, LA"
1115,Ascension,LA,126604,"Ascension, LA"
1116,Assumption,LA,21891,"Assumption, LA"
1117,Avoyelles,LA,40144,"Avoyelles, LA"
1118,Beauregard,LA,37497,"Beauregard, LA"
1119,Bienville,LA,13241,"Bienville, LA"
1120,Bossier,LA,127039,"Bossier, LA"
1121,Caddo,LA,240204,"Caddo, LA"
1122,Calcasieu,LA,203436,"Calcasieu, LA"
1123,Caldwell,LA,9918,"Caldwell, LA"
1124,Cameron,LA,6973,"Cameron, LA"
1125,Catahoula,LA,9494,"Catahoula, LA"
1126,Claiborne,LA,15670,"Claiborne, LA"
1127,Concordia,LA,19259,"Concordia, LA"
1128,De Soto,LA,27463,"De Soto, LA"
1129,East Baton Rouge,LA,440059,"East Baton Rouge, LA"
1130,East Carroll,LA,6861,"East Carroll, LA"
1131,East Feliciana,LA,19135,"East Feliciana, LA"
1132,Evangeline,LA,33395,"Evangeline, LA"
1133,Franklin,LA,20015,"Franklin, LA"
1134,Grant,LA,22389,"Grant, LA"
1135,Iberia,LA,69830,"Iberia, LA"
1136,Iberville,LA,32511,"Iberville, LA"
1137,Jackson,LA,15744,"Jackson, LA"
1138,Jefferson,LA,432493,"Jefferson, LA"
1139,Jefferson Davis,LA,31368,"Jefferson Davis, LA"
1140,Lafayette,LA,244390,"Lafayette, LA"
1141,Lafourche,LA,97614,"Lafourche, LA"
1142,LaSalle,LA,14892,"LaSalle, LA"
1143,Lincoln,LA,46742,"Lincoln, LA"
1144,Livingston,LA,140789,"Livingston, LA"
1145,Madison,LA,10951,"Madison, LA"
1146,Morehouse,LA,24874,"Morehouse, LA"
1147,Natchitoches,LA,38158,"Natchitoches, LA"
1148,Orleans,LA,390144,"Orleans, LA"
1149,Ouachita,LA,153279,"Ouachita, LA"
1150,Plaquemines,LA,23197,"Plaquemines, LA"
1151,Pointe Coupee,LA,21730,"Pointe Coupee, LA"
1152,Rapides,LA,129648,"Rapides, LA"
1153,Red River,LA,8442,"Red River, LA"
1154,Richland,LA,20122,"Richland, LA"
1155,Sabine,LA,23884,"Sabine, LA"
1156,St. Bernard,LA,47244,"St. Bernard, LA"
1157,St. Charles,LA,53100,"St. Charles, LA"
1158,St. Helena,LA,10132,"St. Helena, LA"
1159,St. James,LA,21096,"St. James, LA"
1160,St. John the Baptist,LA,42837,"St. John the Baptist, LA"
1161,St. Landry,LA,82124,"St. Landry, LA"
1162,St. Martin,LA,53431,"St. Martin, LA"
1163,St. Mary,LA,49348,"St. Mary, LA"
1164,St. Tammany,LA,260419,"St. Tammany, LA"
1165,Tangipahoa,LA,134758,"Tangipahoa, LA"
1166,Tensas,LA,4334,"Tensas, LA"
1167,Terrebonne,LA,110461,"Terrebonne, LA"
1168,Union,LA,22108,"Union, LA"
1169,Vermilion,LA,59511,"Vermilion, LA"
1170,Vernon,LA,47429,"Vernon, LA"
1171,WA,LA,46194,"WA, LA"
1172,Webster,LA,38340,"Webster, LA"
1173,West Baton Rouge,LA,26465,"West Baton Rouge, LA"
1174,West Carroll,LA,10830,"West Carroll, LA"
1175,West Feliciana,LA,15568,"West Feliciana, LA"
1176,Winn,LA,13904,"Winn, LA"
1177,Androscoggin,ME,108277,"Androscoggin, ME"
1178,Aroostook,ME,67055,"Aroostook, ME"
1179,Cumberland,ME,295003,"Cumberland, ME"
1180,Franklin,ME,30199,"Franklin, ME"
1181,Hancock,ME,54987,"Hancock, ME"
1182,Kennebec,ME,122302,"Kennebec, ME"
1183,Knox,ME,39772,"Knox, ME"
1184,Lincoln,ME,34634,"Lincoln, ME"
1185,Oxford,ME,57975,"Oxford, ME"
1186,Penobscot,ME,152148,"Penobscot, ME"
1187,Piscataquis,ME,16785,"Piscataquis, ME"
1188,Sagadahoc,ME,35856,"Sagadahoc, ME"
1189,Somerset,ME,50484,"Somerset, ME"
1190,Waldo,ME,39715,"Waldo, ME"
1191,WA,ME,31379,"WA, ME"
1192,York,ME,207641,"York, ME"
1193,Allegany,MD,70416,"Allegany, MD"
1194,Anne Arundel,MD,579234,"Anne Arundel, MD"
1195,Baltimore,MD,827370,"Baltimore, MD"
1196,Calvert,MD,92525,"Calvert, MD"
1197,Caroline,MD,33406,"Caroline, MD"
1198,Carroll,MD,168447,"Carroll, MD"
1199,Cecil,MD,102855,"Cecil, MD"
1200,Charles,MD,163257,"Charles, MD"
1201,Dorchester,MD,31929,"Dorchester, MD"
1202,Frederick,MD,259547,"Frederick, MD"
1203,Garrett,MD,29014,"Garrett, MD"
1204,Harford,MD,255441,"Harford, MD"
1205,Howard,MD,325690,"Howard, MD"
1206,Kent,MD,19422,"Kent, MD"
1207,Montgomery,MD,1050688,"Montgomery, MD"
1208,Prince George's,MD,909327,"Prince George's, MD"
1209,Queen Anne's,MD,50381,"Queen Anne's, MD"
1210,St. Mary's,MD,113510,"St. Mary's, MD"
1211,Somerset,MD,25616,"Somerset, MD"
1212,Talbot,MD,37181,"Talbot, MD"
1213,WA,MD,151049,"WA, MD"
1214,Wicomico,MD,103609,"Wicomico, MD"
1215,Worcester,MD,52276,"Worcester, MD"
1216,Baltimo,MD,593490,"Baltimo, MD"
1217,Barnstable,MA,212990,"Barnstable, MA"
1218,Berkshire,MA,124944,"Berkshire, MA"
1219,Bristol,MA,565217,"Bristol, MA"
1220,Dukes,MA,17332,"Dukes, MA"
1221,Essex,MA,789034,"Essex, MA"
1222,Franklin,MA,70180,"Franklin, MA"
1223,Hampden,MA,466372,"Hampden, MA"
1224,Hampshire,MA,160830,"Hampshire, MA"
1225,Middlesex,MA,1611699,"Middlesex, MA"
1226,Nantucket,MA,11399,"Nantucket, MA"
1227,Norfolk,MA,706775,"Norfolk, MA"
1228,Plymouth,MA,521202,"Plymouth, MA"
1229,Suffolk,MA,803907,"Suffolk, MA"
1230,Worcester,MA,830622,"Worcester, MA"
1231,Alcona,MI,10405,"Alcona, MI"
1232,Alger,MI,9108,"Alger, MI"
1233,Allegan,MI,118081,"Allegan, MI"
1234,Alpena,MI,28405,"Alpena, MI"
1235,Antrim,MI,23324,"Antrim, MI"
1236,Arenac,MI,14883,"Arenac, MI"
1237,Baraga,MI,8209,"Baraga, MI"
1238,Barry,MI,61550,"Barry, MI"
1239,Bay,MI,103126,"Bay, MI"
1240,Benzie,MI,17766,"Benzie, MI"
1241,Berrien,MI,153401,"Berrien, MI"
1242,Branch,MI,43517,"Branch, MI"
1243,Calhoun,MI,134159,"Calhoun, MI"
1244,Cass,MI,51787,"Cass, MI"
1245,Charlevoix,MI,26143,"Charlevoix, MI"
1246,Cheboygan,MI,25276,"Cheboygan, MI"
1247,Chippewa,MI,37349,"Chippewa, MI"
1248,Clare,MI,30950,"Clare, MI"
1249,Clinton,MI,79595,"Clinton, MI"
1250,Crawford,MI,14029,"Crawford, MI"
1251,Delta,MI,35784,"Delta, MI"
1252,Dickinson,MI,25239,"Dickinson, MI"
1253,Eaton,MI,110268,"Eaton, MI"
1254,Emmet,MI,33415,"Emmet, MI"
1255,Genesee,MI,405813,"Genesee, MI"
1256,Gladwin,MI,25449,"Gladwin, MI"
1257,Gogebic,MI,13975,"Gogebic, MI"
1258,Grand Traverse,MI,93088,"Grand Traverse, MI"
1259,Gratiot,MI,40711,"Gratiot, MI"
1260,Hillsdale,MI,45605,"Hillsdale, MI"
1261,Houghton,MI,35684,"Houghton, MI"
1262,Huron,MI,30981,"Huron, MI"
1263,Ingham,MI,292406,"Ingham, MI"
1264,Ionia,MI,64697,"Ionia, MI"
1265,Iosco,MI,25127,"Iosco, MI"
1266,Iron,MI,11066,"Iron, MI"
1267,Isabella,MI,69872,"Isabella, MI"
1268,Jackson,MI,158510,"Jackson, MI"
1269,Kalamazoo,MI,265066,"Kalamazoo, MI"
1270,Kalkaska,MI,18038,"Kalkaska, MI"
1271,Kent,MI,656955,"Kent, MI"
1272,Keweenaw,MI,2116,"Keweenaw, MI"
1273,Lake,MI,11853,"Lake, MI"
1274,Lapeer,MI,87607,"Lapeer, MI"
1275,Leelanau,MI,21761,"Leelanau, MI"
1276,Lenawee,MI,98451,"Lenawee, MI"
1277,Livingston,MI,191995,"Livingston, MI"
1278,Luce,MI,6229,"Luce, MI"
1279,Mackinac,MI,10799,"Mackinac, MI"
1280,Macomb,MI,873972,"Macomb, MI"
1281,Manistee,MI,24558,"Manistee, MI"
1282,Marquette,MI,66699,"Marquette, MI"
1283,Mason,MI,29144,"Mason, MI"
1284,Mecosta,MI,43453,"Mecosta, MI"
1285,Menominee,MI,22780,"Menominee, MI"
1286,Midland,MI,83156,"Midland, MI"
1287,Missaukee,MI,15118,"Missaukee, MI"
1288,Monroe,MI,150500,"Monroe, MI"
1289,Montcalm,MI,63888,"Montcalm, MI"
1290,Montmorency,MI,9328,"Montmorency, MI"
1291,Muskegon,MI,173566,"Muskegon, MI"
1292,Newaygo,MI,48980,"Newaygo, MI"
1293,Oakland,MI,1257584,"Oakland, MI"
1294,Oceana,MI,26467,"Oceana, MI"
1295,Ogemaw,MI,20997,"Ogemaw, MI"
1296,Ontonagon,MI,5720,"Ontonagon, MI"
1297,Osceola,MI,23460,"Osceola, MI"
1298,Oscoda,MI,8241,"Oscoda, MI"
1299,Otsego,MI,24668,"Otsego, MI"
1300,Ottawa,MI,291830,"Ottawa, MI"
1301,Presque Isle,MI,12592,"Presque Isle, MI"
1302,Roscommon,MI,24019,"Roscommon, MI"
1303,Saginaw,MI,190539,"Saginaw, MI"
1304,St. Clair,MI,159128,"St. Clair, MI"
1305,St. Joseph,MI,60964,"St. Joseph, MI"
1306,Sanilac,MI,41170,"Sanilac, MI"
1307,Schoolcraft,MI,8094,"Schoolcraft, MI"
1308,Shiawassee,MI,68122,"Shiawassee, MI"
1309,Tuscola,MI,52245,"Tuscola, MI"
1310,Van Buren,MI,75677,"Van Buren, MI"
1311,Washtenaw,MI,367601,"Washtenaw, MI"
1312,Wayne,MI,1749343,"Wayne, MI"
1313,Wexford,MI,33631,"Wexford, MI"
1314,Aitkin,MN,15886,"Aitkin, MN"
1315,Anoka,MN,356921,"Anoka, MN"
1316,Becker,MN,34423,"Becker, MN"
1317,Beltrami,MN,47188,"Beltrami, MN"
1318,Benton,MN,40889,"Benton, MN"
1319,Big Stone,MN,4991,"Big Stone, MN"
1320,Blue Earth,MN,67653,"Blue Earth, MN"
1321,Brown,MN,25008,"Brown, MN"
1322,Carlton,MN,35871,"Carlton, MN"
1323,Carver,MN,105089,"Carver, MN"
1324,Cass,MN,29779,"Cass, MN"
1325,Chippewa,MN,11800,"Chippewa, MN"
1326,Chisago,MN,56579,"Chisago, MN"
1327,Clay,MN,64222,"Clay, MN"
1328,Clearwater,MN,8818,"Clearwater, MN"
1329,Cook,MN,5463,"Cook, MN"
1330,Cottonwood,MN,11196,"Cottonwood, MN"
1331,Crow Wing,MN,65055,"Crow Wing, MN"
1332,Dakota,MN,429021,"Dakota, MN"
1333,Dodge,MN,20934,"Dodge, MN"
1334,Douglas,MN,38141,"Douglas, MN"
1335,Faribault,MN,13653,"Faribault, MN"
1336,Fillmore,MN,21067,"Fillmore, MN"
1337,Freeborn,MN,30281,"Freeborn, MN"
1338,Goodhue,MN,46340,"Goodhue, MN"
1339,Grant,MN,5972,"Grant, MN"
1340,Hennepin,MN,1265843,"Hennepin, MN"
1341,Houston,MN,18600,"Houston, MN"
1342,Hubbard,MN,21491,"Hubbard, MN"
1343,Isanti,MN,40596,"Isanti, MN"
1344,Itasca,MN,45130,"Itasca, MN"
1345,Jackson,MN,9846,"Jackson, MN"
1346,Kanabec,MN,16337,"Kanabec, MN"
1347,Kandiyohi,MN,43199,"Kandiyohi, MN"
1348,Kittson,MN,4298,"Kittson, MN"
1349,Koochiching,MN,12229,"Koochiching, MN"
1350,Lac qui Parle,MN,6623,"Lac qui Parle, MN"
1351,Lake,MN,10641,"Lake, MN"
1352,Lake of the Woods,MN,3740,"Lake of the Woods, MN"
1353,Le Sueur,MN,28887,"Le Sueur, MN"
1354,Lincoln,MN,5639,"Lincoln, MN"
1355,Lyon,MN,25474,"Lyon, MN"
