,date,sitename,value,aqi_value,aqi_category,fips
107,2020-02-01,Kooker Park,6.0,6,0,12031
108,2020-02-01,Mandarin,10.0,10,0,12031
109,2020-02-01,GARDINIER,14.0,13,0,12057
110,2020-02-01,DAVIS ISLAND,13.0,12,0,12057
111,2020-02-01,Winkler Pump Station,9.0,9,0,12071
112,2020-02-01,Fl. Baptist Children's Home,13.0,13,0,12105
113,2020-02-01,Palatka,8.0,8,0,12107
114,2020-02-01,Paw Park,9.0,8,0,12115
115,2020-02-01,Seminole Community College (AG COMP),8.0,8,0,12117
116,2020-02-01,Macon Forestry,10.0,10,0,13021
117,2020-02-01,Savannah L&A,9.0,9,0,13051
118,2020-02-01,Athens,14.0,14,0,13059
119,2020-02-01,South DeKalb,15.0,14,0,13089
120,2020-02-01,Gwinnett Tech,11.0,11,0,13135
121,2020-02-01,Gainesville,10.0,10,0,13139
122,2020-02-01,Warner Robins,11.0,11,0,13153
123,2020-02-01,Augusta,5.0,6,0,13245
124,2020-02-01,Rossville,11.0,11,0,13295
125,2020-02-01,Honolulu,14.0,13,0,15003
126,2020-02-01,Pearl City,15.0,14,0,15003
127,2020-02-01,Boise Fire Station,21.0,20,0,16001
128,2020-02-01,Pocatello Garrett and Gould,7.0,6,0,16005
129,2020-02-01,Sandpoint U of I,4.0,4,0,16017
130,2020-02-01,Nampa Fire Station,7.0,7,0,16027
131,2020-02-01,Pinehurst,3.0,4,0,16079
132,2020-02-01,Gary-IITRI,7.0,6,0,18089
133,2020-02-01,Indpls-Washington Park,24.0,23,0,18097
134,2020-02-01,Portage-Hwy 12,7.0,6,0,18127
135,2020-02-01,Buffalo,16.0,15,0,19163
136,2020-02-01,Chanute,6.0,6,0,20133
137,2020-02-01,WHlthDpt,19.0,19,0,20173
138,2020-02-01,KNI-Topeka,6.0,6,0,20177
139,2020-02-01,Goodland,11.0,10,0,20181
140,2020-02-01,PECK,7.0,7,0,20191
141,2020-02-01,Cedar Bluff,1.0,2,0,20195
142,2020-02-01,WY/KC,28.0,26,0,20209
143,2020-02-01,WATSON,22.0,20,0,21111
144,2020-02-01,Cannons Lane,19.0,19,0,21111
145,2020-02-01,Near Road,22.0,21,0,21111
146,2020-02-01,Carrithers Middle School,21.0,19,0,21111
147,2020-02-01,Firearms Training,21.0,20,0,21111
148,2020-02-01,Presque Isle Riverside,111.0,79,1,23003
149,2020-02-01,DEARBORN,15.0,14,0,26163
150,2020-02-01,Blaine,9.0,8,0,27003
151,2020-02-01,Minneapolis-Lowry Ave,9.0,9,0,27053
152,2020-02-01,Minneapolis-Pacific St,14.0,13,0,27053
153,2020-02-01,Minneapolis - Bottineau/Marshall Terrace,13.0,13,0,27053
154,2020-02-01,St. Paul - Downtown,14.0,14,0,27123
155,2020-02-01,St. Joseph,12.0,11,0,29021
156,2020-02-01,Hillcrest HS,7.0,6,0,29077
157,2020-02-01,Front Street,14.0,14,0,29095
158,2020-02-01,CARTHAGE,10.0,9,0,29097
159,2020-02-01,ARNOLD WEST,7.0,6,0,29099
160,2020-02-01,MTSP,4.0,5,0,29137
161,2020-02-01,Branch Street,9.0,9,0,29510
162,2020-02-01,Lewistown,11.0,10,0,30027
163,2020-02-01,White Fish Dead End,2.0,3,0,30029
164,2020-02-01,Kalispell Flathead Electric,9.0,8,0,30029
165,2020-02-01,Columbia Falls,0.0,0,0,30029
166,2020-02-01,Libby Courthouse,3.0,3,0,30053
167,2020-02-01,Missoula Boyd Park,7.0,6,0,30063
168,2020-02-01,Malta,56.0,52,1,30071
169,2020-02-01,Broadus,4.0,4,0,30075
170,2020-02-01,Sidney 201,21.0,19,0,30083
171,2020-02-01,Thompson Falls HS,4.0,5,0,30089
172,2020-02-01,Butte Greely School,8.0,8,0,30093
173,2020-02-01,NCORE,9.0,9,0,31055
174,2020-02-01,Paul Meyer,19.0,19,0,32003
175,2020-02-01,Walter Johnson,16.0,16,0,32003
176,2020-02-01,Palo Verde,13.0,13,0,32003
177,2020-02-01,Joe Neal,25.0,24,0,32003
178,2020-02-01,GreenValley,22.0,21,0,32003
179,2020-02-01,Jerome Mack,51.0,47,0,32003
180,2020-02-01,Sunrise Acres,60.0,53,1,32003
181,2020-02-01,Boulder City,10.0,10,0,32003
182,2020-02-01,Jean,25.0,23,0,32003
183,2020-02-01,Elko,17.0,16,0,32007
184,2020-02-01,Linda,8.0,7,0,32023
185,2020-02-01,Church,13.0,12,0,32023
186,2020-02-01,Manse,18.0,18,0,32023
187,2020-02-01,Glen Oaks,16.0,16,0,32023
188,2020-02-01,Reno3,17.0,16,0,32031
189,2020-02-01,Toll,11.0,11,0,32031
190,2020-02-01,Sparks,29.0,27,0,32031
191,2020-02-01,Spanish Springs,14.0,14,0,32031
192,2020-02-01,Miller State Park,7.0,7,0,33011
193,2020-02-01,Portsmouth,18.0,18,0,33015
194,2020-02-01,Anthony,22.0,21,0,35013
195,2020-02-01,Holman Rd,11.0,10,0,35013
196,2020-02-01,Chaparral,20.0,19,0,35013
197,2020-02-01,Desert View,11.0,11,0,35013
198,2020-02-01,West Mesa,5.0,6,0,35013
199,2020-02-01,7E Deming Airport,15.0,15,0,35029
200,2020-02-01,Substation,1.0,2,0,35045
