,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
553,02/06/20,Sand Mountain,OZONE-1HR,PPB,32.0,1,-999,-999,01049
554,02/06/20,Sand Mountain,OZONE-8HR,PPB,16.0,8,15,0,01049
556,02/06/20,NO. BHAM,OZONE-1HR,PPB,35.0,1,-999,-999,01073
557,02/06/20,NO. BHAM,OZONE-8HR,PPB,21.0,8,19,0,01073
558,02/06/20,NO. BHAM,PM10-24hr,UG/M3,4.0,24,5,0,01073
559,02/06/20,MCADORY,PM2.5-24hr,UG/M3,1.3,24,6,0,01073
560,02/06/20,WYLAM,PM10-24hr,UG/M3,3.0,24,3,0,01073
561,02/06/20,WYLAM,PM2.5-24hr,UG/M3,1.6,24,7,0,01073
562,02/06/20,CORNER,PM2.5-24hr,UG/M3,0.8,24,4,0,01073
563,02/06/20,Shuttlesworth,PM10-24hr,UG/M3,23.0,24,21,0,01073
564,02/06/20,Shuttlesworth,PM2.5-24hr,UG/M3,16.0,24,59,1,01073
565,02/06/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,3.3,24,14,0,01089
859,02/06/20,Garden,CO-8hr,PPM,0.9,1,10,0,02020
860,02/06/20,Garden,PM10-24hr,UG/M3,5.0,24,6,0,02020
861,02/06/20,Garden,PM2.5-24hr,UG/M3,4.1,24,18,0,02020
862,02/06/20,Parkgate (Eagle River),PM10-24hr,UG/M3,3.0,24,3,0,02020
874,02/06/20,Bethel,PM10-24hr,UG/M3,7.0,24,6,0,02050
875,02/06/20,Bethel,PM2.5-24hr,UG/M3,6.0,24,25,0,02050
876,02/06/20,Denali NPP,OZONE-1HR,PPB,40.0,1,-999,-999,02068
877,02/06/20,Denali NPP,OZONE-8HR,PPB,39.0,8,36,0,02068
878,02/06/20,NCore,CO-8hr,PPM,0.25,1,3,0,02090
879,02/06/20,NCore,OZONE-1HR,PPB,22.0,1,-999,-999,02090
880,02/06/20,NCore,OZONE-8HR,PPB,18.0,8,17,0,02090
881,02/06/20,NCore,PM10-24hr,UG/M3,14.0,24,13,0,02090
882,02/06/20,NCore,PM2.5-24hr,UG/M3,7.1,24,30,0,02090
883,02/06/20,NCore,SO2-24HR,PPB,4.0,24,-999,-999,02090
884,02/06/20,Hurst Road,PM2.5-24hr,UG/M3,10.5,24,44,0,02090
885,02/06/20,Floyd Dryden,PM10-24hr,UG/M3,5.0,24,6,0,02110
886,02/06/20,Floyd Dryden,PM2.5-24hr,UG/M3,4.9,24,21,0,02110
902,02/06/20,Butte (Harrison Court),PM10-24hr,UG/M3,3.0,24,4,0,02170
903,02/06/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,3.2,24,14,0,02170
1344,02/06/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,8.0,24,7,0,04003
1345,02/06/20,Douglas Red Cross,PM10-24hr,UG/M3,26.0,24,24,0,04003
1346,02/06/20,Chiricahua NM,OZONE-1HR,PPB,43.0,1,-999,-999,04003
1347,02/06/20,Chiricahua NM,OZONE-8HR,PPB,41.0,8,38,0,04003
1348,02/06/20,Flagstaff Middle School,OZONE-1HR,PPB,40.0,1,-999,-999,04005
1349,02/06/20,Flagstaff Middle School,OZONE-8HR,PPB,39.0,8,36,0,04005
1350,02/06/20,Grand Canyon NP,OZONE-1HR,PPB,42.0,1,-999,-999,04005
1351,02/06/20,Grand Canyon NP,OZONE-8HR,PPB,37.0,8,34,0,04005
1352,02/06/20,Payson Well Site,PM10-24hr,UG/M3,29.0,24,27,0,04007
1353,02/06/20,Tonto National Monument,OZONE-1HR,PPB,43.0,1,-999,-999,04007
1354,02/06/20,Tonto National Monument,OZONE-8HR,PPB,41.0,8,38,0,04007
1355,02/06/20,Miami Jones Ranch,SO2-24HR,PPB,1.0,24,-999,-999,04007
1356,02/06/20,Miami Town Site,SO2-24HR,PPB,1.0,24,-999,-999,04007
1357,02/06/20,Hayden,PM10-24hr,UG/M3,13.0,24,12,0,04007
1358,02/06/20,Hayden,SO2-24HR,PPB,0.0,24,-999,-999,04007
1359,02/06/20,Miami Golf Course,PM10-24hr,UG/M3,21.0,24,20,0,04007
1370,02/06/20,Alamo Lake,OZONE-1HR,PPB,45.0,1,-999,-999,04012
1371,02/06/20,Alamo Lake,OZONE-8HR,PPB,42.0,8,39,0,04012
1372,02/06/20,Alamo Lake,PM10-24hr,UG/M3,6.0,24,6,0,04012
1373,02/06/20,Alamo Lake,PM2.5-24hr,UG/M3,2.5,24,11,0,04012
1434,02/06/20,StJohns,PM10-24hr,UG/M3,21.0,24,19,0,04013
1436,02/06/20,Senior Center,OZONE-1HR,PPB,37.0,1,-999,-999,04013
1437,02/06/20,Senior Center,OZONE-8HR,PPB,35.0,8,32,0,04013
1438,02/06/20,Senior Center,PM10-24hr,UG/M3,28.0,24,26,0,04013
1439,02/06/20,Red Mountain,OZONE-1HR,PPB,39.0,1,-999,-999,04013
1440,02/06/20,Red Mountain,OZONE-8HR,PPB,36.0,8,33,0,04013
1441,02/06/20,LEHI,OZONE-1HR,PPB,39.0,1,-999,-999,04013
1442,02/06/20,LEHI,OZONE-8HR,PPB,37.0,8,34,0,04013
1443,02/06/20,LEHI,PM10-24hr,UG/M3,18.0,24,17,0,04013
1444,02/06/20,High School,OZONE-1HR,PPB,35.0,1,-999,-999,04013
1445,02/06/20,High School,OZONE-8HR,PPB,32.0,8,30,0,04013
1446,02/06/20,High School,PM10-24hr,UG/M3,29.0,24,28,0,04013
1456,02/06/20,Phoenix JLG Supersite,CO-8hr,PPM,0.78,1,9,0,04013
1457,02/06/20,Phoenix JLG Supersite,OZONE-1HR,PPB,37.0,1,-999,-999,04013
1458,02/06/20,Phoenix JLG Supersite,OZONE-8HR,PPB,34.0,8,31,0,04013
1459,02/06/20,Phoenix JLG Supersite,PM10-24hr,UG/M3,26.0,24,24,0,04013
1460,02/06/20,Phoenix JLG Supersite,PM2.5-24hr,UG/M3,7.3,24,30,0,04013
1461,02/06/20,Phoenix JLG Supersite,SO2-24HR,PPB,0.0,24,-999,-999,04013
1462,02/06/20,Bullhead City,PM10-24hr,UG/M3,16.0,24,15,0,04015
1463,02/06/20,Petrified Forest NP,OZONE-1HR,PPB,39.0,1,-999,-999,04017
1464,02/06/20,Petrified Forest NP,OZONE-8HR,PPB,37.0,8,34,0,04017
1465,02/06/20,Ajo,PM10-24hr,UG/M3,10.0,24,9,0,04019
1466,02/06/20,Orange Grove,PM10-24hr,UG/M3,32.0,24,31,0,04019
1467,02/06/20,Orange Grove,PM2.5-24hr,UG/M3,7.3,24,30,0,04019
1468,02/06/20,Rillito,PM10-24hr,UG/M3,37.0,24,34,0,04019
1469,02/06/20,Saguaro Monument,OZONE-1HR,PPB,42.0,1,-999,-999,04019
1470,02/06/20,Saguaro Monument,OZONE-8HR,PPB,41.0,8,38,0,04019
1471,02/06/20,South Tucson,PM10-24hr,UG/M3,35.0,24,32,0,04019
1472,02/06/20,22nd Street & Craycroft,OZONE-1HR,PPB,41.0,1,-999,-999,04019
1473,02/06/20,22nd Street & Craycroft,OZONE-8HR,PPB,37.0,8,34,0,04019
1474,02/06/20,Tangerine & Camino de Oeste,OZONE-1HR,PPB,43.0,1,-999,-999,04019
1475,02/06/20,Tangerine & Camino de Oeste,OZONE-8HR,PPB,40.0,8,37,0,04019
1476,02/06/20,Fairgrounds,OZONE-1HR,PPB,44.0,1,-999,-999,04019
1477,02/06/20,Fairgrounds,OZONE-8HR,PPB,42.0,8,39,0,04019
1478,02/06/20,Children's Park Site,OZONE-1HR,PPB,44.0,1,-999,-999,04019
1479,02/06/20,Children's Park Site,OZONE-8HR,PPB,40.0,8,37,0,04019
1480,02/06/20,Children's Park Site,PM2.5-24hr,UG/M3,6.0,24,25,0,04019
1481,02/06/20,Green Valley,OZONE-1HR,PPB,42.0,1,-999,-999,04019
1482,02/06/20,Green Valley,OZONE-8HR,PPB,40.0,8,37,0,04019
