,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
540,04/04/20,Sand Mountain,OZONE-1HR,PPB,54.0,1,-999,-999,01049
541,04/04/20,Sand Mountain,OZONE-8HR,PPB,52.0,8,48,0,01049
546,04/04/20,NO. BHAM,OZONE-1HR,PPB,59.0,1,-999,-999,01073
547,04/04/20,NO. BHAM,OZONE-8HR,PPB,55.0,8,51,1,01073
548,04/04/20,NO. BHAM,PM10-24hr,UG/M3,24.0,24,23,0,01073
549,04/04/20,FAIRFIELD,OZONE-1HR,PPB,54.0,1,-999,-999,01073
550,04/04/20,FAIRFIELD,OZONE-8HR,PPB,51.0,8,47,0,01073
551,04/04/20,MCADORY,OZONE-1HR,PPB,61.0,1,-999,-999,01073
552,04/04/20,MCADORY,OZONE-8HR,PPB,54.0,8,50,0,01073
553,04/04/20,MCADORY,PM2.5-24hr,UG/M3,14.1,24,55,1,01073
554,04/04/20,LEEDS,OZONE-1HR,PPB,56.0,1,-999,-999,01073
555,04/04/20,LEEDS,OZONE-8HR,PPB,52.0,8,48,0,01073
556,04/04/20,WYLAM,PM10-24hr,UG/M3,16.0,24,16,0,01073
557,04/04/20,WYLAM,PM2.5-24hr,UG/M3,12.2,24,51,1,01073
558,04/04/20,CORNER,OZONE-1HR,PPB,56.0,1,-999,-999,01073
559,04/04/20,CORNER,OZONE-8HR,PPB,52.0,8,48,0,01073
560,04/04/20,CORNER,PM2.5-24hr,UG/M3,9.2,24,39,0,01073
561,04/04/20,TARRANT,OZONE-1HR,PPB,55.0,1,-999,-999,01073
562,04/04/20,TARRANT,OZONE-8HR,PPB,51.0,8,47,0,01073
563,04/04/20,Shuttlesworth,PM10-24hr,UG/M3,28.0,24,27,0,01073
564,04/04/20,Shuttlesworth,PM2.5-24hr,UG/M3,12.7,24,52,1,01073
565,04/04/20,Huntsville Old Airport,OZONE-1HR,PPB,55.0,1,-999,-999,01089
566,04/04/20,Huntsville Old Airport,OZONE-8HR,PPB,53.0,8,49,0,01089
567,04/04/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,11.1,24,47,0,01089
568,04/04/20,Huntsville Capshaw,OZONE-1HR,PPB,53.0,1,-999,-999,01089
569,04/04/20,Huntsville Capshaw,OZONE-8HR,PPB,51.0,8,47,0,01089
884,04/04/20,Garden,CO-8hr,PPM,0.41,1,5,0,02020
885,04/04/20,Garden,PM10-24hr,UG/M3,7.0,24,6,0,02020
886,04/04/20,Garden,PM2.5-24hr,UG/M3,4.6,24,20,0,02020
887,04/04/20,Parkgate (Eagle River),PM10-24hr,UG/M3,10.0,24,10,0,02020
899,04/04/20,Bethel,PM10-24hr,UG/M3,15.0,24,15,0,02050
900,04/04/20,Bethel,PM2.5-24hr,UG/M3,10.4,24,44,0,02050
901,04/04/20,Denali NPP,OZONE-1HR,PPB,46.0,1,-999,-999,02068
902,04/04/20,Denali NPP,OZONE-8HR,PPB,45.0,8,42,0,02068
903,04/04/20,NCore,CO-8hr,PPM,0.27,1,3,0,02090
904,04/04/20,NCore,OZONE-1HR,PPB,34.0,1,-999,-999,02090
905,04/04/20,NCore,OZONE-8HR,PPB,31.0,8,29,0,02090
906,04/04/20,NCore,PM10-24hr,UG/M3,9.0,24,8,0,02090
907,04/04/20,NCore,PM2.5-24hr,UG/M3,1.9,24,8,0,02090
908,04/04/20,NCore,SO2-24HR,PPB,1.0,24,-999,-999,02090
909,04/04/20,Hurst Road,PM2.5-24hr,UG/M3,2.3,24,10,0,02090
910,04/04/20,Floyd Dryden,PM10-24hr,UG/M3,8.0,24,8,0,02110
911,04/04/20,Floyd Dryden,PM2.5-24hr,UG/M3,5.9,24,25,0,02110
924,04/04/20,Butte (Harrison Court),PM10-24hr,UG/M3,2.0,24,3,0,02170
925,04/04/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,2.1,24,9,0,02170
1331,04/04/20,Douglas Red Cross,PM10-24hr,UG/M3,21.0,24,20,0,04003
1332,04/04/20,Chiricahua NM,OZONE-1HR,PPB,53.0,1,-999,-999,04003
1333,04/04/20,Chiricahua NM,OZONE-8HR,PPB,50.0,8,46,0,04003
1334,04/04/20,Flagstaff Middle School,OZONE-1HR,PPB,60.0,1,-999,-999,04005
1335,04/04/20,Flagstaff Middle School,OZONE-8HR,PPB,56.0,8,54,1,04005
1336,04/04/20,Grand Canyon NP,OZONE-1HR,PPB,54.0,1,-999,-999,04005
1337,04/04/20,Grand Canyon NP,OZONE-8HR,PPB,52.0,8,48,0,04005
1338,04/04/20,Payson Well Site,PM10-24hr,UG/M3,19.0,24,18,0,04007
1339,04/04/20,Tonto National Monument,OZONE-1HR,PPB,53.0,1,-999,-999,04007
1340,04/04/20,Tonto National Monument,OZONE-8HR,PPB,49.0,8,45,0,04007
1341,04/04/20,Miami Jones Ranch,SO2-24HR,PPB,1.0,24,-999,-999,04007
1342,04/04/20,Miami Town Site,SO2-24HR,PPB,0.0,24,-999,-999,04007
1343,04/04/20,Hayden,PM10-24hr,UG/M3,12.0,24,12,0,04007
1344,04/04/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
1345,04/04/20,Miami Golf Course,PM10-24hr,UG/M3,14.0,24,13,0,04007
1356,04/04/20,Alamo Lake,OZONE-1HR,PPB,55.0,1,-999,-999,04012
1357,04/04/20,Alamo Lake,OZONE-8HR,PPB,53.0,8,49,0,04012
1358,04/04/20,Alamo Lake,PM10-24hr,UG/M3,12.0,24,11,0,04012
1359,04/04/20,Alamo Lake,PM2.5-24hr,UG/M3,4.5,24,19,0,04012
1376,04/04/20,Ft McD Yuma Frank-AZ,OZONE-1HR,PPB,115.0,1,-999,-999,04013
1377,04/04/20,Ft McD Yuma Frank-AZ,OZONE-8HR,PPB,105.0,8,200,3,04013
1378,04/04/20,Ft McD Yuma Frank-AZ,PM10-24hr,UG/M3,27.0,24,25,0,04013
1423,04/04/20,StJohns,OZONE-1HR,PPB,56.0,1,-999,-999,04013
1424,04/04/20,StJohns,OZONE-8HR,PPB,50.0,8,46,0,04013
1425,04/04/20,StJohns,PM10-24hr,UG/M3,21.0,24,20,0,04013
1427,04/04/20,Senior Center,OZONE-1HR,PPB,56.0,1,-999,-999,04013
1428,04/04/20,Senior Center,OZONE-8HR,PPB,52.0,8,48,0,04013
1429,04/04/20,Senior Center,PM10-24hr,UG/M3,20.0,24,19,0,04013
1430,04/04/20,Red Mountain,OZONE-1HR,PPB,54.0,1,-999,-999,04013
1431,04/04/20,Red Mountain,OZONE-8HR,PPB,50.0,8,46,0,04013
1432,04/04/20,LEHI,OZONE-1HR,PPB,55.0,1,-999,-999,04013
1433,04/04/20,LEHI,OZONE-8HR,PPB,51.0,8,47,0,04013
1434,04/04/20,LEHI,PM10-24hr,UG/M3,24.0,24,22,0,04013
1435,04/04/20,High School,OZONE-1HR,PPB,51.0,1,-999,-999,04013
1436,04/04/20,High School,OZONE-8HR,PPB,48.0,8,44,0,04013
1437,04/04/20,High School,PM10-24hr,UG/M3,22.0,24,20,0,04013
1447,04/04/20,Phoenix JLG Supersite,CO-8hr,PPM,0.26,1,3,0,04013
1448,04/04/20,Phoenix JLG Supersite,OZONE-1HR,PPB,55.0,1,-999,-999,04013
1449,04/04/20,Phoenix JLG Supersite,OZONE-8HR,PPB,47.0,8,44,0,04013
1450,04/04/20,Phoenix JLG Supersite,PM10-24hr,UG/M3,18.0,24,17,0,04013
1451,04/04/20,Phoenix JLG Supersite,PM2.5-24hr,UG/M3,6.6,24,28,0,04013
1452,04/04/20,Phoenix JLG Supersite,SO2-24HR,PPB,0.0,24,-999,-999,04013
1453,04/04/20,Bullhead City,PM10-24hr,UG/M3,15.0,24,14,0,04015
1454,04/04/20,Petrified Forest NP,OZONE-1HR,PPB,50.0,1,-999,-999,04017
1455,04/04/20,Petrified Forest NP,OZONE-8HR,PPB,48.0,8,44,0,04017
1456,04/04/20,Ajo,PM10-24hr,UG/M3,12.0,24,12,0,04019
1457,04/04/20,Orange Grove,PM10-24hr,UG/M3,19.0,24,19,0,04019
1458,04/04/20,Orange Grove,PM2.5-24hr,UG/M3,2.3,24,10,0,04019
1459,04/04/20,Saguaro Monument,OZONE-1HR,PPB,49.0,1,-999,-999,04019
1460,04/04/20,Saguaro Monument,OZONE-8HR,PPB,47.0,8,44,0,04019
1461,04/04/20,South Tucson,PM10-24hr,UG/M3,16.0,24,16,0,04019
1462,04/04/20,22nd Street & Craycroft,OZONE-1HR,PPB,50.0,1,-999,-999,04019
1463,04/04/20,22nd Street & Craycroft,OZONE-8HR,PPB,47.0,8,44,0,04019
1464,04/04/20,Tangerine & Camino de Oeste,OZONE-1HR,PPB,52.0,1,-999,-999,04019
1465,04/04/20,Tangerine & Camino de Oeste,OZONE-8HR,PPB,48.0,8,44,0,04019
1466,04/04/20,Fairgrounds,OZONE-1HR,PPB,49.0,1,-999,-999,04019
1467,04/04/20,Fairgrounds,OZONE-8HR,PPB,48.0,8,44,0,04019
1468,04/04/20,Children's Park Site,OZONE-1HR,PPB,51.0,1,-999,-999,04019
1469,04/04/20,Children's Park Site,OZONE-8HR,PPB,47.0,8,44,0,04019
1470,04/04/20,Green Valley,OZONE-1HR,PPB,47.0,1,-999,-999,04019
1471,04/04/20,Green Valley,OZONE-8HR,PPB,46.0,8,43,0,04019
1472,04/04/20,Green Valley,PM10-24hr,UG/M3,6.0,24,6,0,04019
1473,04/04/20,Rose Elementary,OZONE-1HR,PPB,48.0,1,-999,-999,04019
