,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
490,02/08/20,Sand Mountain,OZONE-1HR,PPB,39.0,1,-999,-999,01049
491,02/08/20,Sand Mountain,OZONE-8HR,PPB,37.0,8,34,0,01049
492,02/08/20,NO. BHAM,OZONE-1HR,PPB,42.0,1,-999,-999,01073
493,02/08/20,NO. BHAM,OZONE-8HR,PPB,39.0,8,36,0,01073
494,02/08/20,NO. BHAM,PM10-24hr,UG/M3,12.0,24,12,0,01073
495,02/08/20,MCADORY,PM2.5-24hr,UG/M3,6.0,24,25,0,01073
496,02/08/20,WYLAM,PM10-24hr,UG/M3,10.0,24,9,0,01073
497,02/08/20,WYLAM,PM2.5-24hr,UG/M3,7.9,24,33,0,01073
498,02/08/20,CORNER,PM2.5-24hr,UG/M3,5.8,24,25,0,01073
499,02/08/20,Shuttlesworth,PM10-24hr,UG/M3,19.0,24,18,0,01073
500,02/08/20,Shuttlesworth,PM2.5-24hr,UG/M3,11.0,24,46,0,01073
501,02/08/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,6.6,24,28,0,01089
773,02/08/20,Garden,CO-8hr,PPM,0.66,1,8,0,02020
774,02/08/20,Garden,PM10-24hr,UG/M3,4.0,24,5,0,02020
775,02/08/20,Garden,PM2.5-24hr,UG/M3,3.2,24,13,0,02020
776,02/08/20,Parkgate (Eagle River),PM10-24hr,UG/M3,1.0,24,1,0,02020
787,02/08/20,Bethel,PM10-24hr,UG/M3,7.0,24,6,0,02050
788,02/08/20,Bethel,PM2.5-24hr,UG/M3,5.2,24,22,0,02050
789,02/08/20,Denali NPP,OZONE-1HR,PPB,43.0,1,-999,-999,02068
790,02/08/20,NCore,CO-8hr,PPM,0.68,1,8,0,02090
791,02/08/20,NCore,OZONE-1HR,PPB,19.0,1,-999,-999,02090
792,02/08/20,NCore,OZONE-8HR,PPB,6.0,8,6,0,02090
793,02/08/20,NCore,PM10-24hr,UG/M3,19.0,24,18,0,02090
794,02/08/20,NCore,PM2.5-24hr,UG/M3,10.3,24,43,0,02090
795,02/08/20,NCore,SO2-24HR,PPB,5.0,24,-999,-999,02090
796,02/08/20,Hurst Road,PM2.5-24hr,UG/M3,21.3,24,71,1,02090
797,02/08/20,Floyd Dryden,PM10-24hr,UG/M3,3.0,24,4,0,02110
798,02/08/20,Floyd Dryden,PM2.5-24hr,UG/M3,2.9,24,13,0,02110
814,02/08/20,Butte (Harrison Court),PM10-24hr,UG/M3,5.0,24,5,0,02170
815,02/08/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,2.2,24,9,0,02170
1198,02/08/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,9.0,24,9,0,04003
1199,02/08/20,Douglas Red Cross,PM10-24hr,UG/M3,35.0,24,32,0,04003
1200,02/08/20,Chiricahua NM,OZONE-1HR,PPB,48.0,1,-999,-999,04003
1201,02/08/20,Chiricahua NM,OZONE-8HR,PPB,45.0,8,42,0,04003
1202,02/08/20,Flagstaff Middle School,OZONE-1HR,PPB,48.0,1,-999,-999,04005
1203,02/08/20,Flagstaff Middle School,OZONE-8HR,PPB,45.0,8,42,0,04005
1204,02/08/20,Grand Canyon NP,OZONE-1HR,PPB,44.0,1,-999,-999,04005
1205,02/08/20,Grand Canyon NP,OZONE-8HR,PPB,44.0,8,41,0,04005
1206,02/08/20,Payson Well Site,PM10-24hr,UG/M3,29.0,24,27,0,04007
1207,02/08/20,Tonto National Monument,OZONE-1HR,PPB,49.0,1,-999,-999,04007
1208,02/08/20,Tonto National Monument,OZONE-8HR,PPB,44.0,8,41,0,04007
1209,02/08/20,Miami Jones Ranch,SO2-24HR,PPB,6.0,24,-999,-999,04007
1210,02/08/20,Miami Town Site,SO2-24HR,PPB,1.0,24,-999,-999,04007
1211,02/08/20,Hayden,PM10-24hr,UG/M3,12.0,24,12,0,04007
1212,02/08/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
1213,02/08/20,Miami Golf Course,PM10-24hr,UG/M3,16.0,24,15,0,04007
1224,02/08/20,Alamo Lake,OZONE-1HR,PPB,51.0,1,-999,-999,04012
1225,02/08/20,Alamo Lake,OZONE-8HR,PPB,48.0,8,44,0,04012
1226,02/08/20,Alamo Lake,PM10-24hr,UG/M3,12.0,24,11,0,04012
1227,02/08/20,Alamo Lake,PM2.5-24hr,UG/M3,3.8,24,16,0,04012
1288,02/08/20,StJohns,PM10-24hr,UG/M3,30.0,24,29,0,04013
1290,02/08/20,Senior Center,OZONE-1HR,PPB,52.0,1,-999,-999,04013
1291,02/08/20,Senior Center,OZONE-8HR,PPB,47.0,8,44,0,04013
1292,02/08/20,Senior Center,PM10-24hr,UG/M3,31.0,24,30,0,04013
1293,02/08/20,Red Mountain,OZONE-1HR,PPB,53.0,1,-999,-999,04013
1294,02/08/20,Red Mountain,OZONE-8HR,PPB,46.0,8,43,0,04013
1295,02/08/20,LEHI,OZONE-1HR,PPB,54.0,1,-999,-999,04013
1296,02/08/20,LEHI,OZONE-8HR,PPB,49.0,8,45,0,04013
1297,02/08/20,LEHI,PM10-24hr,UG/M3,22.0,24,20,0,04013
1298,02/08/20,High School,OZONE-1HR,PPB,50.0,1,-999,-999,04013
1299,02/08/20,High School,OZONE-8HR,PPB,44.0,8,41,0,04013
1300,02/08/20,High School,PM10-24hr,UG/M3,29.0,24,27,0,04013
1310,02/08/20,Phoenix JLG Supersite,CO-8hr,PPM,0.84,1,10,0,04013
1311,02/08/20,Phoenix JLG Supersite,OZONE-1HR,PPB,50.0,1,-999,-999,04013
1312,02/08/20,Phoenix JLG Supersite,OZONE-8HR,PPB,42.0,8,39,0,04013
1313,02/08/20,Phoenix JLG Supersite,PM10-24hr,UG/M3,39.0,24,37,0,04013
1314,02/08/20,Phoenix JLG Supersite,PM2.5-24hr,UG/M3,16.6,24,60,1,04013
