,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
553,05/18/20,Sand Mountain,OZONE-1HR,PPB,42.0,1,-999,-999,01049
554,05/18/20,Sand Mountain,OZONE-8HR,PPB,37.0,8,34,0,01049
559,05/18/20,NO. BHAM,OZONE-1HR,PPB,48.0,1,-999,-999,01073
560,05/18/20,NO. BHAM,OZONE-8HR,PPB,40.0,8,37,0,01073
561,05/18/20,NO. BHAM,PM10-24hr,UG/M3,12.0,24,11,0,01073
562,05/18/20,FAIRFIELD,OZONE-1HR,PPB,46.0,1,-999,-999,01073
563,05/18/20,FAIRFIELD,OZONE-8HR,PPB,42.0,8,39,0,01073
564,05/18/20,MCADORY,OZONE-1HR,PPB,45.0,1,-999,-999,01073
565,05/18/20,MCADORY,OZONE-8HR,PPB,42.0,8,39,0,01073
566,05/18/20,MCADORY,PM2.5-24hr,UG/M3,4.3,24,18,0,01073
567,05/18/20,LEEDS,OZONE-1HR,PPB,43.0,1,-999,-999,01073
568,05/18/20,WYLAM,PM10-24hr,UG/M3,9.0,24,8,0,01073
569,05/18/20,WYLAM,PM2.5-24hr,UG/M3,5.8,24,25,0,01073
570,05/18/20,CORNER,OZONE-1HR,PPB,46.0,1,-999,-999,01073
571,05/18/20,CORNER,OZONE-8HR,PPB,41.0,8,38,0,01073
572,05/18/20,CORNER,PM2.5-24hr,UG/M3,4.4,24,19,0,01073
573,05/18/20,TARRANT,OZONE-1HR,PPB,49.0,1,-999,-999,01073
574,05/18/20,TARRANT,OZONE-8HR,PPB,41.0,8,38,0,01073
575,05/18/20,Shuttlesworth,PM10-24hr,UG/M3,15.0,24,15,0,01073
576,05/18/20,Shuttlesworth,PM2.5-24hr,UG/M3,8.5,24,35,0,01073
577,05/18/20,Huntsville Old Airport,OZONE-1HR,PPB,46.0,1,-999,-999,01089
578,05/18/20,Huntsville Old Airport,OZONE-8HR,PPB,40.0,8,37,0,01089
579,05/18/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,6.3,24,26,0,01089
580,05/18/20,Huntsville Capshaw,OZONE-1HR,PPB,43.0,1,-999,-999,01089
581,05/18/20,Huntsville Capshaw,OZONE-8HR,PPB,36.0,8,33,0,01089
895,05/18/20,Garden,CO-8hr,PPM,0.53,1,6,0,02020
896,05/18/20,Garden,PM10-24hr,UG/M3,17.0,24,16,0,02020
897,05/18/20,Garden,PM2.5-24hr,UG/M3,3.6,24,15,0,02020
898,05/18/20,Parkgate (Eagle River),PM10-24hr,UG/M3,19.0,24,19,0,02020
909,05/18/20,Denali NPP,OZONE-1HR,PPB,42.0,1,-999,-999,02068
