,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
551,04/15/20,Sand Mountain,OZONE-1HR,PPB,52.0,1,-999,-999,01049
552,04/15/20,Sand Mountain,OZONE-8HR,PPB,50.0,8,46,0,01049
557,04/15/20,NO. BHAM,OZONE-1HR,PPB,57.0,1,-999,-999,01073
558,04/15/20,NO. BHAM,OZONE-8HR,PPB,54.0,8,50,0,01073
559,04/15/20,NO. BHAM,PM10-24hr,UG/M3,14.0,24,13,0,01073
560,04/15/20,FAIRFIELD,OZONE-1HR,PPB,52.0,1,-999,-999,01073
561,04/15/20,FAIRFIELD,OZONE-8HR,PPB,49.0,8,45,0,01073
562,04/15/20,MCADORY,OZONE-1HR,PPB,53.0,1,-999,-999,01073
563,04/15/20,MCADORY,OZONE-8HR,PPB,50.0,8,46,0,01073
564,04/15/20,MCADORY,PM2.5-24hr,UG/M3,6.9,24,29,0,01073
565,04/15/20,LEEDS,OZONE-1HR,PPB,51.0,1,-999,-999,01073
566,04/15/20,WYLAM,PM10-24hr,UG/M3,11.0,24,10,0,01073
567,04/15/20,WYLAM,PM2.5-24hr,UG/M3,7.9,24,33,0,01073
568,04/15/20,CORNER,OZONE-1HR,PPB,54.0,1,-999,-999,01073
569,04/15/20,CORNER,OZONE-8HR,PPB,50.0,8,46,0,01073
570,04/15/20,CORNER,PM2.5-24hr,UG/M3,6.0,24,25,0,01073
571,04/15/20,TARRANT,OZONE-1HR,PPB,51.0,1,-999,-999,01073
572,04/15/20,TARRANT,OZONE-8HR,PPB,48.0,8,44,0,01073
573,04/15/20,Shuttlesworth,PM10-24hr,UG/M3,19.0,24,19,0,01073
574,04/15/20,Shuttlesworth,PM2.5-24hr,UG/M3,7.8,24,33,0,01073
575,04/15/20,Huntsville Old Airport,OZONE-1HR,PPB,54.0,1,-999,-999,01089
576,04/15/20,Huntsville Old Airport,OZONE-8HR,PPB,51.0,8,47,0,01089
577,04/15/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,6.9,24,29,0,01089
578,04/15/20,Huntsville Capshaw,OZONE-1HR,PPB,51.0,1,-999,-999,01089
579,04/15/20,Huntsville Capshaw,OZONE-8HR,PPB,48.0,8,44,0,01089
892,04/15/20,Garden,CO-8hr,PPM,0.38,1,4,0,02020
893,04/15/20,Garden,PM10-24hr,UG/M3,13.0,24,12,0,02020
894,04/15/20,Garden,PM2.5-24hr,UG/M3,4.4,24,19,0,02020
895,04/15/20,Parkgate (Eagle River),PM10-24hr,UG/M3,14.0,24,13,0,02020
906,04/15/20,Bethel,PM10-24hr,UG/M3,7.0,24,6,0,02050
907,04/15/20,Bethel,PM2.5-24hr,UG/M3,1.8,24,8,0,02050
908,04/15/20,Denali NPP,OZONE-1HR,PPB,45.0,1,-999,-999,02068
909,04/15/20,Denali NPP,OZONE-8HR,PPB,43.0,8,40,0,02068
910,04/15/20,NCore,CO-8hr,PPM,0.38,1,4,0,02090
911,04/15/20,NCore,OZONE-1HR,PPB,40.0,1,-999,-999,02090
912,04/15/20,NCore,OZONE-8HR,PPB,32.0,8,30,0,02090
913,04/15/20,NCore,PM10-24hr,UG/M3,22.0,24,20,0,02090
914,04/15/20,NCore,PM2.5-24hr,UG/M3,4.7,24,20,0,02090
915,04/15/20,NCore,SO2-24HR,PPB,3.0,24,-999,-999,02090
916,04/15/20,Hurst Road,PM2.5-24hr,UG/M3,8.0,24,33,0,02090
917,04/15/20,Floyd Dryden,PM10-24hr,UG/M3,3.0,24,4,0,02110
918,04/15/20,Floyd Dryden,PM2.5-24hr,UG/M3,2.4,24,10,0,02110
934,04/15/20,Butte (Harrison Court),PM10-24hr,UG/M3,2.0,24,3,0,02170
935,04/15/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,1.8,24,8,0,02170
1338,04/15/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,7.0,24,6,0,04003
1339,04/15/20,Douglas Red Cross,PM10-24hr,UG/M3,14.0,24,13,0,04003
1340,04/15/20,Chiricahua NM,OZONE-1HR,PPB,53.0,1,-999,-999,04003
1341,04/15/20,Chiricahua NM,OZONE-8HR,PPB,51.0,8,47,0,04003
1342,04/15/20,Flagstaff Middle School,OZONE-1HR,PPB,51.0,1,-999,-999,04005
