,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
450,05/19/20,Sand Mountain,OZONE-1HR,PPB,43.0,1,-999,-999,01049
453,05/19/20,NO. BHAM,OZONE-1HR,PPB,41.0,1,-999,-999,01073
454,05/19/20,NO. BHAM,PM10-24hr,UG/M3,11.0,24,10,0,01073
455,05/19/20,FAIRFIELD,OZONE-1HR,PPB,36.0,1,-999,-999,01073
456,05/19/20,MCADORY,OZONE-1HR,PPB,39.0,1,-999,-999,01073
457,05/19/20,MCADORY,PM2.5-24hr,UG/M3,5.0,24,21,0,01073
458,05/19/20,LEEDS,OZONE-1HR,PPB,44.0,1,-999,-999,01073
459,05/19/20,WYLAM,PM10-24hr,UG/M3,9.0,24,9,0,01073
460,05/19/20,WYLAM,PM2.5-24hr,UG/M3,5.7,24,24,0,01073
461,05/19/20,CORNER,OZONE-1HR,PPB,38.0,1,-999,-999,01073
462,05/19/20,CORNER,PM2.5-24hr,UG/M3,3.7,24,16,0,01073
463,05/19/20,TARRANT,OZONE-1HR,PPB,32.0,1,-999,-999,01073
464,05/19/20,Shuttlesworth,PM10-24hr,UG/M3,15.0,24,15,0,01073
465,05/19/20,Shuttlesworth,PM2.5-24hr,UG/M3,6.7,24,28,0,01073
466,05/19/20,Huntsville Old Airport,OZONE-1HR,PPB,41.0,1,-999,-999,01089
467,05/19/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,5.6,24,24,0,01089
468,05/19/20,Huntsville Capshaw,OZONE-1HR,PPB,37.0,1,-999,-999,01089
776,05/19/20,Garden,CO-8hr,PPM,0.16,1,2,0,02020
777,05/19/20,Garden,PM10-24hr,UG/M3,6.0,24,6,0,02020
778,05/19/20,Garden,PM2.5-24hr,UG/M3,1.2,24,5,0,02020
779,05/19/20,Parkgate (Eagle River),PM10-24hr,UG/M3,13.0,24,12,0,02020
790,05/19/20,Denali NPP,OZONE-1HR,PPB,41.0,1,-999,-999,02068
791,05/19/20,NCore,CO-8hr,PPM,0.1,1,1,0,02090
792,05/19/20,NCore,OZONE-1HR,PPB,34.0,1,-999,-999,02090
793,05/19/20,NCore,PM10-24hr,UG/M3,15.0,24,14,0,02090
794,05/19/20,NCore,PM2.5-24hr,UG/M3,0.4,24,2,0,02090
795,05/19/20,NCore,SO2-24HR,PPB,1.0,24,-999,-999,02090
796,05/19/20,Hurst Road,PM2.5-24hr,UG/M3,2.5,24,10,0,02090
797,05/19/20,Floyd Dryden,PM10-24hr,UG/M3,2.0,24,2,0,02110
798,05/19/20,Floyd Dryden,PM2.5-24hr,UG/M3,2.1,24,9,0,02110
1190,05/19/20,Douglas Red Cross,PM10-24hr,UG/M3,34.0,24,32,0,04003
1191,05/19/20,Chiricahua NM,OZONE-1HR,PPB,59.0,1,-999,-999,04003
1192,05/19/20,Flagstaff Middle School,OZONE-1HR,PPB,57.0,1,-999,-999,04005
1193,05/19/20,Grand Canyon NP,OZONE-1HR,PPB,56.0,1,-999,-999,04005
1194,05/19/20,Payson Well Site,PM10-24hr,UG/M3,20.0,24,19,0,04007
1195,05/19/20,Tonto National Monument,OZONE-1HR,PPB,53.0,1,-999,-999,04007
1196,05/19/20,Miami Jones Ranch,SO2-24HR,PPB,0.0,24,-999,-999,04007
1197,05/19/20,Miami Town Site,SO2-24HR,PPB,0.0,24,-999,-999,04007
1198,05/19/20,Hayden,PM10-24hr,UG/M3,59.0,24,53,1,04007
1199,05/19/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
1200,05/19/20,Miami Golf Course,PM10-24hr,UG/M3,28.0,24,27,0,04007
1211,05/19/20,Alamo Lake,OZONE-1HR,PPB,56.0,1,-999,-999,04012
1212,05/19/20,Alamo Lake,PM10-24hr,UG/M3,13.0,24,13,0,04012
1213,05/19/20,Alamo Lake,PM2.5-24hr,UG/M3,2.6,24,11,0,04012
1226,05/19/20,Ft McD Yuma Frank-AZ,PM10-24hr,UG/M3,53.0,24,49,0,04013
1259,05/19/20,StJohns,OZONE-1HR,PPB,54.0,1,-999,-999,04013
1260,05/19/20,StJohns,PM10-24hr,UG/M3,29.0,24,27,0,04013
1262,05/19/20,Senior Center,OZONE-1HR,PPB,53.0,1,-999,-999,04013
1263,05/19/20,Senior Center,PM10-24hr,UG/M3,40.0,24,37,0,04013
