,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
543,04/06/20,Sand Mountain,OZONE-1HR,PPB,54.0,1,-999,-999,01049
544,04/06/20,Sand Mountain,OZONE-8HR,PPB,53.0,8,49,0,01049
548,04/06/20,NO. BHAM,OZONE-1HR,PPB,67.0,1,-999,-999,01073
549,04/06/20,NO. BHAM,OZONE-8HR,PPB,62.0,8,74,1,01073
550,04/06/20,NO. BHAM,PM10-24hr,UG/M3,40.0,24,37,0,01073
551,04/06/20,FAIRFIELD,OZONE-1HR,PPB,61.0,1,-999,-999,01073
552,04/06/20,FAIRFIELD,OZONE-8HR,PPB,55.0,8,51,1,01073
553,04/06/20,MCADORY,OZONE-1HR,PPB,60.0,1,-999,-999,01073
554,04/06/20,MCADORY,OZONE-8HR,PPB,54.0,8,50,0,01073
555,04/06/20,MCADORY,PM2.5-24hr,UG/M3,16.7,24,61,1,01073
556,04/06/20,LEEDS,OZONE-1HR,PPB,62.0,1,-999,-999,01073
557,04/06/20,LEEDS,OZONE-8HR,PPB,53.0,8,49,0,01073
558,04/06/20,WYLAM,PM10-24hr,UG/M3,28.0,24,27,0,01073
559,04/06/20,WYLAM,PM2.5-24hr,UG/M3,17.3,24,62,1,01073
560,04/06/20,CORNER,OZONE-1HR,PPB,61.0,1,-999,-999,01073
561,04/06/20,CORNER,OZONE-8HR,PPB,56.0,8,54,1,01073
562,04/06/20,CORNER,PM2.5-24hr,UG/M3,12.8,24,52,1,01073
563,04/06/20,TARRANT,OZONE-1HR,PPB,67.0,1,-999,-999,01073
564,04/06/20,TARRANT,OZONE-8HR,PPB,57.0,8,58,1,01073
565,04/06/20,Shuttlesworth,PM10-24hr,UG/M3,58.0,24,52,1,01073
566,04/06/20,Shuttlesworth,PM2.5-24hr,UG/M3,21.2,24,70,1,01073
567,04/06/20,Huntsville Old Airport,OZONE-1HR,PPB,55.0,1,-999,-999,01089
568,04/06/20,Huntsville Old Airport,OZONE-8HR,PPB,52.0,8,48,0,01089
569,04/06/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,15.6,24,58,1,01089
570,04/06/20,Huntsville Capshaw,OZONE-1HR,PPB,55.0,1,-999,-999,01089
571,04/06/20,Huntsville Capshaw,OZONE-8HR,PPB,51.0,8,47,0,01089
883,04/06/20,Garden,CO-8hr,PPM,1.03,1,12,0,02020
884,04/06/20,Garden,PM10-24hr,UG/M3,8.0,24,8,0,02020
885,04/06/20,Garden,PM2.5-24hr,UG/M3,3.1,24,13,0,02020
886,04/06/20,Parkgate (Eagle River),PM10-24hr,UG/M3,6.0,24,6,0,02020
898,04/06/20,Bethel,PM10-24hr,UG/M3,25.0,24,23,0,02050
899,04/06/20,Bethel,PM2.5-24hr,UG/M3,4.1,24,18,0,02050
