,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
552,04/16/20,Sand Mountain,OZONE-1HR,PPB,53.0,1,-999,-999,01049
553,04/16/20,Sand Mountain,OZONE-8HR,PPB,51.0,8,47,0,01049
558,04/16/20,NO. BHAM,OZONE-1HR,PPB,57.0,1,-999,-999,01073
559,04/16/20,NO. BHAM,OZONE-8HR,PPB,55.0,8,51,1,01073
560,04/16/20,NO. BHAM,PM10-24hr,UG/M3,29.0,24,27,0,01073
561,04/16/20,FAIRFIELD,OZONE-1HR,PPB,57.0,1,-999,-999,01073
562,04/16/20,FAIRFIELD,OZONE-8HR,PPB,54.0,8,50,0,01073
563,04/16/20,MCADORY,OZONE-1HR,PPB,58.0,1,-999,-999,01073
564,04/16/20,MCADORY,OZONE-8HR,PPB,55.0,8,51,1,01073
565,04/16/20,MCADORY,PM2.5-24hr,UG/M3,9.5,24,40,0,01073
566,04/16/20,LEEDS,OZONE-1HR,PPB,53.0,1,-999,-999,01073
567,04/16/20,LEEDS,OZONE-8HR,PPB,50.0,8,46,0,01073
568,04/16/20,WYLAM,PM10-24hr,UG/M3,23.0,24,22,0,01073
569,04/16/20,WYLAM,PM2.5-24hr,UG/M3,13.8,24,55,1,01073
570,04/16/20,CORNER,OZONE-1HR,PPB,54.0,1,-999,-999,01073
571,04/16/20,CORNER,OZONE-8HR,PPB,52.0,8,48,0,01073
572,04/16/20,CORNER,PM2.5-24hr,UG/M3,8.5,24,36,0,01073
573,04/16/20,TARRANT,OZONE-1HR,PPB,54.0,1,-999,-999,01073
574,04/16/20,TARRANT,OZONE-8HR,PPB,51.0,8,47,0,01073
575,04/16/20,Shuttlesworth,PM10-24hr,UG/M3,39.0,24,36,0,01073
576,04/16/20,Shuttlesworth,PM2.5-24hr,UG/M3,13.6,24,54,1,01073
577,04/16/20,Huntsville Old Airport,OZONE-1HR,PPB,55.0,1,-999,-999,01089
578,04/16/20,Huntsville Old Airport,OZONE-8HR,PPB,53.0,8,49,0,01089
579,04/16/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,10.4,24,43,0,01089
580,04/16/20,Huntsville Capshaw,OZONE-1HR,PPB,53.0,1,-999,-999,01089
581,04/16/20,Huntsville Capshaw,OZONE-8HR,PPB,50.0,8,46,0,01089
894,04/16/20,Garden,CO-8hr,PPM,0.36,1,4,0,02020
895,04/16/20,Garden,PM10-24hr,UG/M3,4.0,24,4,0,02020
896,04/16/20,Garden,PM2.5-24hr,UG/M3,2.6,24,11,0,02020
897,04/16/20,Parkgate (Eagle River),PM10-24hr,UG/M3,2.0,24,2,0,02020
908,04/16/20,Bethel,PM10-24hr,UG/M3,6.0,24,6,0,02050
909,04/16/20,Bethel,PM2.5-24hr,UG/M3,1.2,24,5,0,02050
910,04/16/20,Denali NPP,OZONE-1HR,PPB,37.0,1,-999,-999,02068
911,04/16/20,Denali NPP,OZONE-8HR,PPB,36.0,8,33,0,02068
912,04/16/20,NCore,CO-8hr,PPM,0.34,1,4,0,02090
913,04/16/20,NCore,OZONE-1HR,PPB,31.0,1,-999,-999,02090
914,04/16/20,NCore,OZONE-8HR,PPB,28.0,8,26,0,02090
915,04/16/20,NCore,PM10-24hr,UG/M3,11.0,24,10,0,02090
916,04/16/20,NCore,PM2.5-24hr,UG/M3,1.9,24,8,0,02090
917,04/16/20,NCore,SO2-24HR,PPB,1.0,24,-999,-999,02090
918,04/16/20,Hurst Road,PM2.5-24hr,UG/M3,1.3,24,6,0,02090
