,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
544,03/11/20,Sand Mountain,OZONE-1HR,PPB,38.0,1,-999,-999,01049
545,03/11/20,Sand Mountain,OZONE-8HR,PPB,35.0,8,32,0,01049
550,03/11/20,NO. BHAM,OZONE-1HR,PPB,32.0,1,-999,-999,01073
551,03/11/20,NO. BHAM,OZONE-8HR,PPB,28.0,8,26,0,01073
552,03/11/20,NO. BHAM,PM10-24hr,UG/M3,13.0,24,13,0,01073
553,03/11/20,FAIRFIELD,OZONE-1HR,PPB,27.0,1,-999,-999,01073
554,03/11/20,FAIRFIELD,OZONE-8HR,PPB,23.0,8,21,0,01073
555,03/11/20,MCADORY,OZONE-1HR,PPB,29.0,1,-999,-999,01073
556,03/11/20,MCADORY,OZONE-8HR,PPB,26.0,8,24,0,01073
557,03/11/20,MCADORY,PM2.5-24hr,UG/M3,5.8,24,24,0,01073
558,03/11/20,WYLAM,PM10-24hr,UG/M3,13.0,24,12,0,01073
559,03/11/20,WYLAM,PM2.5-24hr,UG/M3,8.3,24,35,0,01073
560,03/11/20,CORNER,OZONE-1HR,PPB,37.0,1,-999,-999,01073
561,03/11/20,CORNER,OZONE-8HR,PPB,31.0,8,29,0,01073
562,03/11/20,CORNER,PM2.5-24hr,UG/M3,5.6,24,23,0,01073
563,03/11/20,TARRANT,OZONE-1HR,PPB,28.0,1,-999,-999,01073
564,03/11/20,TARRANT,OZONE-8HR,PPB,23.0,8,21,0,01073
565,03/11/20,Shuttlesworth,PM10-24hr,UG/M3,19.0,24,18,0,01073
566,03/11/20,Shuttlesworth,PM2.5-24hr,UG/M3,7.2,24,30,0,01073
567,03/11/20,Huntsville Old Airport,OZONE-1HR,PPB,41.0,1,-999,-999,01089
568,03/11/20,Huntsville Old Airport,OZONE-8HR,PPB,33.0,8,31,0,01089
569,03/11/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,6.7,24,28,0,01089
570,03/11/20,Huntsville Capshaw,OZONE-1HR,PPB,36.0,1,-999,-999,01089
571,03/11/20,Huntsville Capshaw,OZONE-8HR,PPB,30.0,8,28,0,01089
879,03/11/20,Garden,CO-8hr,PPM,1.3,1,15,0,02020
880,03/11/20,Garden,PM10-24hr,UG/M3,15.0,24,14,0,02020
881,03/11/20,Garden,PM2.5-24hr,UG/M3,7.3,24,30,0,02020
882,03/11/20,Parkgate (Eagle River),PM10-24hr,UG/M3,7.0,24,7,0,02020
893,03/11/20,Bethel,PM10-24hr,UG/M3,4.0,24,4,0,02050
894,03/11/20,Bethel,PM2.5-24hr,UG/M3,5.5,24,23,0,02050
895,03/11/20,Denali NPP,OZONE-1HR,PPB,43.0,1,-999,-999,02068
896,03/11/20,Denali NPP,OZONE-8HR,PPB,42.0,8,39,0,02068
897,03/11/20,NCore,CO-8hr,PPM,0.88,1,10,0,02090
898,03/11/20,NCore,OZONE-1HR,PPB,31.0,1,-999,-999,02090
899,03/11/20,NCore,OZONE-8HR,PPB,26.0,8,24,0,02090
900,03/11/20,NCore,PM10-24hr,UG/M3,28.0,24,27,0,02090
901,03/11/20,NCore,PM2.5-24hr,UG/M3,16.4,24,60,1,02090
902,03/11/20,NCore,SO2-24HR,PPB,5.0,24,-999,-999,02090
903,03/11/20,Hurst Road,PM2.5-24hr,UG/M3,32.4,24,94,1,02090
904,03/11/20,Floyd Dryden,PM10-24hr,UG/M3,5.0,24,5,0,02110
905,03/11/20,Floyd Dryden,PM2.5-24hr,UG/M3,4.2,24,18,0,02110
921,03/11/20,Butte (Harrison Court),PM10-24hr,UG/M3,6.0,24,6,0,02170
922,03/11/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,5.0,24,21,0,02170
1320,03/11/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,3.0,24,3,0,04003
1321,03/11/20,Douglas Red Cross,PM10-24hr,UG/M3,10.0,24,9,0,04003
1322,03/11/20,Chiricahua NM,OZONE-1HR,PPB,33.0,1,-999,-999,04003
1323,03/11/20,Chiricahua NM,OZONE-8HR,PPB,31.0,8,29,0,04003
1324,03/11/20,Flagstaff Middle School,OZONE-1HR,PPB,32.0,1,-999,-999,04005
1325,03/11/20,Flagstaff Middle School,OZONE-8HR,PPB,29.0,8,27,0,04005
1326,03/11/20,Grand Canyon NP,OZONE-1HR,PPB,34.0,1,-999,-999,04005
1327,03/11/20,Grand Canyon NP,OZONE-8HR,PPB,30.0,8,28,0,04005
1328,03/11/20,Payson Well Site,PM10-24hr,UG/M3,1.0,24,1,0,04007
1329,03/11/20,Tonto National Monument,OZONE-1HR,PPB,21.0,1,-999,-999,04007
1330,03/11/20,Tonto National Monument,OZONE-8HR,PPB,18.0,8,17,0,04007
1331,03/11/20,Miami Jones Ranch,SO2-24HR,PPB,0.0,24,-999,-999,04007
1332,03/11/20,Miami Town Site,SO2-24HR,PPB,0.0,24,-999,-999,04007
1333,03/11/20,Hayden,PM10-24hr,UG/M3,5.0,24,5,0,04007
1334,03/11/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
1335,03/11/20,Miami Golf Course,PM10-24hr,UG/M3,1.0,24,1,0,04007
1345,03/11/20,Alamo Lake,OZONE-1HR,PPB,29.0,1,-999,-999,04012
1346,03/11/20,Alamo Lake,OZONE-8HR,PPB,26.0,8,24,0,04012
1347,03/11/20,Alamo Lake,PM10-24hr,UG/M3,1.0,24,2,0,04012
1348,03/11/20,Alamo Lake,PM2.5-24hr,UG/M3,0.4,24,2,0,04012
1365,03/11/20,Ft McD Yuma Frank-AZ,OZONE-1HR,PPB,49.0,1,-999,-999,04013
1366,03/11/20,Ft McD Yuma Frank-AZ,OZONE-8HR,PPB,44.0,8,41,0,04013
1367,03/11/20,Ft McD Yuma Frank-AZ,PM10-24hr,UG/M3,9.0,24,8,0,04013
1410,03/11/20,StJohns,PM10-24hr,UG/M3,5.0,24,5,0,04013
1412,03/11/20,Senior Center,OZONE-1HR,PPB,24.0,1,-999,-999,04013
1413,03/11/20,Senior Center,OZONE-8HR,PPB,22.0,8,20,0,04013
1414,03/11/20,Senior Center,PM10-24hr,UG/M3,3.0,24,4,0,04013
1415,03/11/20,Red Mountain,OZONE-1HR,PPB,23.0,1,-999,-999,04013
1416,03/11/20,Red Mountain,OZONE-8HR,PPB,20.0,8,19,0,04013
1417,03/11/20,LEHI,OZONE-1HR,PPB,23.0,1,-999,-999,04013
1418,03/11/20,LEHI,OZONE-8HR,PPB,20.0,8,19,0,04013
1419,03/11/20,LEHI,PM10-24hr,UG/M3,4.0,24,4,0,04013
1420,03/11/20,High School,OZONE-1HR,PPB,20.0,1,-999,-999,04013
1421,03/11/20,High School,OZONE-8HR,PPB,19.0,8,18,0,04013
1422,03/11/20,High School,PM10-24hr,UG/M3,4.0,24,4,0,04013
1432,03/11/20,Phoenix JLG Supersite,CO-8hr,PPM,0.35,1,4,0,04013
1433,03/11/20,Phoenix JLG Supersite,OZONE-1HR,PPB,19.0,1,-999,-999,04013
1434,03/11/20,Phoenix JLG Supersite,OZONE-8HR,PPB,16.0,8,15,0,04013
1435,03/11/20,Phoenix JLG Supersite,PM10-24hr,UG/M3,5.0,24,5,0,04013
1436,03/11/20,Phoenix JLG Supersite,PM2.5-24hr,UG/M3,3.7,24,16,0,04013
1437,03/11/20,Phoenix JLG Supersite,SO2-24HR,PPB,0.0,24,-999,-999,04013
1438,03/11/20,Bullhead City,PM10-24hr,UG/M3,1.0,24,2,0,04015
1439,03/11/20,Petrified Forest NP,OZONE-1HR,PPB,31.0,1,-999,-999,04017
1440,03/11/20,Petrified Forest NP,OZONE-8HR,PPB,28.0,8,26,0,04017
1441,03/11/20,Ajo,PM10-24hr,UG/M3,1.0,24,1,0,04019
1442,03/11/20,Orange Grove,PM10-24hr,UG/M3,10.0,24,9,0,04019
1443,03/11/20,Orange Grove,PM2.5-24hr,UG/M3,0.0,24,0,0,04019
1444,03/11/20,Rillito,PM10-24hr,UG/M3,17.0,24,16,0,04019
1445,03/11/20,Saguaro Monument,OZONE-1HR,PPB,29.0,1,-999,-999,04019
1446,03/11/20,Saguaro Monument,OZONE-8HR,PPB,25.0,8,23,0,04019
1447,03/11/20,South Tucson,PM10-24hr,UG/M3,8.0,24,8,0,04019
1448,03/11/20,22nd Street & Craycroft,OZONE-1HR,PPB,25.0,1,-999,-999,04019
1449,03/11/20,22nd Street & Craycroft,OZONE-8HR,PPB,23.0,8,21,0,04019
1450,03/11/20,Tangerine & Camino de Oeste,OZONE-1HR,PPB,30.0,1,-999,-999,04019
1451,03/11/20,Tangerine & Camino de Oeste,OZONE-8HR,PPB,26.0,8,24,0,04019
1452,03/11/20,Fairgrounds,OZONE-1HR,PPB,31.0,1,-999,-999,04019
1453,03/11/20,Fairgrounds,OZONE-8HR,PPB,27.0,8,25,0,04019
1454,03/11/20,Children's Park Site,OZONE-1HR,PPB,28.0,1,-999,-999,04019
1455,03/11/20,Children's Park Site,OZONE-8HR,PPB,24.0,8,22,0,04019
1456,03/11/20,Children's Park Site,PM2.5-24hr,UG/M3,0.9,24,4,0,04019
1457,03/11/20,Green Valley,OZONE-1HR,PPB,28.0,1,-999,-999,04019
1458,03/11/20,Green Valley,OZONE-8HR,PPB,27.0,8,25,0,04019
1459,03/11/20,Green Valley,PM10-24hr,UG/M3,1.0,24,2,0,04019
1460,03/11/20,Rose Elementary,OZONE-1HR,PPB,25.0,1,-999,-999,04019
1461,03/11/20,Rose Elementary,OZONE-8HR,PPB,21.0,8,19,0,04019
1462,03/11/20,Rose Elementary,PM2.5-24hr,UG/M3,2.2,24,10,0,04019
1463,03/11/20,Coachline,OZONE-1HR,PPB,30.0,1,-999,-999,04019
1464,03/11/20,Coachline,OZONE-8HR,PPB,26.0,8,24,0,04019
1465,03/11/20,Geronimo,PM10-24hr,UG/M3,9.0,24,8,0,04019
1466,03/11/20,Geronimo,PM2.5-24hr,UG/M3,0.8,24,3,0,04019
1500,03/11/20,Sacaton,PM10-24hr,UG/M3,5.0,24,5,0,04021
1501,03/11/20,CasaBlanca,PM10-24hr,UG/M3,6.0,24,6,0,04021
1502,03/11/20,Queen Valley,OZONE-1HR,PPB,25.0,1,-999,-999,04021
1503,03/11/20,Queen Valley,OZONE-8HR,PPB,22.0,8,20,0,04021
1508,03/11/20,Nogales Post Office,PM10-24hr,UG/M3,6.0,24,6,0,04023
1509,03/11/20,Nogales Post Office,PM2.5-24hr,UG/M3,1.2,24,5,0,04023
1510,03/11/20,Prescott Pioneer Park,OZONE-1HR,PPB,31.0,1,-999,-999,04025
1511,03/11/20,Prescott Pioneer Park,OZONE-8HR,PPB,27.0,8,25,0,04025
1512,03/11/20,Yuma Supersite,OZONE-1HR,PPB,25.0,1,-999,-999,04027
1513,03/11/20,Yuma Supersite,OZONE-8HR,PPB,20.0,8,19,0,04027
1514,03/11/20,Yuma Supersite,PM10-24hr,UG/M3,6.0,24,6,0,04027
1515,03/11/20,Yuma Supersite,PM2.5-24hr,UG/M3,4.8,24,20,0,04027
1640,03/11/20,Caddo Valley,OZONE-1HR,PPB,12.0,1,-999,-999,05019
1641,03/11/20,MARION,OZONE-1HR,PPB,17.0,1,-999,-999,05035
1642,03/11/20,MARION,OZONE-8HR,PPB,14.0,8,13,0,05035
1643,03/11/20,MARION,PM2.5-24hr,UG/M3,6.5,24,27,0,05035
1644,03/11/20,DEER,OZONE-1HR,PPB,36.0,1,-999,-999,05101
1645,03/11/20,DEER,OZONE-8HR,PPB,33.0,8,31,0,05101
1646,03/11/20,EAGLEMT,OZONE-1HR,PPB,40.0,1,-999,-999,05113
1647,03/11/20,EAGLEMT,OZONE-8HR,PPB,29.0,8,27,0,05113
1648,03/11/20,PARR,OZONE-1HR,PPB,28.0,1,-999,-999,05119
1649,03/11/20,PARR,OZONE-8HR,PPB,22.0,8,20,0,05119
1650,03/11/20,PARR,PM2.5-24hr,UG/M3,7.0,24,29,0,05119
1651,03/11/20,NLRAP,OZONE-1HR,PPB,31.0,1,-999,-999,05119
1652,03/11/20,NLRAP,OZONE-8HR,PPB,25.0,8,23,0,05119
1653,03/11/20,ADEQ-DSR,PM2.5-24hr,UG/M3,7.7,24,32,0,05119
1654,03/11/20,SPRNGDLE,OZONE-1HR,PPB,47.0,1,-999,-999,05143
1655,03/11/20,SPRNGDLE,OZONE-8HR,PPB,41.0,8,38,0,05143
1656,03/11/20,SPRNGDLE,PM2.5-24hr,UG/M3,6.7,24,28,0,05143
1657,03/11/20,Fayetteville,OZONE-1HR,PPB,40.0,1,-999,-999,05143
1658,03/11/20,Fayetteville,OZONE-8HR,PPB,38.0,8,35,0,05143
1659,03/11/20,Livermore - Rincon,OZONE-1HR,PPB,45.0,1,-999,-999,06001
1660,03/11/20,Livermore - Rincon,OZONE-8HR,PPB,40.0,8,37,0,06001
1661,03/11/20,Livermore - Rincon,PM2.5-24hr,UG/M3,3.8,24,16,0,06001
1662,03/11/20,Oakland,CO-8hr,PPM,0.57,1,7,0,06001
1663,03/11/20,Oakland,OZONE-1HR,PPB,36.0,1,-999,-999,06001
1664,03/11/20,Oakland,OZONE-8HR,PPB,31.0,8,29,0,06001
1665,03/11/20,Oakland,PM2.5-24hr,UG/M3,6.1,24,26,0,06001
1666,03/11/20,Oakland West,CO-8hr,PPM,0.56,1,6,0,06001
1667,03/11/20,Oakland West,OZONE-1HR,PPB,36.0,1,-999,-999,06001
1668,03/11/20,Oakland West,OZONE-8HR,PPB,33.0,8,31,0,06001
1669,03/11/20,Oakland West,PM2.5-24hr,UG/M3,5.1,24,22,0,06001
1670,03/11/20,Oakland West,SO2-24HR,PPB,0.0,24,-999,-999,06001
1671,03/11/20,Laney College,CO-8hr,PPM,0.42,1,5,0,06001
1672,03/11/20,Laney College,PM2.5-24hr,UG/M3,6.2,24,26,0,06001
1673,03/11/20,Berkeley Aquatic Park,CO-8hr,PPM,0.59,1,7,0,06001
1674,03/11/20,Berkeley Aquatic Park,OZONE-1HR,PPB,34.0,1,-999,-999,06001
1675,03/11/20,Berkeley Aquatic Park,OZONE-8HR,PPB,30.0,8,28,0,06001
1676,03/11/20,Berkeley Aquatic Park,PM2.5-24hr,UG/M3,9.5,24,40,0,06001
1677,03/11/20,Pleasanton - Owens Ct.,CO-8hr,PPM,0.59,1,7,0,06001
1678,03/11/20,Pleasanton - Owens Ct.,PM2.5-24hr,UG/M3,5.5,24,23,0,06001
1679,03/11/20,Hayward,OZONE-1HR,PPB,42.0,1,-999,-999,06001
1680,03/11/20,Hayward,OZONE-8HR,PPB,37.0,8,34,0,06001
1681,03/11/20,Jackson - Clinton,OZONE-1HR,PPB,45.0,1,-999,-999,06005
1682,03/11/20,Jackson - Clinton,OZONE-8HR,PPB,40.0,8,37,0,06005
1683,03/11/20,Paradise - Airport,OZONE-1HR,PPB,51.0,1,-999,-999,06007
1684,03/11/20,Paradise - Airport,OZONE-8HR,PPB,49.0,8,45,0,06007
1685,03/11/20,Chico -  East,CO-8hr,PPM,0.2,1,2,0,06007
1686,03/11/20,Chico -  East,OZONE-1HR,PPB,48.0,1,-999,-999,06007
1687,03/11/20,Chico -  East,OZONE-8HR,PPB,43.0,8,40,0,06007
1688,03/11/20,Chico -  East,PM10-24hr,UG/M3,23.0,24,22,0,06007
1689,03/11/20,Chico -  East,PM2.5-24hr,UG/M3,5.0,24,21,0,06007
1690,03/11/20,Paradise Theater,PM2.5-24hr,UG/M3,4.8,24,20,0,06007
1691,03/11/20,Gridley,PM2.5-24hr,UG/M3,6.7,24,28,0,06007
1692,03/11/20,San Andreas,OZONE-1HR,PPB,46.0,1,-999,-999,06009
1693,03/11/20,San Andreas,OZONE-8HR,PPB,42.0,8,39,0,06009
1694,03/11/20,San Andreas,PM10-24hr,UG/M3,6.0,24,6,0,06009
1695,03/11/20,San Andreas,PM2.5-24hr,UG/M3,4.7,24,20,0,06009
1696,03/11/20,Colusa - Sunrise Blvd.,OZONE-1HR,PPB,43.0,1,-999,-999,06011
1697,03/11/20,Colusa - Sunrise Blvd.,OZONE-8HR,PPB,39.0,8,36,0,06011
1698,03/11/20,Colusa - Sunrise Blvd.,PM10-24hr,UG/M3,17.0,24,17,0,06011
1699,03/11/20,Colusa - Sunrise Blvd.,PM2.5-24hr,UG/M3,5.9,24,25,0,06011
1700,03/11/20,Concord,CO-8hr,PPM,0.42,1,5,0,06013
1701,03/11/20,Concord,OZONE-1HR,PPB,45.0,1,-999,-999,06013
1702,03/11/20,Concord,OZONE-8HR,PPB,41.0,8,38,0,06013
1703,03/11/20,Concord,PM2.5-24hr,UG/M3,4.5,24,19,0,06013
1704,03/11/20,Concord,SO2-24HR,PPB,0.0,24,-999,-999,06013
1705,03/11/20,Richmond - 7th St,SO2-24HR,PPB,0.0,24,-999,-999,06013
1706,03/11/20,Bethel Island,CO-8hr,PPM,0.4,1,5,0,06013
1707,03/11/20,Bethel Island,OZONE-1HR,PPB,48.0,1,-999,-999,06013
1708,03/11/20,Bethel Island,OZONE-8HR,PPB,45.0,8,42,0,06013
1709,03/11/20,Bethel Island,SO2-24HR,PPB,1.0,24,-999,-999,06013
1710,03/11/20,San Pablo - Rumrill,CO-8hr,PPM,0.4,1,5,0,06013
1711,03/11/20,San Pablo - Rumrill,OZONE-1HR,PPB,43.0,1,-999,-999,06013
1712,03/11/20,San Pablo - Rumrill,OZONE-8HR,PPB,38.0,8,35,0,06013
1713,03/11/20,San Pablo - Rumrill,PM2.5-24hr,UG/M3,7.2,24,30,0,06013
1714,03/11/20,San Pablo - Rumrill,SO2-24HR,PPB,0.0,24,-999,-999,06013
1715,03/11/20,San Ramon,OZONE-1HR,PPB,44.0,1,-999,-999,06013
1716,03/11/20,San Ramon,OZONE-8HR,PPB,40.0,8,37,0,06013
1717,03/11/20,Placerville,OZONE-1HR,PPB,47.0,1,-999,-999,06017
1718,03/11/20,Placerville,OZONE-8HR,PPB,45.0,8,42,0,06017
1719,03/11/20,South Lake Tahoe - Sandy Way,PM10-24hr,UG/M3,12.0,24,11,0,06017
1720,03/11/20,Fresno - Drummond Street,OZONE-1HR,PPB,42.0,1,-999,-999,06019
1721,03/11/20,Fresno - Drummond Street,OZONE-8HR,PPB,38.0,8,35,0,06019
1722,03/11/20,Fresno - Garland,CO-8hr,PPM,0.52,1,6,0,06019
1723,03/11/20,Fresno - Garland,OZONE-1HR,PPB,36.0,1,-999,-999,06019
1724,03/11/20,Fresno - Garland,OZONE-8HR,PPB,33.0,8,31,0,06019
1725,03/11/20,Fresno - Garland,PM10-24hr,UG/M3,12.0,24,12,0,06019
1726,03/11/20,Fresno - Garland,PM2.5-24hr,UG/M3,7.3,24,30,0,06019
1727,03/11/20,Fresno - Garland,SO2-24HR,PPB,0.0,24,-999,-999,06019
1728,03/11/20,Huron,PM2.5-24hr,UG/M3,2.1,24,9,0,06019
1729,03/11/20,Tranquillity,OZONE-1HR,PPB,41.0,1,-999,-999,06019
1730,03/11/20,Tranquillity,OZONE-8HR,PPB,38.0,8,35,0,06019
1731,03/11/20,Tranquillity,PM2.5-24hr,UG/M3,0.8,24,3,0,06019
1732,03/11/20,Parlier,OZONE-1HR,PPB,45.0,1,-999,-999,06019
1733,03/11/20,Parlier,OZONE-8HR,PPB,41.0,8,38,0,06019
1734,03/11/20,Clovis - N. Villa Ave,CO-8hr,PPM,0.32,1,4,0,06019
