,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
541,04/10/20,Sand Mountain,OZONE-1HR,PPB,50.0,1,-999,-999,01049
542,04/10/20,Sand Mountain,OZONE-8HR,PPB,46.0,8,43,0,01049
547,04/10/20,NO. BHAM,OZONE-1HR,PPB,53.0,1,-999,-999,01073
548,04/10/20,NO. BHAM,OZONE-8HR,PPB,50.0,8,46,0,01073
549,04/10/20,NO. BHAM,PM10-24hr,UG/M3,18.0,24,17,0,01073
550,04/10/20,FAIRFIELD,OZONE-1HR,PPB,48.0,1,-999,-999,01073
551,04/10/20,FAIRFIELD,OZONE-8HR,PPB,45.0,8,42,0,01073
552,04/10/20,MCADORY,OZONE-1HR,PPB,48.0,1,-999,-999,01073
553,04/10/20,MCADORY,OZONE-8HR,PPB,44.0,8,41,0,01073
554,04/10/20,MCADORY,PM2.5-24hr,UG/M3,6.8,24,29,0,01073
555,04/10/20,LEEDS,OZONE-1HR,PPB,47.0,1,-999,-999,01073
556,04/10/20,LEEDS,OZONE-8HR,PPB,44.0,8,41,0,01073
557,04/10/20,WYLAM,PM10-24hr,UG/M3,15.0,24,15,0,01073
558,04/10/20,WYLAM,PM2.5-24hr,UG/M3,6.0,24,25,0,01073
559,04/10/20,CORNER,OZONE-1HR,PPB,50.0,1,-999,-999,01073
560,04/10/20,CORNER,OZONE-8HR,PPB,46.0,8,43,0,01073
561,04/10/20,CORNER,PM2.5-24hr,UG/M3,5.0,24,21,0,01073
562,04/10/20,TARRANT,OZONE-1HR,PPB,47.0,1,-999,-999,01073
563,04/10/20,TARRANT,OZONE-8HR,PPB,44.0,8,41,0,01073
564,04/10/20,Shuttlesworth,PM10-24hr,UG/M3,22.0,24,21,0,01073
565,04/10/20,Shuttlesworth,PM2.5-24hr,UG/M3,6.9,24,29,0,01073
566,04/10/20,Huntsville Old Airport,OZONE-1HR,PPB,51.0,1,-999,-999,01089
567,04/10/20,Huntsville Old Airport,OZONE-8HR,PPB,47.0,8,44,0,01089
568,04/10/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,7.0,24,30,0,01089
569,04/10/20,Huntsville Capshaw,OZONE-1HR,PPB,49.0,1,-999,-999,01089
570,04/10/20,Huntsville Capshaw,OZONE-8HR,PPB,44.0,8,41,0,01089
882,04/10/20,Garden,CO-8hr,PPM,0.77,1,9,0,02020
883,04/10/20,Garden,PM10-24hr,UG/M3,25.0,24,24,0,02020
884,04/10/20,Garden,PM2.5-24hr,UG/M3,6.7,24,28,0,02020
885,04/10/20,Parkgate (Eagle River),PM10-24hr,UG/M3,40.0,24,38,0,02020
897,04/10/20,Bethel,PM10-24hr,UG/M3,14.0,24,13,0,02050
898,04/10/20,Bethel,PM2.5-24hr,UG/M3,5.2,24,22,0,02050
899,04/10/20,Denali NPP,OZONE-1HR,PPB,47.0,1,-999,-999,02068
900,04/10/20,NCore,CO-8hr,PPM,0.23,1,3,0,02090
901,04/10/20,NCore,OZONE-1HR,PPB,39.0,1,-999,-999,02090
902,04/10/20,NCore,PM10-24hr,UG/M3,13.0,24,13,0,02090
903,04/10/20,NCore,PM2.5-24hr,UG/M3,4.5,24,19,0,02090
904,04/10/20,NCore,SO2-24HR,PPB,3.0,24,-999,-999,02090
905,04/10/20,Hurst Road,PM2.5-24hr,UG/M3,7.9,24,33,0,02090
906,04/10/20,Floyd Dryden,PM10-24hr,UG/M3,7.0,24,6,0,02110
907,04/10/20,Floyd Dryden,PM2.5-24hr,UG/M3,5.1,24,21,0,02110
920,04/10/20,Butte (Harrison Court),PM10-24hr,UG/M3,6.0,24,6,0,02170
921,04/10/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,3.9,24,16,0,02170
1323,04/10/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,7.0,24,6,0,04003
1324,04/10/20,Douglas Red Cross,PM10-24hr,UG/M3,18.0,24,17,0,04003
1325,04/10/20,Chiricahua NM,OZONE-1HR,PPB,57.0,1,-999,-999,04003
1326,04/10/20,Chiricahua NM,OZONE-8HR,PPB,55.0,8,51,1,04003
1327,04/10/20,Flagstaff Middle School,OZONE-1HR,PPB,55.0,1,-999,-999,04005
1328,04/10/20,Grand Canyon NP,OZONE-1HR,PPB,50.0,1,-999,-999,04005
1329,04/10/20,Grand Canyon NP,OZONE-8HR,PPB,47.0,8,44,0,04005
1330,04/10/20,Payson Well Site,PM10-24hr,UG/M3,13.0,24,12,0,04007
1331,04/10/20,Tonto National Monument,OZONE-1HR,PPB,60.0,1,-999,-999,04007
1332,04/10/20,Tonto National Monument,OZONE-8HR,PPB,55.0,8,51,1,04007
1333,04/10/20,Miami Jones Ranch,SO2-24HR,PPB,3.0,24,-999,-999,04007
1334,04/10/20,Miami Town Site,SO2-24HR,PPB,2.0,24,-999,-999,04007
1335,04/10/20,Hayden,PM10-24hr,UG/M3,14.0,24,13,0,04007
1336,04/10/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
1337,04/10/20,Miami Golf Course,PM10-24hr,UG/M3,14.0,24,14,0,04007
1348,04/10/20,Alamo Lake,OZONE-1HR,PPB,47.0,1,-999,-999,04012
1349,04/10/20,Alamo Lake,OZONE-8HR,PPB,43.0,8,40,0,04012
1350,04/10/20,Alamo Lake,PM10-24hr,UG/M3,4.0,24,5,0,04012
1351,04/10/20,Alamo Lake,PM2.5-24hr,UG/M3,2.5,24,11,0,04012
1368,04/10/20,Ft McD Yuma Frank-AZ,OZONE-1HR,PPB,127.0,1,104,2,04013
1369,04/10/20,Ft McD Yuma Frank-AZ,OZONE-8HR,PPB,92.0,8,166,3,04013
1370,04/10/20,Ft McD Yuma Frank-AZ,PM10-24hr,UG/M3,18.0,24,18,0,04013
1415,04/10/20,StJohns,OZONE-1HR,PPB,54.0,1,-999,-999,04013
1416,04/10/20,StJohns,OZONE-8HR,PPB,51.0,8,47,0,04013
1417,04/10/20,StJohns,PM10-24hr,UG/M3,17.0,24,16,0,04013
1419,04/10/20,Senior Center,OZONE-1HR,PPB,61.0,1,-999,-999,04013
1420,04/10/20,Senior Center,OZONE-8HR,PPB,57.0,8,58,1,04013
1421,04/10/20,Senior Center,PM10-24hr,UG/M3,19.0,24,19,0,04013
1422,04/10/20,Red Mountain,OZONE-1HR,PPB,62.0,1,-999,-999,04013
1423,04/10/20,Red Mountain,OZONE-8HR,PPB,58.0,8,61,1,04013
1424,04/10/20,LEHI,OZONE-1HR,PPB,62.0,1,-999,-999,04013
1425,04/10/20,LEHI,OZONE-8HR,PPB,58.0,8,61,1,04013
1426,04/10/20,LEHI,PM10-24hr,UG/M3,18.0,24,18,0,04013
1427,04/10/20,High School,OZONE-1HR,PPB,57.0,1,-999,-999,04013
1428,04/10/20,High School,OZONE-8HR,PPB,53.0,8,49,0,04013
1429,04/10/20,High School,PM10-24hr,UG/M3,26.0,24,24,0,04013
1439,04/10/20,Phoenix JLG Supersite,CO-8hr,PPM,0.33,1,4,0,04013
1440,04/10/20,Phoenix JLG Supersite,OZONE-1HR,PPB,51.0,1,-999,-999,04013
1441,04/10/20,Phoenix JLG Supersite,OZONE-8HR,PPB,47.0,8,44,0,04013
1442,04/10/20,Phoenix JLG Supersite,PM10-24hr,UG/M3,18.0,24,18,0,04013
1443,04/10/20,Phoenix JLG Supersite,PM2.5-24hr,UG/M3,5.2,24,22,0,04013
1444,04/10/20,Phoenix JLG Supersite,SO2-24HR,PPB,0.0,24,-999,-999,04013
1445,04/10/20,Bullhead City,PM10-24hr,UG/M3,2.0,24,3,0,04015
1446,04/10/20,Petrified Forest NP,OZONE-1HR,PPB,53.0,1,-999,-999,04017
1447,04/10/20,Petrified Forest NP,OZONE-8HR,PPB,51.0,8,47,0,04017
1448,04/10/20,Ajo,PM10-24hr,UG/M3,6.0,24,6,0,04019
1449,04/10/20,Orange Grove,PM10-24hr,UG/M3,20.0,24,19,0,04019
1450,04/10/20,Orange Grove,PM2.5-24hr,UG/M3,-0.8,24,-999,-999,04019
1451,04/10/20,Rillito,PM10-24hr,UG/M3,33.0,24,31,0,04019
1452,04/10/20,Saguaro Monument,OZONE-1HR,PPB,58.0,1,-999,-999,04019
1453,04/10/20,Saguaro Monument,OZONE-8HR,PPB,55.0,8,51,1,04019
1454,04/10/20,South Tucson,PM10-24hr,UG/M3,18.0,24,17,0,04019
1455,04/10/20,22nd Street & Craycroft,OZONE-1HR,PPB,55.0,1,-999,-999,04019
1456,04/10/20,22nd Street & Craycroft,OZONE-8HR,PPB,52.0,8,48,0,04019
1457,04/10/20,Tangerine & Camino de Oeste,OZONE-1HR,PPB,55.0,1,-999,-999,04019
1458,04/10/20,Tangerine & Camino de Oeste,OZONE-8HR,PPB,52.0,8,48,0,04019
1459,04/10/20,Fairgrounds,OZONE-1HR,PPB,57.0,1,-999,-999,04019
1460,04/10/20,Fairgrounds,OZONE-8HR,PPB,54.0,8,50,0,04019
