,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
549,05/05/20,Sand Mountain,OZONE-1HR,PPB,41.0,1,-999,-999,01049
550,05/05/20,Sand Mountain,OZONE-8HR,PPB,33.0,8,31,0,01049
555,05/05/20,NO. BHAM,OZONE-1HR,PPB,35.0,1,-999,-999,01073
556,05/05/20,NO. BHAM,OZONE-8HR,PPB,31.0,8,29,0,01073
557,05/05/20,NO. BHAM,PM10-24hr,UG/M3,19.0,24,18,0,01073
558,05/05/20,FAIRFIELD,OZONE-1HR,PPB,35.0,1,-999,-999,01073
559,05/05/20,FAIRFIELD,OZONE-8HR,PPB,31.0,8,29,0,01073
560,05/05/20,MCADORY,OZONE-1HR,PPB,43.0,1,-999,-999,01073
561,05/05/20,MCADORY,OZONE-8HR,PPB,38.0,8,35,0,01073
562,05/05/20,MCADORY,PM2.5-24hr,UG/M3,7.6,24,32,0,01073
563,05/05/20,LEEDS,OZONE-1HR,PPB,42.0,1,-999,-999,01073
564,05/05/20,LEEDS,OZONE-8HR,PPB,36.0,8,33,0,01073
565,05/05/20,WYLAM,PM10-24hr,UG/M3,16.0,24,16,0,01073
566,05/05/20,WYLAM,PM2.5-24hr,UG/M3,10.5,24,44,0,01073
567,05/05/20,CORNER,OZONE-1HR,PPB,36.0,1,-999,-999,01073
568,05/05/20,CORNER,OZONE-8HR,PPB,32.0,8,30,0,01073
569,05/05/20,CORNER,PM2.5-24hr,UG/M3,7.1,24,30,0,01073
570,05/05/20,TARRANT,OZONE-1HR,PPB,34.0,1,-999,-999,01073
571,05/05/20,TARRANT,OZONE-8HR,PPB,31.0,8,29,0,01073
572,05/05/20,Shuttlesworth,PM10-24hr,UG/M3,30.0,24,29,0,01073
573,05/05/20,Shuttlesworth,PM2.5-24hr,UG/M3,13.1,24,53,1,01073
574,05/05/20,Huntsville Old Airport,OZONE-1HR,PPB,39.0,1,-999,-999,01089
575,05/05/20,Huntsville Old Airport,OZONE-8HR,PPB,33.0,8,31,0,01089
576,05/05/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,9.4,24,40,0,01089
577,05/05/20,Huntsville Capshaw,OZONE-1HR,PPB,37.0,1,-999,-999,01089
578,05/05/20,Huntsville Capshaw,OZONE-8HR,PPB,30.0,8,28,0,01089
892,05/05/20,Garden,CO-8hr,PPM,0.41,1,5,0,02020
893,05/05/20,Garden,PM10-24hr,UG/M3,14.0,24,14,0,02020
894,05/05/20,Garden,PM2.5-24hr,UG/M3,2.8,24,12,0,02020
895,05/05/20,Parkgate (Eagle River),PM10-24hr,UG/M3,23.0,24,21,0,02020
905,05/05/20,Denali NPP,OZONE-1HR,PPB,43.0,1,-999,-999,02068
906,05/05/20,Denali NPP,OZONE-8HR,PPB,42.0,8,39,0,02068
907,05/05/20,NCore,CO-8hr,PPM,0.2,1,2,0,02090
908,05/05/20,NCore,OZONE-1HR,PPB,39.0,1,-999,-999,02090
909,05/05/20,NCore,OZONE-8HR,PPB,38.0,8,35,0,02090
910,05/05/20,NCore,PM10-24hr,UG/M3,16.0,24,15,0,02090
911,05/05/20,NCore,PM2.5-24hr,UG/M3,1.7,24,8,0,02090
912,05/05/20,NCore,SO2-24HR,PPB,1.0,24,-999,-999,02090
913,05/05/20,Hurst Road,PM2.5-24hr,UG/M3,5.6,24,24,0,02090
914,05/05/20,Floyd Dryden,PM10-24hr,UG/M3,6.0,24,6,0,02110
915,05/05/20,Floyd Dryden,PM2.5-24hr,UG/M3,4.5,24,19,0,02110
930,05/05/20,Butte (Harrison Court),PM10-24hr,UG/M3,6.0,24,6,0,02170
931,05/05/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,1.4,24,6,0,02170
1318,05/05/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,28.0,24,26,0,04003
1319,05/05/20,Douglas Red Cross,PM10-24hr,UG/M3,24.0,24,22,0,04003
1320,05/05/20,Chiricahua NM,OZONE-1HR,PPB,63.0,1,-999,-999,04003
1321,05/05/20,Chiricahua NM,OZONE-8HR,PPB,60.0,8,67,1,04003
1322,05/05/20,Flagstaff Middle School,OZONE-1HR,PPB,56.0,1,-999,-999,04005
1323,05/05/20,Flagstaff Middle School,OZONE-8HR,PPB,53.0,8,49,0,04005
1324,05/05/20,Grand Canyon NP,OZONE-1HR,PPB,55.0,1,-999,-999,04005
1325,05/05/20,Grand Canyon NP,OZONE-8HR,PPB,54.0,8,50,0,04005
1326,05/05/20,Payson Well Site,PM10-24hr,UG/M3,19.0,24,19,0,04007
1327,05/05/20,Tonto National Monument,OZONE-1HR,PPB,71.0,1,-999,-999,04007
1328,05/05/20,Tonto National Monument,OZONE-8HR,PPB,63.0,8,77,1,04007
1329,05/05/20,Miami Jones Ranch,SO2-24HR,PPB,2.0,24,-999,-999,04007
1330,05/05/20,Miami Town Site,SO2-24HR,PPB,1.0,24,-999,-999,04007
1331,05/05/20,Hayden,PM10-24hr,UG/M3,23.0,24,21,0,04007
1332,05/05/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
1333,05/05/20,Miami Golf Course,PM10-24hr,UG/M3,31.0,24,30,0,04007
1343,05/05/20,Alamo Lake,OZONE-1HR,PPB,59.0,1,-999,-999,04012
1344,05/05/20,Alamo Lake,OZONE-8HR,PPB,56.0,8,54,1,04012
1345,05/05/20,Alamo Lake,PM10-24hr,UG/M3,11.0,24,11,0,04012
1346,05/05/20,Alamo Lake,PM2.5-24hr,UG/M3,2.9,24,13,0,04012
1360,05/05/20,Ft McD Yuma Frank-AZ,PM10-24hr,UG/M3,52.0,24,48,0,04013
1405,05/05/20,StJohns,OZONE-1HR,PPB,71.0,1,-999,-999,04013
1406,05/05/20,StJohns,OZONE-8HR,PPB,67.0,8,90,1,04013
1407,05/05/20,StJohns,PM10-24hr,UG/M3,36.0,24,33,0,04013
1409,05/05/20,Senior Center,OZONE-1HR,PPB,90.0,1,-999,-999,04013
