,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
518,03/14/20,Sand Mountain,OZONE-1HR,PPB,38.0,1,-999,-999,01049
519,03/14/20,Sand Mountain,OZONE-8HR,PPB,34.0,8,31,0,01049
524,03/14/20,NO. BHAM,OZONE-1HR,PPB,41.0,1,-999,-999,01073
525,03/14/20,NO. BHAM,OZONE-8HR,PPB,34.0,8,31,0,01073
526,03/14/20,NO. BHAM,PM10-24hr,UG/M3,18.0,24,17,0,01073
527,03/14/20,FAIRFIELD,OZONE-1HR,PPB,35.0,1,-999,-999,01073
528,03/14/20,FAIRFIELD,OZONE-8HR,PPB,30.0,8,28,0,01073
529,03/14/20,MCADORY,OZONE-1HR,PPB,31.0,1,-999,-999,01073
530,03/14/20,MCADORY,OZONE-8HR,PPB,28.0,8,26,0,01073
531,03/14/20,MCADORY,PM2.5-24hr,UG/M3,10.4,24,44,0,01073
532,03/14/20,WYLAM,PM10-24hr,UG/M3,18.0,24,18,0,01073
533,03/14/20,WYLAM,PM2.5-24hr,UG/M3,11.1,24,47,0,01073
534,03/14/20,CORNER,OZONE-1HR,PPB,40.0,1,-999,-999,01073
535,03/14/20,CORNER,OZONE-8HR,PPB,35.0,8,32,0,01073
536,03/14/20,CORNER,PM2.5-24hr,UG/M3,9.1,24,38,0,01073
537,03/14/20,TARRANT,OZONE-1HR,PPB,38.0,1,-999,-999,01073
538,03/14/20,TARRANT,OZONE-8HR,PPB,31.0,8,29,0,01073
539,03/14/20,Shuttlesworth,PM10-24hr,UG/M3,27.0,24,26,0,01073
540,03/14/20,Shuttlesworth,PM2.5-24hr,UG/M3,11.5,24,48,0,01073
541,03/14/20,Huntsville Old Airport,OZONE-1HR,PPB,37.0,1,-999,-999,01089
542,03/14/20,Huntsville Old Airport,OZONE-8HR,PPB,31.0,8,29,0,01089
543,03/14/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,6.8,24,28,0,01089
544,03/14/20,Huntsville Capshaw,OZONE-1HR,PPB,37.0,1,-999,-999,01089
545,03/14/20,Huntsville Capshaw,OZONE-8HR,PPB,29.0,8,27,0,01089
813,03/14/20,Garden,CO-8hr,PPM,1.0,1,11,0,02020
814,03/14/20,Garden,PM10-24hr,UG/M3,15.0,24,15,0,02020
815,03/14/20,Garden,PM2.5-24hr,UG/M3,12.1,24,51,1,02020
816,03/14/20,Parkgate (Eagle River),PM10-24hr,UG/M3,10.0,24,10,0,02020
828,03/14/20,Bethel,PM10-24hr,UG/M3,10.0,24,9,0,02050
829,03/14/20,Bethel,PM2.5-24hr,UG/M3,5.1,24,21,0,02050
830,03/14/20,Denali NPP,OZONE-1HR,PPB,47.0,1,-999,-999,02068
831,03/14/20,Denali NPP,OZONE-8HR,PPB,46.0,8,43,0,02068
