,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
546,03/02/20,Sand Mountain,OZONE-1HR,PPB,46.0,1,-999,-999,01049
547,03/02/20,Sand Mountain,OZONE-8HR,PPB,41.0,8,38,0,01049
551,03/02/20,NO. BHAM,OZONE-1HR,PPB,49.0,1,-999,-999,01073
552,03/02/20,NO. BHAM,OZONE-8HR,PPB,34.0,8,31,0,01073
553,03/02/20,NO. BHAM,PM10-24hr,UG/M3,13.0,24,13,0,01073
554,03/02/20,MCADORY,PM2.5-24hr,UG/M3,7.2,24,30,0,01073
555,03/02/20,WYLAM,PM10-24hr,UG/M3,12.0,24,12,0,01073
556,03/02/20,WYLAM,PM2.5-24hr,UG/M3,8.3,24,35,0,01073
557,03/02/20,CORNER,PM2.5-24hr,UG/M3,6.6,24,28,0,01073
558,03/02/20,Shuttlesworth,PM10-24hr,UG/M3,14.0,24,13,0,01073
559,03/02/20,Shuttlesworth,PM2.5-24hr,UG/M3,7.7,24,33,0,01073
560,03/02/20,Huntsville Old Airport,OZONE-1HR,PPB,43.0,1,-999,-999,01089
561,03/02/20,Huntsville Old Airport,OZONE-8HR,PPB,37.0,8,34,0,01089
562,03/02/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,7.7,24,33,0,01089
563,03/02/20,Huntsville Capshaw,OZONE-1HR,PPB,47.0,1,-999,-999,01089
564,03/02/20,Huntsville Capshaw,OZONE-8HR,PPB,39.0,8,36,0,01089
857,03/02/20,Garden,CO-8hr,PPM,1.12,1,13,0,02020
858,03/02/20,Garden,PM10-24hr,UG/M3,3.0,24,3,0,02020
859,03/02/20,Garden,PM2.5-24hr,UG/M3,0.7,24,3,0,02020
860,03/02/20,Parkgate (Eagle River),PM10-24hr,UG/M3,1.0,24,2,0,02020
872,03/02/20,Bethel,PM10-24hr,UG/M3,8.0,24,7,0,02050
873,03/02/20,Bethel,PM2.5-24hr,UG/M3,8.0,24,34,0,02050
874,03/02/20,Denali NPP,OZONE-1HR,PPB,38.0,1,-999,-999,02068
875,03/02/20,Denali NPP,OZONE-8HR,PPB,37.0,8,34,0,02068
876,03/02/20,NCore,CO-8hr,PPM,0.47,1,5,0,02090
877,03/02/20,NCore,OZONE-1HR,PPB,35.0,1,-999,-999,02090
878,03/02/20,NCore,OZONE-8HR,PPB,32.0,8,30,0,02090
879,03/02/20,NCore,PM10-24hr,UG/M3,14.0,24,14,0,02090
880,03/02/20,NCore,PM2.5-24hr,UG/M3,5.2,24,22,0,02090
881,03/02/20,Hurst Road,PM2.5-24hr,UG/M3,4.4,24,19,0,02090
882,03/02/20,Floyd Dryden,PM10-24hr,UG/M3,3.0,24,3,0,02110
883,03/02/20,Floyd Dryden,PM2.5-24hr,UG/M3,1.2,24,5,0,02110
1306,03/02/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,5.0,24,6,0,04003
1307,03/02/20,Douglas Red Cross,PM10-24hr,UG/M3,22.0,24,20,0,04003
1308,03/02/20,Chiricahua NM,OZONE-1HR,PPB,41.0,1,-999,-999,04003
1309,03/02/20,Chiricahua NM,OZONE-8HR,PPB,40.0,8,37,0,04003
1310,03/02/20,Flagstaff Middle School,OZONE-1HR,PPB,43.0,1,-999,-999,04005
1311,03/02/20,Flagstaff Middle School,OZONE-8HR,PPB,45.0,8,42,0,04005
