,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
516,02/22/20,Sand Mountain,OZONE-1HR,PPB,47.0,1,-999,-999,01049
517,02/22/20,Sand Mountain,OZONE-8HR,PPB,45.0,8,42,0,01049
520,02/22/20,NO. BHAM,OZONE-1HR,PPB,48.0,1,-999,-999,01073
521,02/22/20,NO. BHAM,OZONE-8HR,PPB,43.0,8,40,0,01073
522,02/22/20,NO. BHAM,PM10-24hr,UG/M3,19.0,24,18,0,01073
523,02/22/20,MCADORY,PM2.5-24hr,UG/M3,7.2,24,30,0,01073
524,02/22/20,WYLAM,PM10-24hr,UG/M3,12.0,24,11,0,01073
525,02/22/20,WYLAM,PM2.5-24hr,UG/M3,8.6,24,36,0,01073
526,02/22/20,CORNER,PM2.5-24hr,UG/M3,6.3,24,26,0,01073
527,02/22/20,Shuttlesworth,PM10-24hr,UG/M3,21.0,24,20,0,01073
528,02/22/20,Shuttlesworth,PM2.5-24hr,UG/M3,9.7,24,41,0,01073
529,02/22/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,8.0,24,34,0,01089
841,02/22/20,Garden,CO-8hr,PPM,0.46,1,5,0,02020
842,02/22/20,Garden,PM10-24hr,UG/M3,4.0,24,4,0,02020
843,02/22/20,Garden,PM2.5-24hr,UG/M3,3.6,24,15,0,02020
844,02/22/20,Parkgate (Eagle River),PM10-24hr,UG/M3,1.0,24,2,0,02020
855,02/22/20,Bethel,PM10-24hr,UG/M3,11.0,24,11,0,02050
856,02/22/20,Bethel,PM2.5-24hr,UG/M3,12.7,24,52,1,02050
857,02/22/20,Denali NPP,OZONE-1HR,PPB,34.0,1,-999,-999,02068
858,02/22/20,Denali NPP,OZONE-8HR,PPB,33.0,8,31,0,02068
859,02/22/20,NCore,CO-8hr,PPM,0.38,1,4,0,02090
860,02/22/20,NCore,OZONE-1HR,PPB,26.0,1,-999,-999,02090
861,02/22/20,NCore,OZONE-8HR,PPB,25.0,8,23,0,02090
862,02/22/20,NCore,PM10-24hr,UG/M3,14.0,24,13,0,02090
863,02/22/20,NCore,PM2.5-24hr,UG/M3,6.5,24,27,0,02090
864,02/22/20,NCore,SO2-24HR,PPB,3.0,24,-999,-999,02090
865,02/22/20,Hurst Road,PM2.5-24hr,UG/M3,8.8,24,37,0,02090
866,02/22/20,Floyd Dryden,PM10-24hr,UG/M3,2.0,24,3,0,02110
867,02/22/20,Floyd Dryden,PM2.5-24hr,UG/M3,0.7,24,3,0,02110
883,02/22/20,Butte (Harrison Court),PM10-24hr,UG/M3,3.0,24,4,0,02170
884,02/22/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,1.7,24,7,0,02170
1268,02/22/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,5.0,24,5,0,04003
1269,02/22/20,Douglas Red Cross,PM10-24hr,UG/M3,8.0,24,8,0,04003
1270,02/22/20,Chiricahua NM,OZONE-1HR,PPB,34.0,1,-999,-999,04003
1271,02/22/20,Chiricahua NM,OZONE-8HR,PPB,31.0,8,29,0,04003
1272,02/22/20,Flagstaff Middle School,OZONE-1HR,PPB,41.0,1,-999,-999,04005
1273,02/22/20,Flagstaff Middle School,OZONE-8HR,PPB,44.0,8,41,0,04005
1274,02/22/20,Grand Canyon NP,OZONE-1HR,PPB,46.0,1,-999,-999,04005
1275,02/22/20,Grand Canyon NP,OZONE-8HR,PPB,43.0,8,40,0,04005
1276,02/22/20,Payson Well Site,PM10-24hr,UG/M3,6.0,24,6,0,04007
1277,02/22/20,Tonto National Monument,OZONE-1HR,PPB,36.0,1,-999,-999,04007
1278,02/22/20,Tonto National Monument,OZONE-8HR,PPB,38.0,8,35,0,04007
1279,02/22/20,Miami Jones Ranch,SO2-24HR,PPB,0.0,24,-999,-999,04007
1280,02/22/20,Miami Town Site,SO2-24HR,PPB,0.0,24,-999,-999,04007
1281,02/22/20,Hayden,PM10-24hr,UG/M3,6.0,24,6,0,04007
1282,02/22/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
1283,02/22/20,Miami Golf Course,PM10-24hr,UG/M3,4.0,24,5,0,04007
1294,02/22/20,Alamo Lake,OZONE-1HR,PPB,45.0,1,-999,-999,04012
1295,02/22/20,Alamo Lake,OZONE-8HR,PPB,43.0,8,40,0,04012
1296,02/22/20,Alamo Lake,PM10-24hr,UG/M3,11.0,24,10,0,04012
1297,02/22/20,Alamo Lake,PM2.5-24hr,UG/M3,3.9,24,17,0,04012
1356,02/22/20,StJohns,PM10-24hr,UG/M3,11.0,24,10,0,04013
1358,02/22/20,Senior Center,OZONE-1HR,PPB,34.0,1,-999,-999,04013
1359,02/22/20,Senior Center,OZONE-8HR,PPB,29.0,8,27,0,04013
