,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
537,02/18/20,Sand Mountain,OZONE-1HR,PPB,26.0,1,-999,-999,01049
538,02/18/20,Sand Mountain,OZONE-8HR,PPB,29.0,8,27,0,01049
539,02/18/20,NO. BHAM,OZONE-1HR,PPB,25.0,1,-999,-999,01073
540,02/18/20,NO. BHAM,OZONE-8HR,PPB,24.0,8,22,0,01073
541,02/18/20,NO. BHAM,PM10-24hr,UG/M3,8.0,24,8,0,01073
542,02/18/20,MCADORY,PM2.5-24hr,UG/M3,4.8,24,20,0,01073
543,02/18/20,WYLAM,PM10-24hr,UG/M3,8.0,24,8,0,01073
544,02/18/20,WYLAM,PM2.5-24hr,UG/M3,6.6,24,28,0,01073
545,02/18/20,CORNER,PM2.5-24hr,UG/M3,4.1,24,18,0,01073
546,02/18/20,Shuttlesworth,PM10-24hr,UG/M3,8.0,24,8,0,01073
547,02/18/20,Shuttlesworth,PM2.5-24hr,UG/M3,5.1,24,21,0,01073
847,02/18/20,Garden,CO-8hr,PPM,0.34,1,4,0,02020
848,02/18/20,Garden,PM10-24hr,UG/M3,1.0,24,2,0,02020
849,02/18/20,Garden,PM2.5-24hr,UG/M3,1.0,24,4,0,02020
850,02/18/20,Parkgate (Eagle River),PM10-24hr,UG/M3,0.0,24,0,0,02020
862,02/18/20,Bethel,PM10-24hr,UG/M3,5.0,24,5,0,02050
863,02/18/20,Bethel,PM2.5-24hr,UG/M3,3.7,24,16,0,02050
864,02/18/20,Denali NPP,OZONE-1HR,PPB,48.0,1,-999,-999,02068
865,02/18/20,Denali NPP,OZONE-8HR,PPB,45.0,8,42,0,02068
866,02/18/20,NCore,CO-8hr,PPM,1.08,1,12,0,02090
867,02/18/20,NCore,OZONE-1HR,PPB,39.0,1,-999,-999,02090
868,02/18/20,NCore,OZONE-8HR,PPB,15.0,8,14,0,02090
869,02/18/20,NCore,PM10-24hr,UG/M3,24.0,24,22,0,02090
870,02/18/20,NCore,PM2.5-24hr,UG/M3,13.1,24,53,1,02090
871,02/18/20,NCore,SO2-24HR,PPB,7.0,24,-999,-999,02090
872,02/18/20,Hurst Road,PM2.5-24hr,UG/M3,12.4,24,52,1,02090
873,02/18/20,Floyd Dryden,PM2.5-24hr,UG/M3,0.2,24,1,0,02110
1293,02/18/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,6.0,24,6,0,04003
1294,02/18/20,Douglas Red Cross,PM10-24hr,UG/M3,30.0,24,29,0,04003
1295,02/18/20,Chiricahua NM,OZONE-1HR,PPB,49.0,1,-999,-999,04003
1296,02/18/20,Chiricahua NM,OZONE-8HR,PPB,46.0,8,43,0,04003
1297,02/18/20,Flagstaff Middle School,OZONE-1HR,PPB,46.0,1,-999,-999,04005
1298,02/18/20,Flagstaff Middle School,OZONE-8HR,PPB,44.0,8,41,0,04005
1299,02/18/20,Grand Canyon NP,OZONE-1HR,PPB,45.0,1,-999,-999,04005
1300,02/18/20,Grand Canyon NP,OZONE-8HR,PPB,43.0,8,40,0,04005
1301,02/18/20,Payson Well Site,PM10-24hr,UG/M3,32.0,24,30,0,04007
1302,02/18/20,Tonto National Monument,OZONE-1HR,PPB,57.0,1,-999,-999,04007
1303,02/18/20,Tonto National Monument,OZONE-8HR,PPB,49.0,8,45,0,04007
1304,02/18/20,Miami Jones Ranch,SO2-24HR,PPB,4.0,24,-999,-999,04007
1305,02/18/20,Miami Town Site,SO2-24HR,PPB,1.0,24,-999,-999,04007
1306,02/18/20,Hayden,PM10-24hr,UG/M3,12.0,24,12,0,04007
1307,02/18/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
1308,02/18/20,Miami Golf Course,PM10-24hr,UG/M3,20.0,24,19,0,04007
1319,02/18/20,Alamo Lake,OZONE-1HR,PPB,45.0,1,-999,-999,04012
1320,02/18/20,Alamo Lake,OZONE-8HR,PPB,43.0,8,40,0,04012
1321,02/18/20,Alamo Lake,PM10-24hr,UG/M3,13.0,24,12,0,04012
