,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
525,03/30/20,Sand Mountain,OZONE-1HR,PPB,51.0,1,-999,-999,01049
526,03/30/20,Sand Mountain,OZONE-8HR,PPB,47.0,8,44,0,01049
531,03/30/20,NO. BHAM,OZONE-1HR,PPB,53.0,1,-999,-999,01073
532,03/30/20,NO. BHAM,OZONE-8HR,PPB,50.0,8,46,0,01073
533,03/30/20,NO. BHAM,PM10-24hr,UG/M3,19.0,24,18,0,01073
534,03/30/20,FAIRFIELD,OZONE-1HR,PPB,48.0,1,-999,-999,01073
535,03/30/20,FAIRFIELD,OZONE-8HR,PPB,45.0,8,42,0,01073
536,03/30/20,MCADORY,OZONE-1HR,PPB,48.0,1,-999,-999,01073
537,03/30/20,MCADORY,OZONE-8HR,PPB,45.0,8,42,0,01073
538,03/30/20,MCADORY,PM2.5-24hr,UG/M3,8.0,24,34,0,01073
539,03/30/20,LEEDS,OZONE-1HR,PPB,46.0,1,-999,-999,01073
540,03/30/20,LEEDS,OZONE-8HR,PPB,45.0,8,42,0,01073
541,03/30/20,WYLAM,PM10-24hr,UG/M3,12.0,24,12,0,01073
542,03/30/20,WYLAM,PM2.5-24hr,UG/M3,8.5,24,35,0,01073
543,03/30/20,CORNER,OZONE-1HR,PPB,53.0,1,-999,-999,01073
544,03/30/20,CORNER,OZONE-8HR,PPB,49.0,8,45,0,01073
545,03/30/20,CORNER,PM2.5-24hr,UG/M3,7.2,24,30,0,01073
546,03/30/20,TARRANT,OZONE-1HR,PPB,48.0,1,-999,-999,01073
547,03/30/20,TARRANT,OZONE-8HR,PPB,43.0,8,40,0,01073
548,03/30/20,Shuttlesworth,PM10-24hr,UG/M3,34.0,24,32,0,01073
549,03/30/20,Shuttlesworth,PM2.5-24hr,UG/M3,11.0,24,46,0,01073
550,03/30/20,Huntsville Old Airport,OZONE-1HR,PPB,49.0,1,-999,-999,01089
551,03/30/20,Huntsville Old Airport,OZONE-8HR,PPB,40.0,8,37,0,01089
552,03/30/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,8.7,24,37,0,01089
553,03/30/20,Huntsville Capshaw,OZONE-1HR,PPB,40.0,1,-999,-999,01089
554,03/30/20,Huntsville Capshaw,OZONE-8HR,PPB,37.0,8,34,0,01089
818,03/30/20,Garden,CO-8hr,PPM,0.84,1,10,0,02020
819,03/30/20,Garden,PM10-24hr,UG/M3,3.0,24,3,0,02020
820,03/30/20,Garden,PM2.5-24hr,UG/M3,5.5,24,23,0,02020
821,03/30/20,Parkgate (Eagle River),PM10-24hr,UG/M3,39.0,24,36,0,02020
832,03/30/20,Bethel,PM10-24hr,UG/M3,17.0,24,16,0,02050
833,03/30/20,Bethel,PM2.5-24hr,UG/M3,4.0,24,17,0,02050
834,03/30/20,Denali NPP,OZONE-1HR,PPB,46.0,1,-999,-999,02068
835,03/30/20,Denali NPP,OZONE-8HR,PPB,46.0,8,43,0,02068
836,03/30/20,NCore,CO-8hr,PPM,0.28,1,3,0,02090
837,03/30/20,NCore,OZONE-1HR,PPB,40.0,1,-999,-999,02090
838,03/30/20,NCore,OZONE-8HR,PPB,39.0,8,36,0,02090
839,03/30/20,NCore,PM10-24hr,UG/M3,16.0,24,16,0,02090
840,03/30/20,NCore,PM2.5-24hr,UG/M3,3.1,24,13,0,02090
841,03/30/20,NCore,SO2-24HR,PPB,2.0,24,-999,-999,02090
842,03/30/20,Hurst Road,PM2.5-24hr,UG/M3,2.3,24,10,0,02090
843,03/30/20,Floyd Dryden,PM10-24hr,UG/M3,9.0,24,8,0,02110
844,03/30/20,Floyd Dryden,PM2.5-24hr,UG/M3,3.3,24,14,0,02110
857,03/30/20,Butte (Harrison Court),PM10-24hr,UG/M3,14.0,24,13,0,02170
858,03/30/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,4.5,24,19,0,02170
1245,03/30/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,7.0,24,7,0,04003
1246,03/30/20,Douglas Red Cross,PM10-24hr,UG/M3,12.0,24,11,0,04003
1247,03/30/20,Chiricahua NM,OZONE-1HR,PPB,55.0,1,-999,-999,04003
1248,03/30/20,Chiricahua NM,OZONE-8HR,PPB,53.0,8,49,0,04003
1249,03/30/20,Flagstaff Middle School,OZONE-1HR,PPB,55.0,1,-999,-999,04005
1250,03/30/20,Flagstaff Middle School,OZONE-8HR,PPB,53.0,8,49,0,04005
1251,03/30/20,Grand Canyon NP,OZONE-1HR,PPB,51.0,1,-999,-999,04005
1252,03/30/20,Grand Canyon NP,OZONE-8HR,PPB,50.0,8,46,0,04005
1253,03/30/20,Payson Well Site,PM10-24hr,UG/M3,14.0,24,13,0,04007
1254,03/30/20,Tonto National Monument,OZONE-1HR,PPB,59.0,1,-999,-999,04007
1255,03/30/20,Tonto National Monument,OZONE-8HR,PPB,53.0,8,49,0,04007
1256,03/30/20,Miami Jones Ranch,SO2-24HR,PPB,3.0,24,-999,-999,04007
1257,03/30/20,Miami Town Site,SO2-24HR,PPB,2.0,24,-999,-999,04007
1258,03/30/20,Hayden,PM10-24hr,UG/M3,11.0,24,11,0,04007
1259,03/30/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
1260,03/30/20,Miami Golf Course,PM10-24hr,UG/M3,17.0,24,17,0,04007
1271,03/30/20,Alamo Lake,OZONE-1HR,PPB,52.0,1,-999,-999,04012
1272,03/30/20,Alamo Lake,OZONE-8HR,PPB,50.0,8,46,0,04012
1273,03/30/20,Alamo Lake,PM10-24hr,UG/M3,6.0,24,6,0,04012
1274,03/30/20,Alamo Lake,PM2.5-24hr,UG/M3,3.1,24,13,0,04012
1291,03/30/20,Ft McD Yuma Frank-AZ,OZONE-1HR,PPB,131.0,1,109,2,04013
1292,03/30/20,Ft McD Yuma Frank-AZ,OZONE-8HR,PPB,120.0,8,216,4,04013
1293,03/30/20,Ft McD Yuma Frank-AZ,PM10-24hr,UG/M3,18.0,24,18,0,04013
1337,03/30/20,StJohns,OZONE-1HR,PPB,53.0,1,-999,-999,04013
1338,03/30/20,StJohns,OZONE-8HR,PPB,52.0,8,48,0,04013
1339,03/30/20,StJohns,PM10-24hr,UG/M3,15.0,24,14,0,04013
1341,03/30/20,Senior Center,OZONE-1HR,PPB,60.0,1,-999,-999,04013
1342,03/30/20,Senior Center,OZONE-8HR,PPB,55.0,8,51,1,04013
1343,03/30/20,Senior Center,PM10-24hr,UG/M3,22.0,24,20,0,04013
1344,03/30/20,Red Mountain,OZONE-1HR,PPB,61.0,1,-999,-999,04013
1345,03/30/20,Red Mountain,OZONE-8HR,PPB,56.0,8,54,1,04013
1346,03/30/20,LEHI,OZONE-1HR,PPB,62.0,1,-999,-999,04013
1347,03/30/20,LEHI,OZONE-8HR,PPB,56.0,8,54,1,04013
1348,03/30/20,LEHI,PM10-24hr,UG/M3,21.0,24,19,0,04013
1349,03/30/20,High School,OZONE-1HR,PPB,57.0,1,-999,-999,04013
1350,03/30/20,High School,OZONE-8HR,PPB,52.0,8,48,0,04013
1351,03/30/20,High School,PM10-24hr,UG/M3,20.0,24,19,0,04013
1361,03/30/20,Phoenix JLG Supersite,CO-8hr,PPM,0.46,1,5,0,04013
1362,03/30/20,Phoenix JLG Supersite,OZONE-1HR,PPB,52.0,1,-999,-999,04013
1363,03/30/20,Phoenix JLG Supersite,OZONE-8HR,PPB,47.0,8,44,0,04013
1364,03/30/20,Phoenix JLG Supersite,PM10-24hr,UG/M3,19.0,24,18,0,04013
1365,03/30/20,Phoenix JLG Supersite,PM2.5-24hr,UG/M3,4.5,24,19,0,04013
1366,03/30/20,Phoenix JLG Supersite,SO2-24HR,PPB,0.0,24,-999,-999,04013
1367,03/30/20,Bullhead City,PM10-24hr,UG/M3,5.0,24,5,0,04015
1368,03/30/20,Petrified Forest NP,OZONE-1HR,PPB,52.0,1,-999,-999,04017
1369,03/30/20,Petrified Forest NP,OZONE-8HR,PPB,51.0,8,47,0,04017
1370,03/30/20,Ajo,PM10-24hr,UG/M3,15.0,24,14,0,04019
1371,03/30/20,Orange Grove,PM10-24hr,UG/M3,16.0,24,16,0,04019
1372,03/30/20,Orange Grove,PM2.5-24hr,UG/M3,2.1,24,9,0,04019
1373,03/30/20,Rillito,PM10-24hr,UG/M3,43.0,24,40,0,04019
1374,03/30/20,Saguaro Monument,OZONE-1HR,PPB,56.0,1,-999,-999,04019
1375,03/30/20,Saguaro Monument,OZONE-8HR,PPB,53.0,8,49,0,04019
1376,03/30/20,South Tucson,PM10-24hr,UG/M3,19.0,24,18,0,04019
1377,03/30/20,22nd Street & Craycroft,OZONE-1HR,PPB,55.0,1,-999,-999,04019
1378,03/30/20,22nd Street & Craycroft,OZONE-8HR,PPB,52.0,8,48,0,04019
1379,03/30/20,Tangerine & Camino de Oeste,OZONE-1HR,PPB,55.0,1,-999,-999,04019
1380,03/30/20,Tangerine & Camino de Oeste,OZONE-8HR,PPB,53.0,8,49,0,04019
1381,03/30/20,Fairgrounds,OZONE-1HR,PPB,60.0,1,-999,-999,04019
1382,03/30/20,Fairgrounds,OZONE-8HR,PPB,57.0,8,58,1,04019
1383,03/30/20,Children's Park Site,OZONE-1HR,PPB,52.0,1,-999,-999,04019
1384,03/30/20,Children's Park Site,OZONE-8HR,PPB,51.0,8,47,0,04019
1385,03/30/20,Children's Park Site,PM2.5-24hr,UG/M3,1.0,24,5,0,04019
1386,03/30/20,Green Valley,OZONE-1HR,PPB,59.0,1,-999,-999,04019
1387,03/30/20,Green Valley,OZONE-8HR,PPB,57.0,8,58,1,04019
1388,03/30/20,Green Valley,PM10-24hr,UG/M3,11.0,24,11,0,04019
1389,03/30/20,Rose Elementary,OZONE-1HR,PPB,52.0,1,-999,-999,04019
1390,03/30/20,Rose Elementary,OZONE-8HR,PPB,51.0,8,47,0,04019
1391,03/30/20,Coachline,OZONE-1HR,PPB,55.0,1,-999,-999,04019
1392,03/30/20,Coachline,OZONE-8HR,PPB,53.0,8,49,0,04019
1393,03/30/20,Geronimo,PM10-24hr,UG/M3,20.0,24,19,0,04019
1394,03/30/20,Geronimo,PM2.5-24hr,UG/M3,3.6,24,15,0,04019
1427,03/30/20,Sacaton,OZONE-1HR,PPB,60.0,1,-999,-999,04021
1428,03/30/20,Sacaton,OZONE-8HR,PPB,56.0,8,54,1,04021
1429,03/30/20,Sacaton,PM10-24hr,UG/M3,18.0,24,17,0,04021
1430,03/30/20,CasaBlanca,PM10-24hr,UG/M3,25.0,24,24,0,04021
1431,03/30/20,Queen Valley,OZONE-1HR,PPB,64.0,1,-999,-999,04021
1432,03/30/20,Queen Valley,OZONE-8HR,PPB,59.0,8,64,1,04021
1438,03/30/20,Nogales Post Office,PM10-24hr,UG/M3,27.0,24,26,0,04023
1439,03/30/20,Nogales Post Office,PM2.5-24hr,UG/M3,6.1,24,25,0,04023
1440,03/30/20,Prescott Pioneer Park,OZONE-1HR,PPB,52.0,1,-999,-999,04025
1441,03/30/20,Prescott Pioneer Park,OZONE-8HR,PPB,50.0,8,46,0,04025
1442,03/30/20,Yuma Supersite,OZONE-1HR,PPB,49.0,1,-999,-999,04027
1443,03/30/20,Yuma Supersite,OZONE-8HR,PPB,47.0,8,44,0,04027
1444,03/30/20,Yuma Supersite,PM10-24hr,UG/M3,23.0,24,22,0,04027
1445,03/30/20,Yuma Supersite,PM2.5-24hr,UG/M3,6.1,24,26,0,04027
1574,03/30/20,Caddo Valley,OZONE-1HR,PPB,45.0,1,-999,-999,05019
1575,03/30/20,Caddo Valley,OZONE-8HR,PPB,43.0,8,40,0,05019
1576,03/30/20,MARION,OZONE-1HR,PPB,43.0,1,-999,-999,05035
1577,03/30/20,MARION,OZONE-8HR,PPB,43.0,8,40,0,05035
1578,03/30/20,MARION,PM2.5-24hr,UG/M3,9.1,24,38,0,05035
1579,03/30/20,DEER,OZONE-1HR,PPB,53.0,1,-999,-999,05101
1580,03/30/20,DEER,OZONE-8HR,PPB,49.0,8,45,0,05101
1581,03/30/20,EAGLEMT,OZONE-1HR,PPB,53.0,1,-999,-999,05113
1582,03/30/20,EAGLEMT,OZONE-8HR,PPB,47.0,8,44,0,05113
1583,03/30/20,PARR,OZONE-1HR,PPB,43.0,1,-999,-999,05119
1584,03/30/20,PARR,OZONE-8HR,PPB,42.0,8,39,0,05119
1585,03/30/20,PARR,PM2.5-24hr,UG/M3,7.9,24,33,0,05119
1586,03/30/20,NLRAP,OZONE-1HR,PPB,48.0,1,-999,-999,05119
1587,03/30/20,NLRAP,OZONE-8HR,PPB,48.0,8,44,0,05119
1588,03/30/20,ADEQ-DSR,PM2.5-24hr,UG/M3,10.4,24,44,0,05119
1589,03/30/20,SPRNGDLE,OZONE-1HR,PPB,46.0,1,-999,-999,05143
1590,03/30/20,SPRNGDLE,PM2.5-24hr,UG/M3,8.8,24,37,0,05143
1591,03/30/20,Fayetteville,OZONE-1HR,PPB,51.0,1,-999,-999,05143
