,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
507,02/23/20,Sand Mountain,OZONE-1HR,PPB,45.0,1,-999,-999,01049
508,02/23/20,Sand Mountain,OZONE-8HR,PPB,39.0,8,36,0,01049
511,02/23/20,NO. BHAM,OZONE-1HR,PPB,46.0,1,-999,-999,01073
512,02/23/20,NO. BHAM,OZONE-8HR,PPB,43.0,8,40,0,01073
513,02/23/20,NO. BHAM,PM10-24hr,UG/M3,27.0,24,26,0,01073
514,02/23/20,MCADORY,PM2.5-24hr,UG/M3,11.7,24,49,0,01073
515,02/23/20,WYLAM,PM10-24hr,UG/M3,24.0,24,23,0,01073
516,02/23/20,WYLAM,PM2.5-24hr,UG/M3,18.3,24,64,1,01073
517,02/23/20,CORNER,PM2.5-24hr,UG/M3,10.8,24,45,0,01073
518,02/23/20,Shuttlesworth,PM10-24hr,UG/M3,25.0,24,23,0,01073
519,02/23/20,Shuttlesworth,PM2.5-24hr,UG/M3,13.2,24,54,1,01073
520,02/23/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,10.7,24,45,0,01089
831,02/23/20,Garden,CO-8hr,PPM,1.39,1,16,0,02020
832,02/23/20,Garden,PM10-24hr,UG/M3,8.0,24,7,0,02020
833,02/23/20,Garden,PM2.5-24hr,UG/M3,6.8,24,29,0,02020
834,02/23/20,Parkgate (Eagle River),PM10-24hr,UG/M3,2.0,24,2,0,02020
845,02/23/20,Bethel,PM10-24hr,UG/M3,8.0,24,8,0,02050
846,02/23/20,Bethel,PM2.5-24hr,UG/M3,8.7,24,36,0,02050
847,02/23/20,Denali NPP,OZONE-1HR,PPB,39.0,1,-999,-999,02068
848,02/23/20,Denali NPP,OZONE-8HR,PPB,38.0,8,35,0,02068
849,02/23/20,NCore,CO-8hr,PPM,0.22,1,3,0,02090
850,02/23/20,NCore,OZONE-1HR,PPB,32.0,1,-999,-999,02090
851,02/23/20,NCore,OZONE-8HR,PPB,29.0,8,27,0,02090
852,02/23/20,NCore,PM10-24hr,UG/M3,12.0,24,12,0,02090
853,02/23/20,NCore,PM2.5-24hr,UG/M3,5.0,24,21,0,02090
854,02/23/20,NCore,SO2-24HR,PPB,1.0,24,-999,-999,02090
855,02/23/20,Hurst Road,PM2.5-24hr,UG/M3,13.9,24,55,1,02090
856,02/23/20,Floyd Dryden,PM10-24hr,UG/M3,2.0,24,3,0,02110
857,02/23/20,Floyd Dryden,PM2.5-24hr,UG/M3,2.3,24,10,0,02110
1254,02/23/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,3.0,24,4,0,04003
1255,02/23/20,Douglas Red Cross,PM10-24hr,UG/M3,3.0,24,4,0,04003
1256,02/23/20,Chiricahua NM,OZONE-1HR,PPB,47.0,1,-999,-999,04003
1257,02/23/20,Chiricahua NM,OZONE-8HR,PPB,45.0,8,42,0,04003
1258,02/23/20,Flagstaff Middle School,OZONE-1HR,PPB,49.0,1,-999,-999,04005
1259,02/23/20,Flagstaff Middle School,OZONE-8HR,PPB,43.0,8,40,0,04005
1260,02/23/20,Grand Canyon NP,OZONE-1HR,PPB,46.0,1,-999,-999,04005
1261,02/23/20,Grand Canyon NP,OZONE-8HR,PPB,41.0,8,38,0,04005
1262,02/23/20,Payson Well Site,PM10-24hr,UG/M3,16.0,24,16,0,04007
1263,02/23/20,Tonto National Monument,OZONE-1HR,PPB,44.0,1,-999,-999,04007
1264,02/23/20,Tonto National Monument,OZONE-8HR,PPB,42.0,8,39,0,04007
1265,02/23/20,Miami Jones Ranch,SO2-24HR,PPB,0.0,24,-999,-999,04007
1266,02/23/20,Miami Town Site,SO2-24HR,PPB,0.0,24,-999,-999,04007
