,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
506,03/07/20,Sand Mountain,OZONE-1HR,PPB,47.0,1,-999,-999,01049
507,03/07/20,Sand Mountain,OZONE-8HR,PPB,44.0,8,41,0,01049
512,03/07/20,NO. BHAM,OZONE-1HR,PPB,48.0,1,-999,-999,01073
513,03/07/20,NO. BHAM,OZONE-8HR,PPB,44.0,8,41,0,01073
514,03/07/20,NO. BHAM,PM10-24hr,UG/M3,12.0,24,11,0,01073
515,03/07/20,FAIRFIELD,OZONE-1HR,PPB,47.0,1,-999,-999,01073
516,03/07/20,FAIRFIELD,OZONE-8HR,PPB,43.0,8,40,0,01073
517,03/07/20,MCADORY,OZONE-1HR,PPB,43.0,1,-999,-999,01073
518,03/07/20,MCADORY,OZONE-8HR,PPB,39.0,8,36,0,01073
519,03/07/20,MCADORY,PM2.5-24hr,UG/M3,6.9,24,29,0,01073
520,03/07/20,WYLAM,PM10-24hr,UG/M3,9.0,24,8,0,01073
521,03/07/20,WYLAM,PM2.5-24hr,UG/M3,6.3,24,26,0,01073
522,03/07/20,CORNER,OZONE-1HR,PPB,45.0,1,-999,-999,01073
523,03/07/20,CORNER,OZONE-8HR,PPB,42.0,8,39,0,01073
524,03/07/20,CORNER,PM2.5-24hr,UG/M3,5.0,24,21,0,01073
525,03/07/20,TARRANT,OZONE-1HR,PPB,44.0,1,-999,-999,01073
526,03/07/20,TARRANT,OZONE-8HR,PPB,40.0,8,37,0,01073
527,03/07/20,Shuttlesworth,PM10-24hr,UG/M3,14.0,24,14,0,01073
528,03/07/20,Shuttlesworth,PM2.5-24hr,UG/M3,7.4,24,31,0,01073
529,03/07/20,Huntsville Old Airport,OZONE-1HR,PPB,45.0,1,-999,-999,01089
530,03/07/20,Huntsville Old Airport,OZONE-8HR,PPB,42.0,8,39,0,01089
531,03/07/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,7.0,24,30,0,01089
532,03/07/20,Huntsville Capshaw,OZONE-1HR,PPB,44.0,1,-999,-999,01089
533,03/07/20,Huntsville Capshaw,OZONE-8HR,PPB,41.0,8,38,0,01089
795,03/07/20,Garden,CO-8hr,PPM,0.17,1,2,0,02020
796,03/07/20,Garden,PM10-24hr,UG/M3,5.0,24,6,0,02020
797,03/07/20,Garden,PM2.5-24hr,UG/M3,3.1,24,13,0,02020
798,03/07/20,Parkgate (Eagle River),PM10-24hr,UG/M3,4.0,24,4,0,02020
809,03/07/20,Bethel,PM10-24hr,UG/M3,4.0,24,5,0,02050
