,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
499,02/24/20,Sand Mountain,OZONE-1HR,PPB,33.0,1,-999,-999,01049
500,02/24/20,Sand Mountain,OZONE-8HR,PPB,30.0,8,28,0,01049
503,02/24/20,NO. BHAM,OZONE-1HR,PPB,37.0,1,-999,-999,01073
504,02/24/20,NO. BHAM,OZONE-8HR,PPB,28.0,8,26,0,01073
505,02/24/20,NO. BHAM,PM10-24hr,UG/M3,17.0,24,16,0,01073
506,02/24/20,MCADORY,PM2.5-24hr,UG/M3,10.0,24,42,0,01073
507,02/24/20,WYLAM,PM10-24hr,UG/M3,14.0,24,13,0,01073
508,02/24/20,WYLAM,PM2.5-24hr,UG/M3,11.3,24,48,0,01073
509,02/24/20,CORNER,PM2.5-24hr,UG/M3,9.4,24,39,0,01073
510,02/24/20,Shuttlesworth,PM10-24hr,UG/M3,13.0,24,12,0,01073
511,02/24/20,Shuttlesworth,PM2.5-24hr,UG/M3,9.1,24,38,0,01073
512,02/24/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,7.7,24,32,0,01089
822,02/24/20,Garden,CO-8hr,PPM,1.55,1,18,0,02020
823,02/24/20,Garden,PM10-24hr,UG/M3,10.0,24,10,0,02020
824,02/24/20,Garden,PM2.5-24hr,UG/M3,8.9,24,38,0,02020
825,02/24/20,Parkgate (Eagle River),PM10-24hr,UG/M3,6.0,24,6,0,02020
837,02/24/20,Bethel,PM10-24hr,UG/M3,3.0,24,3,0,02050
838,02/24/20,Bethel,PM2.5-24hr,UG/M3,4.0,24,17,0,02050
839,02/24/20,Denali NPP,OZONE-1HR,PPB,40.0,1,-999,-999,02068
840,02/24/20,Denali NPP,OZONE-8HR,PPB,40.0,8,37,0,02068
841,02/24/20,NCore,CO-8hr,PPM,0.61,1,7,0,02090
842,02/24/20,NCore,OZONE-1HR,PPB,17.0,1,-999,-999,02090
843,02/24/20,NCore,OZONE-8HR,PPB,13.0,8,12,0,02090
844,02/24/20,NCore,PM10-24hr,UG/M3,27.0,24,26,0,02090
845,02/24/20,NCore,PM2.5-24hr,UG/M3,14.9,24,57,1,02090
846,02/24/20,NCore,SO2-24HR,PPB,6.0,24,-999,-999,02090
847,02/24/20,Hurst Road,PM2.5-24hr,UG/M3,34.5,24,98,1,02090
848,02/24/20,Floyd Dryden,PM10-24hr,UG/M3,2.0,24,3,0,02110
