,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
408,05/07/20,Sand Mountain,OZONE-1HR,PPB,49.0,1,-999,-999,01049
409,05/07/20,Sand Mountain,OZONE-8HR,PPB,47.0,8,44,0,01049
414,05/07/20,NO. BHAM,OZONE-1HR,PPB,49.0,1,-999,-999,01073
415,05/07/20,NO. BHAM,OZONE-8HR,PPB,46.0,8,43,0,01073
416,05/07/20,NO. BHAM,PM10-24hr,UG/M3,14.0,24,13,0,01073
417,05/07/20,FAIRFIELD,OZONE-1HR,PPB,49.0,1,-999,-999,01073
418,05/07/20,FAIRFIELD,OZONE-8HR,PPB,46.0,8,43,0,01073
419,05/07/20,MCADORY,OZONE-1HR,PPB,51.0,1,-999,-999,01073
420,05/07/20,MCADORY,PM2.5-24hr,UG/M3,5.9,24,25,0,01073
421,05/07/20,LEEDS,OZONE-1HR,PPB,52.0,1,-999,-999,01073
422,05/07/20,LEEDS,OZONE-8HR,PPB,48.0,8,44,0,01073
423,05/07/20,WYLAM,PM10-24hr,UG/M3,12.0,24,11,0,01073
424,05/07/20,WYLAM,PM2.5-24hr,UG/M3,6.4,24,27,0,01073
425,05/07/20,CORNER,OZONE-1HR,PPB,49.0,1,-999,-999,01073
426,05/07/20,CORNER,OZONE-8HR,PPB,47.0,8,44,0,01073
427,05/07/20,CORNER,PM2.5-24hr,UG/M3,5.1,24,21,0,01073
428,05/07/20,TARRANT,OZONE-1HR,PPB,49.0,1,-999,-999,01073
429,05/07/20,TARRANT,OZONE-8HR,PPB,46.0,8,43,0,01073
430,05/07/20,Shuttlesworth,PM10-24hr,UG/M3,27.0,24,26,0,01073
431,05/07/20,Shuttlesworth,PM2.5-24hr,UG/M3,9.9,24,41,0,01073
432,05/07/20,Huntsville Old Airport,OZONE-1HR,PPB,52.0,1,-999,-999,01089
433,05/07/20,Huntsville Old Airport,OZONE-8HR,PPB,49.0,8,45,0,01089
434,05/07/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,7.7,24,32,0,01089
435,05/07/20,Huntsville Capshaw,OZONE-1HR,PPB,49.0,1,-999,-999,01089
436,05/07/20,Huntsville Capshaw,OZONE-8HR,PPB,47.0,8,44,0,01089
545,05/07/20,Garden,CO-8hr,PPM,0.51,1,6,0,02020
546,05/07/20,Garden,PM10-24hr,UG/M3,14.0,24,14,0,02020
547,05/07/20,Garden,PM2.5-24hr,UG/M3,2.1,24,9,0,02020
548,05/07/20,Parkgate (Eagle River),PM10-24hr,UG/M3,20.0,24,19,0,02020
550,05/07/20,Denali NPP,OZONE-1HR,PPB,47.0,1,-999,-999,02068
551,05/07/20,Denali NPP,OZONE-8HR,PPB,45.0,8,42,0,02068
552,05/07/20,NCore,CO-8hr,PPM,0.2,1,2,0,02090
553,05/07/20,NCore,OZONE-1HR,PPB,41.0,1,-999,-999,02090
554,05/07/20,NCore,OZONE-8HR,PPB,39.0,8,36,0,02090
555,05/07/20,NCore,PM10-24hr,UG/M3,36.0,24,34,0,02090
556,05/07/20,NCore,PM2.5-24hr,UG/M3,3.7,24,16,0,02090
557,05/07/20,NCore,SO2-24HR,PPB,1.0,24,-999,-999,02090
558,05/07/20,Hurst Road,PM2.5-24hr,UG/M3,4.2,24,18,0,02090
559,05/07/20,Floyd Dryden,PM10-24hr,UG/M3,7.0,24,7,0,02110
560,05/07/20,Floyd Dryden,PM2.5-24hr,UG/M3,3.5,24,15,0,02110
562,05/07/20,Butte (Harrison Court),PM10-24hr,UG/M3,71.0,24,59,1,02170
563,05/07/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,4.5,24,19,0,02170
650,05/07/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,29.0,24,27,0,04003
651,05/07/20,Douglas Red Cross,PM10-24hr,UG/M3,58.0,24,52,1,04003
652,05/07/20,Chiricahua NM,OZONE-1HR,PPB,69.0,1,-999,-999,04003
653,05/07/20,Chiricahua NM,OZONE-8HR,PPB,66.0,8,87,1,04003
654,05/07/20,Flagstaff Middle School,OZONE-1HR,PPB,70.0,1,-999,-999,04005
655,05/07/20,Flagstaff Middle School,OZONE-8HR,PPB,68.0,8,93,1,04005
656,05/07/20,Grand Canyon NP,OZONE-1HR,PPB,67.0,1,-999,-999,04005
657,05/07/20,Grand Canyon NP,OZONE-8HR,PPB,60.0,8,67,1,04005
658,05/07/20,Payson Well Site,PM10-24hr,UG/M3,21.0,24,20,0,04007
659,05/07/20,Tonto National Monument,OZONE-1HR,PPB,90.0,1,-999,-999,04007
660,05/07/20,Tonto National Monument,OZONE-8HR,PPB,81.0,8,136,2,04007
661,05/07/20,Miami Jones Ranch,SO2-24HR,PPB,3.0,24,-999,-999,04007
662,05/07/20,Miami Town Site,SO2-24HR,PPB,7.0,24,-999,-999,04007
663,05/07/20,Hayden,PM10-24hr,UG/M3,22.0,24,21,0,04007
664,05/07/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
665,05/07/20,Miami Golf Course,PM10-24hr,UG/M3,27.0,24,26,0,04007
669,05/07/20,Alamo Lake,OZONE-1HR,PPB,74.0,1,-999,-999,04012
670,05/07/20,Alamo Lake,OZONE-8HR,PPB,71.0,8,101,2,04012
671,05/07/20,Alamo Lake,PM10-24hr,UG/M3,15.0,24,14,0,04012
672,05/07/20,Alamo Lake,PM2.5-24hr,UG/M3,4.3,24,18,0,04012
731,05/07/20,StJohns,OZONE-1HR,PPB,76.0,1,-999,-999,04013
732,05/07/20,StJohns,OZONE-8HR,PPB,72.0,8,105,2,04013
733,05/07/20,StJohns,PM10-24hr,UG/M3,38.0,24,35,0,04013
734,05/07/20,Senior Center,OZONE-1HR,PPB,87.0,1,-999,-999,04013
735,05/07/20,Senior Center,OZONE-8HR,PPB,78.0,8,126,2,04013
736,05/07/20,Senior Center,PM10-24hr,UG/M3,37.0,24,34,0,04013
737,05/07/20,Red Mountain,OZONE-1HR,PPB,89.0,1,-999,-999,04013
738,05/07/20,Red Mountain,OZONE-8HR,PPB,79.0,8,129,2,04013
739,05/07/20,LEHI,OZONE-1HR,PPB,86.0,1,-999,-999,04013
740,05/07/20,LEHI,OZONE-8HR,PPB,79.0,8,129,2,04013
741,05/07/20,LEHI,PM10-24hr,UG/M3,30.0,24,29,0,04013
742,05/07/20,High School,OZONE-1HR,PPB,83.0,1,-999,-999,04013
743,05/07/20,High School,OZONE-8HR,PPB,75.0,8,115,2,04013
744,05/07/20,High School,PM10-24hr,UG/M3,34.0,24,31,0,04013
754,05/07/20,Phoenix JLG Supersite,CO-8hr,PPM,0.46,1,5,0,04013
