,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
550,04/08/20,Sand Mountain,OZONE-1HR,PPB,32.0,1,-999,-999,01049
551,04/08/20,Sand Mountain,OZONE-8HR,PPB,29.0,8,27,0,01049
556,04/08/20,NO. BHAM,OZONE-1HR,PPB,30.0,1,-999,-999,01073
557,04/08/20,NO. BHAM,OZONE-8HR,PPB,27.0,8,25,0,01073
558,04/08/20,NO. BHAM,PM10-24hr,UG/M3,22.0,24,20,0,01073
559,04/08/20,FAIRFIELD,OZONE-1HR,PPB,26.0,1,-999,-999,01073
560,04/08/20,FAIRFIELD,OZONE-8HR,PPB,24.0,8,22,0,01073
561,04/08/20,MCADORY,OZONE-1HR,PPB,32.0,1,-999,-999,01073
562,04/08/20,MCADORY,OZONE-8HR,PPB,26.0,8,24,0,01073
563,04/08/20,MCADORY,PM2.5-24hr,UG/M3,11.9,24,50,0,01073
564,04/08/20,LEEDS,OZONE-1HR,PPB,30.0,1,-999,-999,01073
565,04/08/20,LEEDS,OZONE-8HR,PPB,24.0,8,22,0,01073
566,04/08/20,WYLAM,PM10-24hr,UG/M3,20.0,24,19,0,01073
567,04/08/20,WYLAM,PM2.5-24hr,UG/M3,11.4,24,48,0,01073
568,04/08/20,CORNER,OZONE-1HR,PPB,25.0,1,-999,-999,01073
569,04/08/20,CORNER,OZONE-8HR,PPB,26.0,8,24,0,01073
570,04/08/20,CORNER,PM2.5-24hr,UG/M3,10.3,24,43,0,01073
571,04/08/20,TARRANT,OZONE-1HR,PPB,26.0,1,-999,-999,01073
572,04/08/20,TARRANT,OZONE-8HR,PPB,23.0,8,21,0,01073
573,04/08/20,Shuttlesworth,PM10-24hr,UG/M3,30.0,24,29,0,01073
574,04/08/20,Shuttlesworth,PM2.5-24hr,UG/M3,14.5,24,56,1,01073
575,04/08/20,Huntsville Old Airport,OZONE-1HR,PPB,38.0,1,-999,-999,01089
576,04/08/20,Huntsville Old Airport,OZONE-8HR,PPB,31.0,8,29,0,01089
577,04/08/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,10.4,24,44,0,01089
578,04/08/20,Huntsville Capshaw,OZONE-1HR,PPB,32.0,1,-999,-999,01089
579,04/08/20,Huntsville Capshaw,OZONE-8HR,PPB,29.0,8,27,0,01089
873,04/08/20,Garden,CO-8hr,PPM,0.25,1,3,0,02020
874,04/08/20,Garden,PM10-24hr,UG/M3,12.0,24,12,0,02020
