,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
516,03/09/20,Sand Mountain,OZONE-1HR,PPB,45.0,1,-999,-999,01049
517,03/09/20,Sand Mountain,OZONE-8HR,PPB,42.0,8,39,0,01049
522,03/09/20,NO. BHAM,OZONE-1HR,PPB,47.0,1,-999,-999,01073
523,03/09/20,NO. BHAM,OZONE-8HR,PPB,44.0,8,41,0,01073
524,03/09/20,NO. BHAM,PM10-24hr,UG/M3,25.0,24,23,0,01073
525,03/09/20,FAIRFIELD,OZONE-1HR,PPB,46.0,1,-999,-999,01073
526,03/09/20,FAIRFIELD,OZONE-8HR,PPB,45.0,8,42,0,01073
527,03/09/20,MCADORY,OZONE-1HR,PPB,46.0,1,-999,-999,01073
528,03/09/20,MCADORY,OZONE-8HR,PPB,44.0,8,41,0,01073
529,03/09/20,MCADORY,PM2.5-24hr,UG/M3,10.5,24,44,0,01073
530,03/09/20,WYLAM,PM10-24hr,UG/M3,25.0,24,23,0,01073
531,03/09/20,WYLAM,PM2.5-24hr,UG/M3,13.6,24,54,1,01073
532,03/09/20,CORNER,OZONE-1HR,PPB,47.0,1,-999,-999,01073
533,03/09/20,CORNER,OZONE-8HR,PPB,44.0,8,41,0,01073
534,03/09/20,CORNER,PM2.5-24hr,UG/M3,10.2,24,43,0,01073
535,03/09/20,TARRANT,OZONE-1HR,PPB,45.0,1,-999,-999,01073
536,03/09/20,TARRANT,OZONE-8HR,PPB,42.0,8,39,0,01073
537,03/09/20,Shuttlesworth,PM10-24hr,UG/M3,26.0,24,24,0,01073
538,03/09/20,Shuttlesworth,PM2.5-24hr,UG/M3,9.6,24,40,0,01073
539,03/09/20,Huntsville Old Airport,OZONE-1HR,PPB,48.0,1,-999,-999,01089
540,03/09/20,Huntsville Old Airport,OZONE-8HR,PPB,45.0,8,42,0,01089
541,03/09/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,10.7,24,45,0,01089
542,03/09/20,Huntsville Capshaw,OZONE-1HR,PPB,46.0,1,-999,-999,01089
543,03/09/20,Huntsville Capshaw,OZONE-8HR,PPB,42.0,8,39,0,01089
811,03/09/20,Garden,CO-8hr,PPM,0.56,1,6,0,02020
812,03/09/20,Garden,PM10-24hr,UG/M3,2.0,24,2,0,02020
813,03/09/20,Garden,PM2.5-24hr,UG/M3,2.7,24,12,0,02020
814,03/09/20,Parkgate (Eagle River),PM10-24hr,UG/M3,1.0,24,1,0,02020
825,03/09/20,Bethel,PM10-24hr,UG/M3,3.0,24,4,0,02050
826,03/09/20,Bethel,PM2.5-24hr,UG/M3,5.1,24,22,0,02050
827,03/09/20,Denali NPP,OZONE-1HR,PPB,41.0,1,-999,-999,02068
828,03/09/20,Denali NPP,OZONE-8HR,PPB,40.0,8,37,0,02068
829,03/09/20,NCore,CO-8hr,PPM,0.34,1,4,0,02090
830,03/09/20,NCore,OZONE-1HR,PPB,32.0,1,-999,-999,02090
831,03/09/20,NCore,OZONE-8HR,PPB,29.0,8,27,0,02090
832,03/09/20,NCore,PM10-24hr,UG/M3,11.0,24,11,0,02090
833,03/09/20,NCore,PM2.5-24hr,UG/M3,2.1,24,9,0,02090
834,03/09/20,NCore,SO2-24HR,PPB,0.0,24,-999,-999,02090
835,03/09/20,Hurst Road,PM2.5-24hr,UG/M3,2.2,24,10,0,02090
836,03/09/20,Floyd Dryden,PM10-24hr,UG/M3,0.0,24,1,0,02110
837,03/09/20,Floyd Dryden,PM2.5-24hr,UG/M3,0.3,24,2,0,02110
853,03/09/20,Butte (Harrison Court),PM10-24hr,UG/M3,1.0,24,2,0,02170
854,03/09/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,1.8,24,8,0,02170
1258,03/09/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,3.0,24,3,0,04003
1259,03/09/20,Douglas Red Cross,PM10-24hr,UG/M3,11.0,24,11,0,04003
1260,03/09/20,Chiricahua NM,OZONE-1HR,PPB,43.0,1,-999,-999,04003
1261,03/09/20,Chiricahua NM,OZONE-8HR,PPB,40.0,8,37,0,04003
1262,03/09/20,Flagstaff Middle School,OZONE-1HR,PPB,49.0,1,-999,-999,04005
1263,03/09/20,Flagstaff Middle School,OZONE-8HR,PPB,46.0,8,43,0,04005
1264,03/09/20,Grand Canyon NP,OZONE-1HR,PPB,45.0,1,-999,-999,04005
1265,03/09/20,Grand Canyon NP,OZONE-8HR,PPB,44.0,8,41,0,04005
1266,03/09/20,Payson Well Site,PM10-24hr,UG/M3,20.0,24,19,0,04007
1267,03/09/20,Tonto National Monument,OZONE-1HR,PPB,41.0,1,-999,-999,04007
1268,03/09/20,Tonto National Monument,OZONE-8HR,PPB,38.0,8,35,0,04007
1269,03/09/20,Miami Jones Ranch,SO2-24HR,PPB,0.0,24,-999,-999,04007
1270,03/09/20,Miami Town Site,SO2-24HR,PPB,0.0,24,-999,-999,04007
1271,03/09/20,Hayden,PM10-24hr,UG/M3,6.0,24,6,0,04007
1272,03/09/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
1273,03/09/20,Miami Golf Course,PM10-24hr,UG/M3,8.0,24,7,0,04007
1283,03/09/20,Alamo Lake,OZONE-1HR,PPB,47.0,1,-999,-999,04012
1284,03/09/20,Alamo Lake,OZONE-8HR,PPB,45.0,8,42,0,04012
1285,03/09/20,Alamo Lake,PM10-24hr,UG/M3,9.0,24,8,0,04012
1286,03/09/20,Alamo Lake,PM2.5-24hr,UG/M3,1.5,24,6,0,04012
1303,03/09/20,Ft McD Yuma Frank-AZ,OZONE-1HR,PPB,52.0,1,-999,-999,04013
1304,03/09/20,Ft McD Yuma Frank-AZ,PM10-24hr,UG/M3,21.0,24,20,0,04013
1349,03/09/20,StJohns,PM10-24hr,UG/M3,21.0,24,19,0,04013
1351,03/09/20,Senior Center,OZONE-1HR,PPB,46.0,1,-999,-999,04013
1352,03/09/20,Senior Center,OZONE-8HR,PPB,42.0,8,39,0,04013
1353,03/09/20,Senior Center,PM10-24hr,UG/M3,25.0,24,24,0,04013
1354,03/09/20,Red Mountain,OZONE-1HR,PPB,44.0,1,-999,-999,04013
