,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
409,05/06/20,Sand Mountain,OZONE-1HR,PPB,42.0,1,-999,-999,01049
410,05/06/20,Sand Mountain,OZONE-8HR,PPB,37.0,8,34,0,01049
415,05/06/20,NO. BHAM,OZONE-1HR,PPB,45.0,1,-999,-999,01073
416,05/06/20,NO. BHAM,OZONE-8HR,PPB,42.0,8,39,0,01073
417,05/06/20,NO. BHAM,PM10-24hr,UG/M3,16.0,24,16,0,01073
418,05/06/20,FAIRFIELD,OZONE-1HR,PPB,41.0,1,-999,-999,01073
419,05/06/20,FAIRFIELD,OZONE-8HR,PPB,39.0,8,36,0,01073
420,05/06/20,MCADORY,OZONE-1HR,PPB,48.0,1,-999,-999,01073
421,05/06/20,MCADORY,OZONE-8HR,PPB,45.0,8,42,0,01073
422,05/06/20,MCADORY,PM2.5-24hr,UG/M3,3.5,24,15,0,01073
423,05/06/20,LEEDS,OZONE-1HR,PPB,45.0,1,-999,-999,01073
424,05/06/20,LEEDS,OZONE-8HR,PPB,42.0,8,39,0,01073
425,05/06/20,WYLAM,PM10-24hr,UG/M3,14.0,24,14,0,01073
426,05/06/20,WYLAM,PM2.5-24hr,UG/M3,6.6,24,28,0,01073
427,05/06/20,CORNER,OZONE-1HR,PPB,45.0,1,-999,-999,01073
428,05/06/20,CORNER,OZONE-8HR,PPB,42.0,8,39,0,01073
429,05/06/20,CORNER,PM2.5-24hr,UG/M3,3.2,24,13,0,01073
430,05/06/20,TARRANT,OZONE-1HR,PPB,37.0,1,-999,-999,01073
431,05/06/20,TARRANT,OZONE-8HR,PPB,36.0,8,33,0,01073
432,05/06/20,Huntsville Old Airport,OZONE-1HR,PPB,40.0,1,-999,-999,01089
433,05/06/20,Huntsville Old Airport,OZONE-8HR,PPB,35.0,8,32,0,01089
434,05/06/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,6.8,24,28,0,01089
435,05/06/20,Huntsville Capshaw,OZONE-1HR,PPB,39.0,1,-999,-999,01089
436,05/06/20,Huntsville Capshaw,OZONE-8HR,PPB,32.0,8,30,0,01089
545,05/06/20,Garden,CO-8hr,PPM,0.4,1,5,0,02020
546,05/06/20,Garden,PM10-24hr,UG/M3,20.0,24,19,0,02020
547,05/06/20,Garden,PM2.5-24hr,UG/M3,4.7,24,20,0,02020
548,05/06/20,Parkgate (Eagle River),PM10-24hr,UG/M3,27.0,24,25,0,02020
550,05/06/20,Denali NPP,OZONE-1HR,PPB,48.0,1,-999,-999,02068
551,05/06/20,Denali NPP,OZONE-8HR,PPB,45.0,8,42,0,02068
552,05/06/20,NCore,CO-8hr,PPM,0.2,1,2,0,02090
553,05/06/20,NCore,OZONE-1HR,PPB,39.0,1,-999,-999,02090
554,05/06/20,NCore,OZONE-8HR,PPB,34.0,8,31,0,02090
555,05/06/20,NCore,PM10-24hr,UG/M3,17.0,24,17,0,02090
556,05/06/20,NCore,PM2.5-24hr,UG/M3,1.7,24,7,0,02090
557,05/06/20,NCore,SO2-24HR,PPB,1.0,24,-999,-999,02090
558,05/06/20,Hurst Road,PM2.5-24hr,UG/M3,7.2,24,30,0,02090
559,05/06/20,Floyd Dryden,PM10-24hr,UG/M3,7.0,24,7,0,02110
560,05/06/20,Floyd Dryden,PM2.5-24hr,UG/M3,2.9,24,13,0,02110
562,05/06/20,Butte (Harrison Court),PM10-24hr,UG/M3,12.0,24,11,0,02170
563,05/06/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,0.8,24,3,0,02170
649,05/06/20,Douglas Red Cross,PM10-24hr,UG/M3,29.0,24,27,0,04003
650,05/06/20,Chiricahua NM,OZONE-1HR,PPB,66.0,1,-999,-999,04003
651,05/06/20,Chiricahua NM,OZONE-8HR,PPB,64.0,8,80,1,04003
652,05/06/20,Flagstaff Middle School,OZONE-1HR,PPB,64.0,1,-999,-999,04005
653,05/06/20,Flagstaff Middle School,OZONE-8HR,PPB,62.0,8,74,1,04005
654,05/06/20,Grand Canyon NP,OZONE-1HR,PPB,71.0,1,-999,-999,04005
655,05/06/20,Grand Canyon NP,OZONE-8HR,PPB,68.0,8,93,1,04005
656,05/06/20,Payson Well Site,PM10-24hr,UG/M3,21.0,24,20,0,04007
657,05/06/20,Tonto National Monument,OZONE-1HR,PPB,83.0,1,-999,-999,04007
658,05/06/20,Tonto National Monument,OZONE-8HR,PPB,77.0,8,122,2,04007
659,05/06/20,Miami Jones Ranch,SO2-24HR,PPB,2.0,24,-999,-999,04007
660,05/06/20,Miami Town Site,SO2-24HR,PPB,1.0,24,-999,-999,04007
661,05/06/20,Hayden,PM10-24hr,UG/M3,23.0,24,22,0,04007
662,05/06/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
663,05/06/20,Miami Golf Course,PM10-24hr,UG/M3,32.0,24,30,0,04007
667,05/06/20,Alamo Lake,OZONE-1HR,PPB,68.0,1,-999,-999,04012
668,05/06/20,Alamo Lake,OZONE-8HR,PPB,63.0,8,77,1,04012
669,05/06/20,Alamo Lake,PM10-24hr,UG/M3,12.0,24,12,0,04012
670,05/06/20,Alamo Lake,PM2.5-24hr,UG/M3,3.8,24,16,0,04012
685,05/06/20,Ft McD Yuma Frank-AZ,PM10-24hr,UG/M3,41.0,24,39,0,04013
728,05/06/20,StJohns,OZONE-1HR,PPB,71.0,1,-999,-999,04013
