,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
535,04/28/20,Sand Mountain,OZONE-1HR,PPB,57.0,1,-999,-999,01049
536,04/28/20,Sand Mountain,OZONE-8HR,PPB,53.0,8,49,0,01049
541,04/28/20,NO. BHAM,OZONE-1HR,PPB,54.0,1,-999,-999,01073
542,04/28/20,NO. BHAM,OZONE-8HR,PPB,48.0,8,44,0,01073
543,04/28/20,NO. BHAM,PM10-24hr,UG/M3,30.0,24,29,0,01073
544,04/28/20,FAIRFIELD,OZONE-1HR,PPB,52.0,1,-999,-999,01073
545,04/28/20,FAIRFIELD,OZONE-8HR,PPB,49.0,8,45,0,01073
546,04/28/20,MCADORY,OZONE-1HR,PPB,54.0,1,-999,-999,01073
547,04/28/20,MCADORY,OZONE-8HR,PPB,50.0,8,46,0,01073
548,04/28/20,MCADORY,PM2.5-24hr,UG/M3,10.2,24,43,0,01073
549,04/28/20,LEEDS,OZONE-1HR,PPB,51.0,1,-999,-999,01073
550,04/28/20,LEEDS,OZONE-8HR,PPB,48.0,8,44,0,01073
551,04/28/20,WYLAM,PM10-24hr,UG/M3,23.0,24,21,0,01073
552,04/28/20,WYLAM,PM2.5-24hr,UG/M3,11.8,24,49,0,01073
553,04/28/20,CORNER,OZONE-1HR,PPB,54.0,1,-999,-999,01073
554,04/28/20,CORNER,OZONE-8HR,PPB,51.0,8,47,0,01073
555,04/28/20,CORNER,PM2.5-24hr,UG/M3,8.6,24,36,0,01073
556,04/28/20,TARRANT,OZONE-1HR,PPB,58.0,1,-999,-999,01073
557,04/28/20,TARRANT,OZONE-8HR,PPB,51.0,8,47,0,01073
558,04/28/20,Shuttlesworth,PM10-24hr,UG/M3,40.0,24,38,0,01073
559,04/28/20,Shuttlesworth,PM2.5-24hr,UG/M3,12.6,24,52,1,01073
560,04/28/20,Huntsville Old Airport,OZONE-1HR,PPB,61.0,1,-999,-999,01089
561,04/28/20,Huntsville Old Airport,OZONE-8HR,PPB,54.0,8,50,0,01089
562,04/28/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,10.4,24,44,0,01089
563,04/28/20,Huntsville Capshaw,OZONE-1HR,PPB,50.0,1,-999,-999,01089
564,04/28/20,Huntsville Capshaw,OZONE-8HR,PPB,46.0,8,43,0,01089
873,04/28/20,Garden,CO-8hr,PPM,0.38,1,4,0,02020
874,04/28/20,Garden,PM10-24hr,UG/M3,28.0,24,26,0,02020
875,04/28/20,Garden,PM2.5-24hr,UG/M3,7.8,24,33,0,02020
876,04/28/20,Parkgate (Eagle River),PM10-24hr,UG/M3,39.0,24,37,0,02020
886,04/28/20,Bethel,PM10-24hr,UG/M3,23.0,24,22,0,02050
887,04/28/20,Bethel,PM2.5-24hr,UG/M3,4.3,24,18,0,02050
888,04/28/20,Denali NPP,OZONE-1HR,PPB,47.0,1,-999,-999,02068
889,04/28/20,Denali NPP,OZONE-8HR,PPB,45.0,8,42,0,02068
890,04/28/20,NCore,CO-8hr,PPM,0.17,1,2,0,02090
891,04/28/20,NCore,OZONE-1HR,PPB,47.0,1,-999,-999,02090
892,04/28/20,NCore,OZONE-8HR,PPB,45.0,8,42,0,02090
