,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
542,03/03/20,Sand Mountain,OZONE-1HR,PPB,41.0,1,-999,-999,01049
543,03/03/20,Sand Mountain,OZONE-8HR,PPB,40.0,8,37,0,01049
548,03/03/20,NO. BHAM,OZONE-1HR,PPB,38.0,1,-999,-999,01073
549,03/03/20,NO. BHAM,OZONE-8HR,PPB,35.0,8,32,0,01073
550,03/03/20,NO. BHAM,PM10-24hr,UG/M3,21.0,24,19,0,01073
551,03/03/20,FAIRFIELD,OZONE-1HR,PPB,37.0,1,-999,-999,01073
552,03/03/20,FAIRFIELD,OZONE-8HR,PPB,30.0,8,28,0,01073
553,03/03/20,MCADORY,OZONE-1HR,PPB,35.0,1,-999,-999,01073
554,03/03/20,MCADORY,OZONE-8HR,PPB,32.0,8,30,0,01073
555,03/03/20,MCADORY,PM2.5-24hr,UG/M3,10.2,24,43,0,01073
556,03/03/20,WYLAM,PM10-24hr,UG/M3,20.0,24,19,0,01073
557,03/03/20,WYLAM,PM2.5-24hr,UG/M3,9.6,24,40,0,01073
558,03/03/20,CORNER,OZONE-1HR,PPB,37.0,1,-999,-999,01073
559,03/03/20,CORNER,OZONE-8HR,PPB,35.0,8,32,0,01073
560,03/03/20,CORNER,PM2.5-24hr,UG/M3,9.4,24,39,0,01073
561,03/03/20,TARRANT,OZONE-1HR,PPB,34.0,1,-999,-999,01073
562,03/03/20,TARRANT,OZONE-8HR,PPB,29.0,8,27,0,01073
563,03/03/20,Shuttlesworth,PM10-24hr,UG/M3,39.0,24,36,0,01073
564,03/03/20,Shuttlesworth,PM2.5-24hr,UG/M3,20.6,24,69,1,01073
565,03/03/20,Huntsville Old Airport,OZONE-1HR,PPB,47.0,1,-999,-999,01089
566,03/03/20,Huntsville Old Airport,OZONE-8HR,PPB,43.0,8,40,0,01089
567,03/03/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,9.2,24,38,0,01089
568,03/03/20,Huntsville Capshaw,OZONE-1HR,PPB,46.0,1,-999,-999,01089
569,03/03/20,Huntsville Capshaw,OZONE-8HR,PPB,42.0,8,39,0,01089
869,03/03/20,Garden,CO-8hr,PPM,0.41,1,5,0,02020
870,03/03/20,Garden,PM10-24hr,UG/M3,4.0,24,4,0,02020
871,03/03/20,Garden,PM2.5-24hr,UG/M3,4.4,24,19,0,02020
872,03/03/20,Parkgate (Eagle River),PM10-24hr,UG/M3,1.0,24,2,0,02020
884,03/03/20,Bethel,PM10-24hr,UG/M3,6.0,24,6,0,02050
885,03/03/20,Bethel,PM2.5-24hr,UG/M3,6.5,24,27,0,02050
886,03/03/20,Denali NPP,OZONE-1HR,PPB,39.0,1,-999,-999,02068
887,03/03/20,Denali NPP,OZONE-8HR,PPB,38.0,8,35,0,02068
888,03/03/20,NCore,CO-8hr,PPM,0.72,1,8,0,02090
889,03/03/20,NCore,OZONE-1HR,PPB,28.0,1,-999,-999,02090
890,03/03/20,NCore,OZONE-8HR,PPB,24.0,8,22,0,02090
891,03/03/20,NCore,PM10-24hr,UG/M3,23.0,24,22,0,02090
892,03/03/20,NCore,PM2.5-24hr,UG/M3,12.4,24,52,1,02090
893,03/03/20,Hurst Road,PM2.5-24hr,UG/M3,22.5,24,73,1,02090
894,03/03/20,Floyd Dryden,PM10-24hr,UG/M3,2.0,24,2,0,02110
895,03/03/20,Floyd Dryden,PM2.5-24hr,UG/M3,1.2,24,5,0,02110
910,03/03/20,Butte (Harrison Court),PM10-24hr,UG/M3,4.0,24,5,0,02170
911,03/03/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,3.1,24,13,0,02170
1313,03/03/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,3.0,24,4,0,04003
1314,03/03/20,Douglas Red Cross,PM10-24hr,UG/M3,4.0,24,5,0,04003
1315,03/03/20,Chiricahua NM,OZONE-1HR,PPB,40.0,1,-999,-999,04003
1316,03/03/20,Chiricahua NM,OZONE-8HR,PPB,36.0,8,33,0,04003
1317,03/03/20,Flagstaff Middle School,OZONE-1HR,PPB,53.0,1,-999,-999,04005
1318,03/03/20,Flagstaff Middle School,OZONE-8HR,PPB,49.0,8,45,0,04005
1319,03/03/20,Grand Canyon NP,OZONE-1HR,PPB,44.0,1,-999,-999,04005
1320,03/03/20,Payson Well Site,PM10-24hr,UG/M3,5.0,24,5,0,04007
1321,03/03/20,Tonto National Monument,OZONE-1HR,PPB,47.0,1,-999,-999,04007
1322,03/03/20,Tonto National Monument,OZONE-8HR,PPB,42.0,8,39,0,04007
1323,03/03/20,Miami Jones Ranch,SO2-24HR,PPB,1.0,24,-999,-999,04007
1324,03/03/20,Miami Town Site,SO2-24HR,PPB,0.0,24,-999,-999,04007
1325,03/03/20,Hayden,PM10-24hr,UG/M3,11.0,24,11,0,04007
1326,03/03/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
1327,03/03/20,Miami Golf Course,PM10-24hr,UG/M3,15.0,24,15,0,04007
1337,03/03/20,Alamo Lake,OZONE-1HR,PPB,46.0,1,-999,-999,04012
1338,03/03/20,Alamo Lake,OZONE-8HR,PPB,43.0,8,40,0,04012
1339,03/03/20,Alamo Lake,PM10-24hr,UG/M3,4.0,24,5,0,04012
1340,03/03/20,Alamo Lake,PM2.5-24hr,UG/M3,2.8,24,12,0,04012
1357,03/03/20,Ft McD Yuma Frank-AZ,OZONE-1HR,PPB,0.0,1,-999,-999,04013
1358,03/03/20,Ft McD Yuma Frank-AZ,OZONE-8HR,PPB,0.0,8,0,0,04013
1403,03/03/20,StJohns,PM10-24hr,UG/M3,12.0,24,12,0,04013
1405,03/03/20,Senior Center,OZONE-1HR,PPB,43.0,1,-999,-999,04013
1406,03/03/20,Senior Center,OZONE-8HR,PPB,40.0,8,37,0,04013
1407,03/03/20,Senior Center,PM10-24hr,UG/M3,20.0,24,19,0,04013
1408,03/03/20,Red Mountain,OZONE-1HR,PPB,43.0,1,-999,-999,04013
1409,03/03/20,Red Mountain,OZONE-8HR,PPB,39.0,8,36,0,04013
1410,03/03/20,LEHI,OZONE-1HR,PPB,45.0,1,-999,-999,04013
1411,03/03/20,LEHI,OZONE-8HR,PPB,40.0,8,37,0,04013
1412,03/03/20,LEHI,PM10-24hr,UG/M3,18.0,24,17,0,04013
1413,03/03/20,High School,OZONE-1HR,PPB,39.0,1,-999,-999,04013
1414,03/03/20,High School,OZONE-8HR,PPB,35.0,8,32,0,04013
1415,03/03/20,High School,PM10-24hr,UG/M3,19.0,24,18,0,04013
1425,03/03/20,Phoenix JLG Supersite,CO-8hr,PPM,0.36,1,4,0,04013
1426,03/03/20,Phoenix JLG Supersite,OZONE-1HR,PPB,39.0,1,-999,-999,04013
1427,03/03/20,Phoenix JLG Supersite,OZONE-8HR,PPB,36.0,8,33,0,04013
1428,03/03/20,Phoenix JLG Supersite,PM10-24hr,UG/M3,19.0,24,19,0,04013
1429,03/03/20,Phoenix JLG Supersite,PM2.5-24hr,UG/M3,2.9,24,13,0,04013
1430,03/03/20,Phoenix JLG Supersite,SO2-24HR,PPB,0.0,24,-999,-999,04013
1431,03/03/20,Bullhead City,PM10-24hr,UG/M3,2.0,24,3,0,04015
1432,03/03/20,Petrified Forest NP,OZONE-1HR,PPB,46.0,1,-999,-999,04017
1433,03/03/20,Petrified Forest NP,OZONE-8HR,PPB,43.0,8,40,0,04017
1434,03/03/20,Ajo,PM10-24hr,UG/M3,4.0,24,4,0,04019
1435,03/03/20,Orange Grove,PM10-24hr,UG/M3,10.0,24,10,0,04019
1436,03/03/20,Orange Grove,PM2.5-24hr,UG/M3,-0.6,24,-999,-999,04019
1437,03/03/20,Rillito,PM10-24hr,UG/M3,22.0,24,20,0,04019
1438,03/03/20,Saguaro Monument,OZONE-1HR,PPB,41.0,1,-999,-999,04019
1439,03/03/20,Saguaro Monument,OZONE-8HR,PPB,36.0,8,33,0,04019
1440,03/03/20,South Tucson,PM10-24hr,UG/M3,10.0,24,9,0,04019
1441,03/03/20,22nd Street & Craycroft,OZONE-1HR,PPB,41.0,1,-999,-999,04019
1442,03/03/20,22nd Street & Craycroft,OZONE-8HR,PPB,38.0,8,35,0,04019
1443,03/03/20,Tangerine & Camino de Oeste,OZONE-1HR,PPB,43.0,1,-999,-999,04019
1444,03/03/20,Tangerine & Camino de Oeste,OZONE-8HR,PPB,39.0,8,36,0,04019
1445,03/03/20,Fairgrounds,OZONE-1HR,PPB,38.0,1,-999,-999,04019
1446,03/03/20,Fairgrounds,OZONE-8HR,PPB,35.0,8,32,0,04019
1447,03/03/20,Children's Park Site,OZONE-1HR,PPB,42.0,1,-999,-999,04019
1448,03/03/20,Children's Park Site,OZONE-8HR,PPB,39.0,8,36,0,04019
1449,03/03/20,Children's Park Site,PM2.5-24hr,UG/M3,2.0,24,9,0,04019
1450,03/03/20,Green Valley,OZONE-1HR,PPB,40.0,1,-999,-999,04019
1451,03/03/20,Green Valley,OZONE-8HR,PPB,37.0,8,34,0,04019
1452,03/03/20,Green Valley,PM10-24hr,UG/M3,2.0,24,3,0,04019
1453,03/03/20,Rose Elementary,OZONE-1HR,PPB,38.0,1,-999,-999,04019
1454,03/03/20,Rose Elementary,OZONE-8HR,PPB,36.0,8,33,0,04019
1455,03/03/20,Rose Elementary,PM2.5-24hr,UG/M3,1.9,24,8,0,04019
1456,03/03/20,Coachline,OZONE-1HR,PPB,43.0,1,-999,-999,04019
1457,03/03/20,Coachline,OZONE-8HR,PPB,41.0,8,38,0,04019
1458,03/03/20,Geronimo,PM10-24hr,UG/M3,12.0,24,11,0,04019
1459,03/03/20,Geronimo,PM2.5-24hr,UG/M3,3.2,24,13,0,04019
1493,03/03/20,Sacaton,PM10-24hr,UG/M3,15.0,24,14,0,04021
1494,03/03/20,CasaBlanca,PM10-24hr,UG/M3,15.0,24,15,0,04021
1495,03/03/20,Queen Valley,OZONE-1HR,PPB,48.0,1,-999,-999,04021
1496,03/03/20,Queen Valley,OZONE-8HR,PPB,43.0,8,40,0,04021
1501,03/03/20,Nogales Post Office,PM10-24hr,UG/M3,4.0,24,4,0,04023
1502,03/03/20,Nogales Post Office,PM2.5-24hr,UG/M3,2.2,24,9,0,04023
1503,03/03/20,Prescott Pioneer Park,OZONE-1HR,PPB,48.0,1,-999,-999,04025
1504,03/03/20,Prescott Pioneer Park,OZONE-8HR,PPB,45.0,8,42,0,04025
1505,03/03/20,Yuma Supersite,OZONE-1HR,PPB,44.0,1,-999,-999,04027
1506,03/03/20,Yuma Supersite,OZONE-8HR,PPB,42.0,8,39,0,04027
1507,03/03/20,Yuma Supersite,PM10-24hr,UG/M3,22.0,24,21,0,04027
