,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
534,02/28/20,Sand Mountain,OZONE-1HR,PPB,42.0,1,-999,-999,01049
535,02/28/20,Sand Mountain,OZONE-8HR,PPB,40.0,8,37,0,01049
536,02/28/20,NO. BHAM,OZONE-1HR,PPB,49.0,1,-999,-999,01073
537,02/28/20,NO. BHAM,OZONE-8HR,PPB,44.0,8,41,0,01073
538,02/28/20,NO. BHAM,PM10-24hr,UG/M3,17.0,24,17,0,01073
539,02/28/20,MCADORY,PM2.5-24hr,UG/M3,5.7,24,24,0,01073
540,02/28/20,WYLAM,PM10-24hr,UG/M3,8.0,24,8,0,01073
541,02/28/20,WYLAM,PM2.5-24hr,UG/M3,4.0,24,17,0,01073
542,02/28/20,CORNER,PM2.5-24hr,UG/M3,3.5,24,15,0,01073
543,02/28/20,Shuttlesworth,PM10-24hr,UG/M3,44.0,24,41,0,01073
544,02/28/20,Shuttlesworth,PM2.5-24hr,UG/M3,13.9,24,55,1,01073
545,02/28/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,5.6,24,24,0,01089
546,02/28/20,Huntsville Capshaw,OZONE-1HR,PPB,40.0,1,-999,-999,01089
547,02/28/20,Huntsville Capshaw,OZONE-8HR,PPB,38.0,8,35,0,01089
828,02/28/20,Garden,CO-8hr,PPM,1.89,1,22,0,02020
829,02/28/20,Garden,PM10-24hr,UG/M3,18.0,24,17,0,02020
830,02/28/20,Garden,PM2.5-24hr,UG/M3,12.4,24,52,1,02020
831,02/28/20,Parkgate (Eagle River),PM10-24hr,UG/M3,7.0,24,7,0,02020
842,02/28/20,Bethel,PM10-24hr,UG/M3,4.0,24,4,0,02050
843,02/28/20,Bethel,PM2.5-24hr,UG/M3,4.6,24,19,0,02050
844,02/28/20,Denali NPP,OZONE-1HR,PPB,41.0,1,-999,-999,02068
845,02/28/20,Denali NPP,OZONE-8HR,PPB,42.0,8,39,0,02068
846,02/28/20,NCore,CO-8hr,PPM,0.59,1,7,0,02090
847,02/28/20,NCore,OZONE-1HR,PPB,18.0,1,-999,-999,02090
848,02/28/20,NCore,PM10-24hr,UG/M3,30.0,24,28,0,02090
849,02/28/20,NCore,PM2.5-24hr,UG/M3,17.8,24,63,1,02090
850,02/28/20,Hurst Road,PM2.5-24hr,UG/M3,30.0,24,89,1,02090
851,02/28/20,Floyd Dryden,PM10-24hr,UG/M3,2.0,24,3,0,02110
852,02/28/20,Floyd Dryden,PM2.5-24hr,UG/M3,1.7,24,8,0,02110
868,02/28/20,Butte (Harrison Court),PM10-24hr,UG/M3,9.0,24,8,0,02170
869,02/28/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,6.5,24,27,0,02170
1274,02/28/20,Douglas Red Cross,PM10-24hr,UG/M3,22.0,24,21,0,04003
1275,02/28/20,Chiricahua NM,OZONE-1HR,PPB,44.0,1,-999,-999,04003
1276,02/28/20,Chiricahua NM,OZONE-8HR,PPB,42.0,8,39,0,04003
1277,02/28/20,Flagstaff Middle School,OZONE-1HR,PPB,45.0,1,-999,-999,04005
1278,02/28/20,Flagstaff Middle School,OZONE-8HR,PPB,43.0,8,40,0,04005
1279,02/28/20,Grand Canyon NP,OZONE-1HR,PPB,43.0,1,-999,-999,04005
1280,02/28/20,Grand Canyon NP,OZONE-8HR,PPB,41.0,8,38,0,04005
1281,02/28/20,Payson Well Site,PM10-24hr,UG/M3,26.0,24,25,0,04007
1282,02/28/20,Tonto National Monument,OZONE-1HR,PPB,37.0,1,-999,-999,04007
1283,02/28/20,Tonto National Monument,OZONE-8HR,PPB,35.0,8,32,0,04007
1284,02/28/20,Miami Jones Ranch,SO2-24HR,PPB,1.0,24,-999,-999,04007
1285,02/28/20,Miami Town Site,SO2-24HR,PPB,0.0,24,-999,-999,04007
1286,02/28/20,Hayden,PM10-24hr,UG/M3,6.0,24,6,0,04007
1287,02/28/20,Hayden,SO2-24HR,PPB,0.0,24,-999,-999,04007
1288,02/28/20,Miami Golf Course,PM10-24hr,UG/M3,18.0,24,18,0,04007
1299,02/28/20,Alamo Lake,OZONE-1HR,PPB,42.0,1,-999,-999,04012
1300,02/28/20,Alamo Lake,OZONE-8HR,PPB,39.0,8,36,0,04012
1301,02/28/20,Alamo Lake,PM10-24hr,UG/M3,10.0,24,9,0,04012
1302,02/28/20,Alamo Lake,PM2.5-24hr,UG/M3,1.8,24,8,0,04012
