,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
547,02/03/20,Sand Mountain,OZONE-1HR,PPB,53.0,1,-999,-999,01049
548,02/03/20,Sand Mountain,OZONE-8HR,PPB,49.0,8,45,0,01049
549,02/03/20,NO. BHAM,OZONE-1HR,PPB,53.0,1,-999,-999,01073
550,02/03/20,NO. BHAM,PM10-24hr,UG/M3,18.0,24,17,0,01073
551,02/03/20,MCADORY,PM2.5-24hr,UG/M3,7.6,24,32,0,01073
552,02/03/20,WYLAM,PM10-24hr,UG/M3,21.0,24,19,0,01073
553,02/03/20,WYLAM,PM2.5-24hr,UG/M3,11.0,24,46,0,01073
554,02/03/20,CORNER,PM2.5-24hr,UG/M3,8.5,24,36,0,01073
555,02/03/20,Shuttlesworth,PM2.5-24hr,UG/M3,8.1,24,34,0,01073
556,02/03/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,10.0,24,42,0,01089
850,02/03/20,Garden,CO-8hr,PPM,0.65,1,7,0,02020
851,02/03/20,Garden,PM10-24hr,UG/M3,4.0,24,4,0,02020
852,02/03/20,Garden,PM2.5-24hr,UG/M3,4.0,24,17,0,02020
853,02/03/20,Parkgate (Eagle River),PM10-24hr,UG/M3,3.0,24,3,0,02020
864,02/03/20,Bethel,PM10-24hr,UG/M3,2.0,24,3,0,02050
865,02/03/20,Bethel,PM2.5-24hr,UG/M3,1.7,24,8,0,02050
866,02/03/20,Denali NPP,OZONE-1HR,PPB,42.0,1,-999,-999,02068
867,02/03/20,Denali NPP,OZONE-8HR,PPB,42.0,8,39,0,02068
868,02/03/20,NCore,CO-8hr,PPM,1.15,1,13,0,02090
869,02/03/20,NCore,OZONE-1HR,PPB,3.0,1,-999,-999,02090
870,02/03/20,NCore,OZONE-8HR,PPB,2.0,8,2,0,02090
871,02/03/20,NCore,PM10-24hr,UG/M3,31.0,24,30,0,02090
872,02/03/20,NCore,PM2.5-24hr,UG/M3,19.0,24,66,1,02090
873,02/03/20,NCore,SO2-24HR,PPB,12.0,24,-999,-999,02090
874,02/03/20,Hurst Road,PM2.5-24hr,UG/M3,36.4,24,103,2,02090
875,02/03/20,Floyd Dryden,PM10-24hr,UG/M3,2.0,24,3,0,02110
876,02/03/20,Floyd Dryden,PM2.5-24hr,UG/M3,2.7,24,12,0,02110
892,02/03/20,Butte (Harrison Court),PM10-24hr,UG/M3,3.0,24,4,0,02170
893,02/03/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,1.9,24,8,0,02170
1335,02/03/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,15.0,24,15,0,04003
1336,02/03/20,Douglas Red Cross,PM10-24hr,UG/M3,41.0,24,39,0,04003
1337,02/03/20,Chiricahua NM,OZONE-1HR,PPB,45.0,1,-999,-999,04003
1338,02/03/20,Chiricahua NM,OZONE-8HR,PPB,42.0,8,39,0,04003
1339,02/03/20,Flagstaff Middle School,OZONE-1HR,PPB,56.0,1,-999,-999,04005
1340,02/03/20,Flagstaff Middle School,OZONE-8HR,PPB,51.0,8,47,0,04005
1341,02/03/20,Grand Canyon NP,OZONE-1HR,PPB,46.0,1,-999,-999,04005
1342,02/03/20,Grand Canyon NP,OZONE-8HR,PPB,44.0,8,41,0,04005
1343,02/03/20,Payson Well Site,PM10-24hr,UG/M3,24.0,24,23,0,04007
1344,02/03/20,Tonto National Monument,OZONE-1HR,PPB,47.0,1,-999,-999,04007
1345,02/03/20,Tonto National Monument,OZONE-8HR,PPB,46.0,8,43,0,04007
1346,02/03/20,Miami Jones Ranch,SO2-24HR,PPB,0.0,24,-999,-999,04007
1347,02/03/20,Miami Town Site,SO2-24HR,PPB,0.0,24,-999,-999,04007
1348,02/03/20,Hayden,PM10-24hr,UG/M3,60.0,24,54,1,04007
1349,02/03/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
1350,02/03/20,Miami Golf Course,PM10-24hr,UG/M3,30.0,24,28,0,04007
1361,02/03/20,Alamo Lake,OZONE-1HR,PPB,47.0,1,-999,-999,04012
1362,02/03/20,Alamo Lake,OZONE-8HR,PPB,46.0,8,43,0,04012
1363,02/03/20,Alamo Lake,PM10-24hr,UG/M3,23.0,24,21,0,04012
1364,02/03/20,Alamo Lake,PM2.5-24hr,UG/M3,4.0,24,17,0,04012
1425,02/03/20,StJohns,PM10-24hr,UG/M3,61.0,24,54,1,04013
1427,02/03/20,Senior Center,OZONE-1HR,PPB,45.0,1,-999,-999,04013
1428,02/03/20,Senior Center,OZONE-8HR,PPB,42.0,8,39,0,04013
1429,02/03/20,Senior Center,PM10-24hr,UG/M3,54.0,24,50,0,04013
1430,02/03/20,Red Mountain,OZONE-1HR,PPB,46.0,1,-999,-999,04013
1431,02/03/20,Red Mountain,OZONE-8HR,PPB,42.0,8,39,0,04013
1432,02/03/20,LEHI,OZONE-1HR,PPB,47.0,1,-999,-999,04013
1433,02/03/20,LEHI,OZONE-8HR,PPB,44.0,8,41,0,04013
1434,02/03/20,LEHI,PM10-24hr,UG/M3,57.0,24,52,1,04013
1435,02/03/20,High School,OZONE-1HR,PPB,42.0,1,-999,-999,04013
1436,02/03/20,High School,OZONE-8HR,PPB,40.0,8,37,0,04013
1437,02/03/20,High School,PM10-24hr,UG/M3,50.0,24,47,0,04013
1447,02/03/20,Phoenix JLG Supersite,CO-8hr,PPM,0.4,1,5,0,04013
1448,02/03/20,Phoenix JLG Supersite,OZONE-1HR,PPB,42.0,1,-999,-999,04013
1449,02/03/20,Phoenix JLG Supersite,PM10-24hr,UG/M3,67.0,24,57,1,04013
1450,02/03/20,Phoenix JLG Supersite,PM2.5-24hr,UG/M3,7.7,24,33,0,04013
1451,02/03/20,Phoenix JLG Supersite,SO2-24HR,PPB,0.0,24,-999,-999,04013
1452,02/03/20,Bullhead City,PM10-24hr,UG/M3,28.0,24,26,0,04015
1453,02/03/20,Petrified Forest NP,OZONE-1HR,PPB,48.0,1,-999,-999,04017
1454,02/03/20,Petrified Forest NP,OZONE-8HR,PPB,45.0,8,42,0,04017
1455,02/03/20,Ajo,PM10-24hr,UG/M3,49.0,24,45,0,04019
1456,02/03/20,Orange Grove,PM10-24hr,UG/M3,41.0,24,38,0,04019
1457,02/03/20,Orange Grove,PM2.5-24hr,UG/M3,2.1,24,9,0,04019
1458,02/03/20,Rillito,PM10-24hr,UG/M3,70.0,24,58,1,04019
1459,02/03/20,Saguaro Monument,OZONE-1HR,PPB,45.0,1,-999,-999,04019
1460,02/03/20,Saguaro Monument,OZONE-8HR,PPB,42.0,8,39,0,04019
1461,02/03/20,South Tucson,PM10-24hr,UG/M3,46.0,24,44,0,04019
1462,02/03/20,22nd Street & Craycroft,OZONE-1HR,PPB,43.0,1,-999,-999,04019
1463,02/03/20,22nd Street & Craycroft,OZONE-8HR,PPB,41.0,8,38,0,04019
1464,02/03/20,Tangerine & Camino de Oeste,OZONE-1HR,PPB,45.0,1,-999,-999,04019
1465,02/03/20,Tangerine & Camino de Oeste,OZONE-8HR,PPB,43.0,8,40,0,04019
1466,02/03/20,Fairgrounds,OZONE-1HR,PPB,42.0,1,-999,-999,04019
1467,02/03/20,Fairgrounds,OZONE-8HR,PPB,40.0,8,37,0,04019
1468,02/03/20,Children's Park Site,OZONE-1HR,PPB,46.0,1,-999,-999,04019
1469,02/03/20,Children's Park Site,OZONE-8HR,PPB,43.0,8,40,0,04019
1470,02/03/20,Children's Park Site,PM2.5-24hr,UG/M3,3.3,24,14,0,04019
1471,02/03/20,Green Valley,OZONE-1HR,PPB,45.0,1,-999,-999,04019
1472,02/03/20,Green Valley,OZONE-8HR,PPB,43.0,8,40,0,04019
1473,02/03/20,Green Valley,PM10-24hr,UG/M3,24.0,24,22,0,04019
1474,02/03/20,Rose Elementary,OZONE-1HR,PPB,42.0,1,-999,-999,04019
1475,02/03/20,Rose Elementary,OZONE-8HR,PPB,40.0,8,37,0,04019
1476,02/03/20,Rose Elementary,PM2.5-24hr,UG/M3,6.4,24,27,0,04019
1477,02/03/20,Coachline,OZONE-1HR,PPB,42.0,1,-999,-999,04019
1478,02/03/20,Coachline,OZONE-8HR,PPB,39.0,8,36,0,04019
1479,02/03/20,Geronimo,PM10-24hr,UG/M3,44.0,24,41,0,04019
1480,02/03/20,Geronimo,PM2.5-24hr,UG/M3,5.3,24,23,0,04019
