,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
520,03/06/20,Sand Mountain,OZONE-1HR,PPB,44.0,1,-999,-999,01049
521,03/06/20,Sand Mountain,OZONE-8HR,PPB,43.0,8,40,0,01049
526,03/06/20,NO. BHAM,OZONE-1HR,PPB,47.0,1,-999,-999,01073
527,03/06/20,NO. BHAM,OZONE-8HR,PPB,45.0,8,42,0,01073
528,03/06/20,NO. BHAM,PM10-24hr,UG/M3,12.0,24,12,0,01073
529,03/06/20,FAIRFIELD,OZONE-1HR,PPB,44.0,1,-999,-999,01073
530,03/06/20,FAIRFIELD,OZONE-8HR,PPB,42.0,8,39,0,01073
531,03/06/20,MCADORY,OZONE-1HR,PPB,42.0,1,-999,-999,01073
532,03/06/20,MCADORY,OZONE-8HR,PPB,40.0,8,37,0,01073
533,03/06/20,MCADORY,PM2.5-24hr,UG/M3,4.9,24,20,0,01073
534,03/06/20,WYLAM,PM10-24hr,UG/M3,11.0,24,11,0,01073
535,03/06/20,WYLAM,PM2.5-24hr,UG/M3,4.7,24,20,0,01073
536,03/06/20,CORNER,OZONE-1HR,PPB,45.0,1,-999,-999,01073
537,03/06/20,CORNER,OZONE-8HR,PPB,44.0,8,41,0,01073
538,03/06/20,CORNER,PM2.5-24hr,UG/M3,4.0,24,17,0,01073
539,03/06/20,TARRANT,OZONE-1HR,PPB,42.0,1,-999,-999,01073
540,03/06/20,TARRANT,OZONE-8HR,PPB,38.0,8,35,0,01073
541,03/06/20,Shuttlesworth,PM10-24hr,UG/M3,21.0,24,19,0,01073
542,03/06/20,Shuttlesworth,PM2.5-24hr,UG/M3,10.3,24,43,0,01073
543,03/06/20,Huntsville Old Airport,OZONE-1HR,PPB,45.0,1,-999,-999,01089
544,03/06/20,Huntsville Old Airport,OZONE-8HR,PPB,42.0,8,39,0,01089
545,03/06/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,5.3,24,23,0,01089
546,03/06/20,Huntsville Capshaw,OZONE-1HR,PPB,43.0,1,-999,-999,01089
547,03/06/20,Huntsville Capshaw,OZONE-8HR,PPB,41.0,8,38,0,01089
856,03/06/20,Garden,CO-8hr,PPM,1.52,1,17,0,02020
857,03/06/20,Garden,PM10-24hr,UG/M3,14.0,24,13,0,02020
858,03/06/20,Garden,PM2.5-24hr,UG/M3,10.1,24,42,0,02020
859,03/06/20,Parkgate (Eagle River),PM10-24hr,UG/M3,10.0,24,9,0,02020
870,03/06/20,Bethel,PM10-24hr,UG/M3,4.0,24,5,0,02050
871,03/06/20,Bethel,PM2.5-24hr,UG/M3,5.4,24,23,0,02050
872,03/06/20,Denali NPP,OZONE-1HR,PPB,45.0,1,-999,-999,02068
873,03/06/20,NCore,CO-8hr,PPM,0.77,1,9,0,02090
874,03/06/20,NCore,OZONE-1HR,PPB,21.0,1,-999,-999,02090
875,03/06/20,NCore,OZONE-8HR,PPB,12.0,8,11,0,02090
876,03/06/20,NCore,PM10-24hr,UG/M3,31.0,24,30,0,02090
877,03/06/20,NCore,PM2.5-24hr,UG/M3,17.2,24,62,1,02090
878,03/06/20,NCore,SO2-24HR,PPB,10.0,24,-999,-999,02090
879,03/06/20,Hurst Road,PM2.5-24hr,UG/M3,29.1,24,87,1,02090
880,03/06/20,Floyd Dryden,PM10-24hr,UG/M3,3.0,24,4,0,02110
881,03/06/20,Floyd Dryden,PM2.5-24hr,UG/M3,1.9,24,8,0,02110
897,03/06/20,Butte (Harrison Court),PM10-24hr,UG/M3,7.0,24,7,0,02170
898,03/06/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,5.6,24,24,0,02170
1304,03/06/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,7.0,24,6,0,04003
1305,03/06/20,Douglas Red Cross,PM10-24hr,UG/M3,13.0,24,13,0,04003
1306,03/06/20,Chiricahua NM,OZONE-1HR,PPB,46.0,1,-999,-999,04003
1307,03/06/20,Chiricahua NM,OZONE-8HR,PPB,43.0,8,40,0,04003
1308,03/06/20,Flagstaff Middle School,OZONE-1HR,PPB,50.0,1,-999,-999,04005
1309,03/06/20,Flagstaff Middle School,OZONE-8HR,PPB,48.0,8,44,0,04005
1310,03/06/20,Grand Canyon NP,OZONE-1HR,PPB,51.0,1,-999,-999,04005
1311,03/06/20,Grand Canyon NP,OZONE-8HR,PPB,48.0,8,44,0,04005
1312,03/06/20,Payson Well Site,PM10-24hr,UG/M3,13.0,24,13,0,04007
1313,03/06/20,Tonto National Monument,OZONE-1HR,PPB,47.0,1,-999,-999,04007
1314,03/06/20,Tonto National Monument,OZONE-8HR,PPB,45.0,8,42,0,04007
1315,03/06/20,Miami Jones Ranch,SO2-24HR,PPB,0.0,24,-999,-999,04007
1316,03/06/20,Miami Town Site,SO2-24HR,PPB,0.0,24,-999,-999,04007
1317,03/06/20,Hayden,PM10-24hr,UG/M3,10.0,24,10,0,04007
1318,03/06/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
1319,03/06/20,Miami Golf Course,PM10-24hr,UG/M3,14.0,24,13,0,04007
1329,03/06/20,Alamo Lake,OZONE-1HR,PPB,59.0,1,-999,-999,04012
1330,03/06/20,Alamo Lake,OZONE-8HR,PPB,53.0,8,49,0,04012
1331,03/06/20,Alamo Lake,PM10-24hr,UG/M3,11.0,24,10,0,04012
1332,03/06/20,Alamo Lake,PM2.5-24hr,UG/M3,2.4,24,10,0,04012
1349,03/06/20,Ft McD Yuma Frank-AZ,OZONE-1HR,PPB,0.0,1,-999,-999,04013
