,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
507,02/07/20,Sand Mountain,OZONE-1HR,PPB,38.0,1,-999,-999,01049
508,02/07/20,Sand Mountain,OZONE-8HR,PPB,34.0,8,31,0,01049
509,02/07/20,NO. BHAM,OZONE-1HR,PPB,40.0,1,-999,-999,01073
510,02/07/20,NO. BHAM,OZONE-8HR,PPB,36.0,8,33,0,01073
511,02/07/20,NO. BHAM,PM10-24hr,UG/M3,8.0,24,7,0,01073
512,02/07/20,MCADORY,PM2.5-24hr,UG/M3,5.1,24,21,0,01073
513,02/07/20,WYLAM,PM10-24hr,UG/M3,7.0,24,7,0,01073
514,02/07/20,WYLAM,PM2.5-24hr,UG/M3,6.3,24,27,0,01073
515,02/07/20,CORNER,PM2.5-24hr,UG/M3,4.7,24,20,0,01073
516,02/07/20,Shuttlesworth,PM10-24hr,UG/M3,54.0,24,51,1,01073
517,02/07/20,Shuttlesworth,PM2.5-24hr,UG/M3,30.4,24,89,1,01073
518,02/07/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,7.0,24,29,0,01089
788,02/07/20,Garden,CO-8hr,PPM,0.82,1,9,0,02020
789,02/07/20,Garden,PM10-24hr,UG/M3,8.0,24,8,0,02020
790,02/07/20,Garden,PM2.5-24hr,UG/M3,8.1,24,34,0,02020
791,02/07/20,Parkgate (Eagle River),PM10-24hr,UG/M3,2.0,24,2,0,02020
803,02/07/20,Bethel,PM10-24hr,UG/M3,6.0,24,6,0,02050
804,02/07/20,Bethel,PM2.5-24hr,UG/M3,4.8,24,20,0,02050
805,02/07/20,Denali NPP,OZONE-1HR,PPB,40.0,1,-999,-999,02068
806,02/07/20,NCore,CO-8hr,PPM,0.53,1,6,0,02090
807,02/07/20,NCore,OZONE-1HR,PPB,19.0,1,-999,-999,02090
808,02/07/20,NCore,OZONE-8HR,PPB,17.0,8,16,0,02090
809,02/07/20,NCore,PM10-24hr,UG/M3,15.0,24,14,0,02090
810,02/07/20,NCore,PM2.5-24hr,UG/M3,6.1,24,26,0,02090
811,02/07/20,NCore,SO2-24HR,PPB,2.0,24,-999,-999,02090
812,02/07/20,Hurst Road,PM2.5-24hr,UG/M3,7.6,24,32,0,02090
813,02/07/20,Floyd Dryden,PM10-24hr,UG/M3,5.0,24,5,0,02110
814,02/07/20,Floyd Dryden,PM2.5-24hr,UG/M3,3.0,24,13,0,02110
830,02/07/20,Butte (Harrison Court),PM10-24hr,UG/M3,2.0,24,2,0,02170
831,02/07/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,1.4,24,6,0,02170
1254,02/07/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,8.0,24,7,0,04003
1255,02/07/20,Douglas Red Cross,PM10-24hr,UG/M3,24.0,24,22,0,04003
