,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
542,03/01/20,Sand Mountain,OZONE-1HR,PPB,55.0,1,-999,-999,01049
543,03/01/20,Sand Mountain,OZONE-8HR,PPB,53.0,8,49,0,01049
546,03/01/20,NO. BHAM,OZONE-1HR,PPB,59.0,1,-999,-999,01073
547,03/01/20,NO. BHAM,OZONE-8HR,PPB,53.0,8,49,0,01073
548,03/01/20,NO. BHAM,PM10-24hr,UG/M3,25.0,24,24,0,01073
549,03/01/20,MCADORY,PM2.5-24hr,UG/M3,14.8,24,57,1,01073
550,03/01/20,WYLAM,PM10-24hr,UG/M3,24.0,24,23,0,01073
551,03/01/20,WYLAM,PM2.5-24hr,UG/M3,17.1,24,62,1,01073
552,03/01/20,CORNER,PM2.5-24hr,UG/M3,14.5,24,56,1,01073
553,03/01/20,Shuttlesworth,PM10-24hr,UG/M3,25.0,24,24,0,01073
554,03/01/20,Shuttlesworth,PM2.5-24hr,UG/M3,12.9,24,53,1,01073
555,03/01/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,12.3,24,52,1,01089
556,03/01/20,Huntsville Capshaw,OZONE-1HR,PPB,58.0,1,-999,-999,01089
557,03/01/20,Huntsville Capshaw,OZONE-8HR,PPB,55.0,8,51,1,01089
844,03/01/20,Garden,CO-8hr,PPM,1.12,1,13,0,02020
845,03/01/20,Garden,PM10-24hr,UG/M3,5.0,24,5,0,02020
846,03/01/20,Garden,PM2.5-24hr,UG/M3,4.0,24,17,0,02020
847,03/01/20,Parkgate (Eagle River),PM10-24hr,UG/M3,1.0,24,2,0,02020
858,03/01/20,Bethel,PM10-24hr,UG/M3,5.0,24,5,0,02050
859,03/01/20,Bethel,PM2.5-24hr,UG/M3,4.5,24,19,0,02050
860,03/01/20,Denali NPP,OZONE-1HR,PPB,46.0,1,-999,-999,02068
861,03/01/20,Denali NPP,OZONE-8HR,PPB,45.0,8,42,0,02068
862,03/01/20,NCore,CO-8hr,PPM,0.25,1,3,0,02090
863,03/01/20,NCore,OZONE-1HR,PPB,30.0,1,-999,-999,02090
864,03/01/20,NCore,OZONE-8HR,PPB,30.0,8,28,0,02090
865,03/01/20,NCore,PM10-24hr,UG/M3,12.0,24,12,0,02090
866,03/01/20,NCore,PM2.5-24hr,UG/M3,3.7,24,15,0,02090
867,03/01/20,NCore,SO2-24HR,PPB,2.0,24,-999,-999,02090
868,03/01/20,Hurst Road,PM2.5-24hr,UG/M3,3.1,24,13,0,02090
869,03/01/20,Floyd Dryden,PM10-24hr,UG/M3,2.0,24,2,0,02110
870,03/01/20,Floyd Dryden,PM2.5-24hr,UG/M3,0.9,24,4,0,02110
886,03/01/20,Butte (Harrison Court),PM2.5-24hr,UG/M3,0.2,24,1,0,02170
1295,03/01/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,6.0,24,6,0,04003
1296,03/01/20,Douglas Red Cross,PM10-24hr,UG/M3,17.0,24,16,0,04003
1297,03/01/20,Chiricahua NM,OZONE-1HR,PPB,39.0,1,-999,-999,04003
1298,03/01/20,Chiricahua NM,OZONE-8HR,PPB,38.0,8,35,0,04003
1299,03/01/20,Flagstaff Middle School,OZONE-1HR,PPB,49.0,1,-999,-999,04005
1300,03/01/20,Flagstaff Middle School,OZONE-8HR,PPB,47.0,8,44,0,04005
1301,03/01/20,Grand Canyon NP,OZONE-1HR,PPB,47.0,1,-999,-999,04005
1302,03/01/20,Grand Canyon NP,OZONE-8HR,PPB,46.0,8,43,0,04005
1303,03/01/20,Payson Well Site,PM10-24hr,UG/M3,14.0,24,14,0,04007
1304,03/01/20,Tonto National Monument,OZONE-1HR,PPB,46.0,1,-999,-999,04007
1305,03/01/20,Tonto National Monument,OZONE-8HR,PPB,42.0,8,39,0,04007
1306,03/01/20,Miami Jones Ranch,SO2-24HR,PPB,0.0,24,-999,-999,04007
1307,03/01/20,Miami Town Site,SO2-24HR,PPB,0.0,24,-999,-999,04007
1308,03/01/20,Hayden,PM10-24hr,UG/M3,10.0,24,10,0,04007
1309,03/01/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
1310,03/01/20,Miami Golf Course,PM10-24hr,UG/M3,12.0,24,11,0,04007
1321,03/01/20,Alamo Lake,OZONE-1HR,PPB,49.0,1,-999,-999,04012
1322,03/01/20,Alamo Lake,OZONE-8HR,PPB,48.0,8,44,0,04012
1323,03/01/20,Alamo Lake,PM10-24hr,UG/M3,15.0,24,14,0,04012
1324,03/01/20,Alamo Lake,PM2.5-24hr,UG/M3,4.1,24,17,0,04012
1341,03/01/20,Ft McD Yuma Frank-AZ,OZONE-1HR,PPB,0.0,1,-999,-999,04013
1385,03/01/20,StJohns,PM10-24hr,UG/M3,14.0,24,14,0,04013
1387,03/01/20,Senior Center,OZONE-1HR,PPB,49.0,1,-999,-999,04013
1388,03/01/20,Senior Center,OZONE-8HR,PPB,43.0,8,40,0,04013
1389,03/01/20,Senior Center,PM10-24hr,UG/M3,19.0,24,19,0,04013
1390,03/01/20,Red Mountain,OZONE-1HR,PPB,50.0,1,-999,-999,04013
1391,03/01/20,Red Mountain,OZONE-8HR,PPB,44.0,8,41,0,04013
1392,03/01/20,LEHI,OZONE-1HR,PPB,52.0,1,-999,-999,04013
1393,03/01/20,LEHI,OZONE-8HR,PPB,45.0,8,42,0,04013
1394,03/01/20,LEHI,PM10-24hr,UG/M3,15.0,24,14,0,04013
1395,03/01/20,High School,OZONE-1HR,PPB,46.0,1,-999,-999,04013
1396,03/01/20,High School,OZONE-8HR,PPB,40.0,8,37,0,04013
1397,03/01/20,High School,PM10-24hr,UG/M3,14.0,24,13,0,04013
1407,03/01/20,Phoenix JLG Supersite,CO-8hr,PPM,0.35,1,4,0,04013
1408,03/01/20,Phoenix JLG Supersite,OZONE-1HR,PPB,44.0,1,-999,-999,04013
1409,03/01/20,Phoenix JLG Supersite,OZONE-8HR,PPB,41.0,8,38,0,04013
1410,03/01/20,Phoenix JLG Supersite,PM10-24hr,UG/M3,18.0,24,18,0,04013
1411,03/01/20,Phoenix JLG Supersite,PM2.5-24hr,UG/M3,6.2,24,26,0,04013
1412,03/01/20,Phoenix JLG Supersite,SO2-24HR,PPB,0.0,24,-999,-999,04013
1413,03/01/20,Bullhead City,PM10-24hr,UG/M3,16.0,24,15,0,04015
1414,03/01/20,Petrified Forest NP,OZONE-1HR,PPB,44.0,1,-999,-999,04017
1415,03/01/20,Petrified Forest NP,OZONE-8HR,PPB,41.0,8,38,0,04017
1416,03/01/20,Ajo,PM10-24hr,UG/M3,12.0,24,11,0,04019
1417,03/01/20,Orange Grove,PM10-24hr,UG/M3,11.0,24,10,0,04019
1418,03/01/20,Orange Grove,PM2.5-24hr,UG/M3,0.0,24,0,0,04019
1419,03/01/20,Saguaro Monument,OZONE-1HR,PPB,42.0,1,-999,-999,04019
1420,03/01/20,Saguaro Monument,OZONE-8HR,PPB,40.0,8,37,0,04019
1421,03/01/20,South Tucson,PM10-24hr,UG/M3,13.0,24,12,0,04019
1422,03/01/20,22nd Street & Craycroft,OZONE-1HR,PPB,40.0,1,-999,-999,04019
1423,03/01/20,22nd Street & Craycroft,OZONE-8HR,PPB,39.0,8,36,0,04019
1424,03/01/20,Tangerine & Camino de Oeste,OZONE-1HR,PPB,41.0,1,-999,-999,04019
1425,03/01/20,Tangerine & Camino de Oeste,OZONE-8HR,PPB,39.0,8,36,0,04019
1426,03/01/20,Fairgrounds,OZONE-1HR,PPB,41.0,1,-999,-999,04019
